Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,49.108827,[ 4 28] ; [134  42],[21.23076923 10.76923077] ; [116.76923077  59.23076923],1
d4,1,0.0,33.766234,[18 14] ; [164  12],[28.  4.] ; [154.  22.],1
d3,1,5e-06,20.850988,[16 16] ; [150  26],[25.53846154  6.46153846] ; [140.46153846  35.53846154],1
a3,1,0.000177,14.056696,[17 15] ; [145  30],[25.04347826  6.95652174] ; [136.95652174  38.04347826],1
a4,1,0.000195,13.882757,[ 6 26] ; [96 80],[15.69230769 16.30769231] ; [86.30769231 89.69230769],1
d2,1,0.000817,11.201299,[ 8 24] ; [100  75],[16.69565217 15.30434783] ; [91.30434783 83.69565217],1
u1,1,0.001826,9.717084,[ 2 30] ; [ 59 117],[ 9.38461538 22.61538462] ; [ 51.61538462 124.38461538],0
a2,1,0.006931,7.290774,[ 4 28] ; [ 65 111],[10.61538462 21.38461538] ; [ 58.38461538 117.61538462],0
v1,1,0.013867,6.054968,[13 19] ; [111  63],[19.26213592 12.73786408] ; [104.73786408  69.26213592],0
s8,1,0.052842,3.748898,[13 18] ; [106  69],[17.90776699 13.09223301] ; [101.09223301  73.90776699],0
p2,1,0.109776,2.557448,[25  7] ; [154  20],[27.80582524  4.19417476] ; [151.19417476  22.80582524],0
p1,1,0.112971,2.512154,[ 7 25] ; [ 20 153],[ 4.21463415 27.78536585] ; [ 22.78536585 150.21463415],0
r3,1,0.131695,2.272412,[29  3] ; [168   6],[30.60194175  1.39805825] ; [166.39805825   7.60194175],0
p5,1,0.161196,1.962967,[10 22] ; [ 35 139],[ 6.99029126 25.00970874] ; [ 38.00970874 135.99029126],0
p4,1,0.162247,1.953161,[18 13] ; [123  51],[21.32195122  9.67804878] ; [119.67804878  54.32195122],0
n6,1,0.168774,1.893802,[31  1] ; [154  19],[28.87804878  3.12195122] ; [156.12195122  16.87804878],0
r2,1,0.224732,1.473895,[30  2] ; [169   4],[31.06341463  0.93658537] ; [167.93658537   5.06341463],0
n1,1,0.24191,1.369431,[2 5] ; [20 18],[3.42222222 3.57777778] ; [18.57777778 19.42222222],0
n4,1,0.272684,1.203197,[22 10] ; [136  39],[24.42512077  7.57487923] ; [133.57487923  41.42512077],0
p8,1,0.288404,1.127058,[21 10] ; [99 73],[18.32512315 12.67487685] ; [101.67487685  70.32512315],0
p9,1,0.292786,1.106765,[30  1] ; [156  15],[28.54455446  2.45544554] ; [157.45544554  13.54455446],0
p11,1,0.305327,1.050783,[27  5] ; [134  42],[24.76923077  7.23076923] ; [136.23076923  39.76923077],0
s7,1,0.319152,0.992418,[17 12] ; [113  53],[19.33333333  9.66666667] ; [110.66666667  55.33333333],0
p12,1,0.347402,0.882924,[ 6 26] ; [ 22 153],[ 4.32850242 27.67149758] ; [ 23.67149758 151.32850242],0
a8,1,0.388591,0.743346,[ 3 28] ; [ 24 129],[ 4.54891304 26.45108696] ; [ 22.45108696 130.54891304],0
b1,1,0.399915,0.708581,[13 19] ; [ 58 118],[10.92307692 21.07692308] ; [ 60.07692308 115.92307692],0
n3,1,0.405044,0.693301,[7 1] ; [28 10],[6.08695652 1.91304348] ; [28.91304348  9.08695652],0
b4,1,0.487487,0.482068,[21 11] ; [104  72],[19.23076923 12.76923077] ; [105.76923077  70.23076923],0
p10,1,0.495498,0.464565,[29  2] ; [155  18],[27.96078431  3.03921569] ; [156.03921569  16.96078431],0
v2,1,0.49973,0.45551,[18 14] ; [107  64],[19.7044335 12.2955665] ; [105.2955665  65.7044335],0
s4,1,0.504489,0.44548,[ 9 23] ; [ 39 133],[ 7.52941176 24.47058824] ; [ 40.47058824 131.52941176],0
r1,1,0.532896,0.388867,[26  6] ; [148  25],[27.16097561  4.83902439] ; [146.83902439  26.16097561],0
a5,1,0.566072,0.329299,[25  7] ; [145  31],[26.15384615  5.84615385] ; [143.84615385  32.15384615],0
u3,1,0.605286,0.267097,[9 6] ; [21 10],[9.7826087 5.2173913] ; [20.2173913 10.7826087],0
n2,1,0.669864,0.181761,[6 2] ; [31  7],[6.43478261 1.56521739] ; [30.56521739  7.43478261],0
u2,1,0.673214,0.177866,[7 8] ; [16 14],[7.66666667 7.33333333] ; [15.33333333 14.66666667],0
p3,1,0.71798,0.130436,[17 15] ; [99 76],[17.93236715 14.06763285] ; [98.06763285 76.93236715],0
n5,1,0.782305,0.076351,[25  7] ; [132  42],[24.38834951  7.61165049] ; [132.61165049  41.38834951],0
a1,1,0.791617,0.069807,[ 2 30] ; [  9 167],[ 1.69230769 30.30769231] ; [  9.30769231 166.69230769],0
p6,1,0.794883,0.067587,[14 18] ; [80 93],[14.67317073 17.32682927] ; [79.32682927 93.67317073],0
s1,1,0.796054,0.0668,[ 1 31] ; [  7 164],[ 1.26108374 30.73891626] ; [  6.73891626 164.26108374],0
v3,1,0.799693,0.064386,[15 17] ; [76 95],[14.34482759 17.65517241] ; [76.65517241 94.34482759],0
s3,1,0.80144,0.063244,[21 10] ; [119  51],[21.5920398  9.4079602] ; [118.4079602  51.5920398],0
s6,1,0.887123,0.020148,[27  4] ; [154  21],[27.23786408  3.76213592] ; [153.76213592  21.23786408],0
p7,1,0.889686,0.019238,[23  9] ; [118  49],[22.67336683  9.32663317] ; [118.32663317  48.67336683],0
b5,1,0.903261,0.014773,[20 12] ; [108  68],[19.69230769 12.30769231] ; [108.30769231  67.69230769],0
v4,1,0.917418,0.010751,[31  1] ; [166   6],[30.90196078  1.09803922] ; [166.09803922   5.90196078],0
a6,1,0.932163,0.007246,[24  8] ; [130  45],[23.80676329  8.19323671] ; [130.19323671  44.80676329],0
b2,1,0.967387,0.001672,[6 9] ; [43 66],[5.92741935 9.07258065] ; [43.07258065 65.92741935],0
b3,1,0.967387,0.001672,[6 9] ; [43 66],[5.92741935 9.07258065] ; [43.07258065 65.92741935],0
s2,1,0.972566,0.001183,[24  8] ; [130  44],[23.9223301  8.0776699] ; [130.0776699  43.9223301],0
