Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.297641,[133   9] ; [5 5],[128.92105263  13.07894737] ; [9.07894737 0.92105263],1
s6,1,0.006088,7.524123,[119  22] ; [5 5],[115.78807947  25.21192053] ; [8.21192053 1.78807947],0
p7,1,0.010631,6.525912,[92 50] ; [2 7],[88.39735099 53.60264901] ; [5.60264901 3.39735099],0
p11,1,0.036064,4.394091,[112  30] ; [5 5],[109.30263158  32.69736842] ; [7.69736842 2.30263158],0
d5,1,0.081505,3.034634,[117  25] ; [6 4],[114.90789474  27.09210526] ; [8.09210526 1.90789474],0
r1,1,0.111403,2.534199,[115  27] ; [6 4],[113.03947368  28.96052632] ; [7.96052632 2.03947368],0
v2,1,0.152671,2.04536,[64 73] ; [2 7],[61.93150685 75.06849315] ; [4.06849315 4.93150685],0
n2,1,0.169844,1.884321,[24 17] ; [6 1],[25.625 15.375] ; [4.375 2.625],0
n5,1,0.193242,1.692726,[100  41] ; [9 1],[101.78145695  39.21854305] ; [7.21854305 2.78145695],0
p3,1,0.205602,1.602131,[72 70] ; [3 7],[70.06578947 71.93421053] ; [4.93421053 5.06578947],0
a2,1,0.225419,1.469537,[ 39 103] ; [1 9],[ 37.36842105 104.63157895] ; [2.63157895 7.36842105],0
n1,1,0.229489,1.444026,[13 26] ; [4 3],[14.41304348 24.58695652] ; [2.58695652 4.41304348],0
n3,1,0.2464,1.343602,[30 11] ; [3 3],[28.78723404 12.21276596] ; [4.21276596 1.78723404],0
a6,1,0.254432,1.298804,[96 46] ; [5 5],[94.35526316 47.64473684] ; [6.64473684 3.35526316],0
a3,1,0.309286,1.033722,[106  36] ; [6 4],[104.63157895  37.36842105] ; [7.36842105 2.63157895],0
d1,1,0.322447,0.978996,[93 49] ; [5 5],[91.55263158 50.44736842] ; [6.44736842 3.55263158],0
d4,1,0.328451,0.954994,[117  25] ; [7 3],[115.84210526  26.15789474] ; [8.15789474 1.84210526],0
