Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,54.38214,[ 22 143] ; [89 86],[ 53.86764706 111.13235294] ; [ 57.13235294 117.86764706],1
v1,1,9e-06,19.633439,[ 58 107] ; [103  71],[78.36283186 86.63716814] ; [82.63716814 91.36283186],1
d1,1,0.00011,14.951031,[71 96] ; [115  67],[89.00286533 77.99713467] ; [96.99713467 85.00286533],1
d5,1,0.002088,9.470121,[114  53] ; [150  32],[126.32664756  40.67335244] ; [137.67335244  44.32664756],0
d3,1,0.006301,7.462081,[101  66] ; [135  47],[112.92836676  54.07163324] ; [123.07163324  58.92836676],0
a1,1,0.008923,6.838078,[  1 166] ; [ 10 172],[  5.26361032 161.73638968] ; [  5.73638968 176.26361032],0
r1,1,0.010455,6.555735,[117  50] ; [148  33],[127.16954023  39.83045977] ; [137.83045977  43.16954023],0
d4,1,0.010681,6.517607,[126  41] ; [156  25],[135.32758621  31.67241379] ; [146.67241379  34.32758621],0
a7,1,0.013252,6.135198,[105  62] ; [136  45],[115.65229885  51.34770115] ; [125.34770115  55.65229885],0
a3,1,0.022998,5.168649,[100  67] ; [130  52],[110.05730659  56.94269341] ; [119.94269341  62.05730659],0
s1,1,0.025035,5.021467,[  7 157] ; [  1 174],[  3.87020649 160.12979351] ; [  4.12979351 170.87020649],0
p9,1,0.02639,4.930251,[128  38] ; [152  24],[135.90643275  30.09356725] ; [144.09356725  31.90643275],0
r3,1,0.027527,4.857467,[154  12] ; [175   4],[158.30144928   7.69855072] ; [170.69855072   8.30144928],0
s2,1,0.040885,4.180785,[ 64 100] ; [90 90],[73.41860465 90.58139535] ; [80.58139535 99.41860465],0
s7,1,0.049655,3.853054,[ 56 107] ; [78 96],[64.81305638 98.18694362] ; [ 69.18694362 104.81305638],0
d2,1,0.073875,3.194758,[ 63 104] ; [85 95],[71.22766571 95.77233429] ; [ 76.77233429 103.22766571],0
a6,1,0.085501,2.957105,[99 68] ; [124  58],[106.70773639  60.29226361] ; [116.29226361  65.70773639],0
s8,1,0.087848,2.91338,[ 53 114] ; [ 73 107],[ 60.63976945 106.36023055] ; [ 65.36023055 114.63976945],0
a5,1,0.088298,2.90514,[104  63] ; [129  53],[111.49283668  55.50716332] ; [121.50716332  60.49283668],0
u1,1,0.124256,2.362833,[ 15 152] ; [ 26 156],[ 19.61891117 147.38108883] ; [ 21.38108883 160.61891117],0
s4,1,0.147688,2.09597,[ 29 134] ; [ 22 158],[ 24.2361516 138.7638484] ; [ 26.7638484 153.2361516],0
n1,1,0.179712,1.8,[18 27] ; [12 33],[15. 30.] ; [15. 30.],0
u4,1,0.20922,1.576818,[  1 166] ; [  4 178],[  2.39255014 164.60744986] ; [  2.60744986 179.39255014],0
p10,1,0.356235,0.851124,[125  40] ; [143  36],[128.54651163  36.45348837] ; [139.45348837  39.54651163],0
s3,1,0.360855,0.834915,[80 85] ; [93 81],[84.20353982 80.79646018] ; [88.79646018 85.20353982],0
s6,1,0.394814,0.724063,[97 68] ; [112  65],[100.83333333  64.16666667] ; [108.16666667  68.83333333],0
p12,1,0.435582,0.607895,[  7 158] ; [ 11 169],[  8.60869565 156.39130435] ; [  9.39130435 170.60869565],0
p4,1,0.448449,0.574569,[ 62 104] ; [ 74 105],[ 65.43768116 100.56231884] ; [ 70.56231884 108.43768116],0
a4,1,0.461711,0.541744,[ 62 104] ; [ 75 107],[ 65.35057471 100.64942529] ; [ 71.64942529 110.35057471],0
n6,1,0.485066,0.487453,[135  32] ; [149  29],[137.47246377  29.52753623] ; [146.52753623  31.47246377],0
p5,1,0.492458,0.47115,[ 10 155] ; [  8 173],[  8.58381503 156.41618497] ; [  9.41618497 171.58381503],0
n4,1,0.49854,0.458042,[117  50] ; [132  48],[119.83573487  47.16426513] ; [129.16426513  50.83573487],0
b1,1,0.528023,0.398195,[ 51 116] ; [ 50 132],[ 48.32951289 118.67048711] ; [ 52.67048711 129.32951289],0
s5,1,0.566925,0.327855,[ 41 124] ; [ 48 126],[ 43.31858407 121.68141593] ; [ 45.68141593 128.31858407],0
p1,1,0.645737,0.211317,[  8 156] ; [  7 174],[  7.13043478 156.86956522] ; [  7.86956522 173.13043478],0
p7,1,0.66145,0.191767,[83 76] ; [95 79],[84.99099099 74.00900901] ; [93.00900901 80.99099099],0
n3,1,0.668193,0.183723,[31 13] ; [35 12],[31.91208791 12.08791209] ; [34.08791209 12.91208791],0
v4,1,0.669647,0.182015,[154  11] ; [164  14],[152.97376093  12.02623907] ; [165.02623907  12.97376093],0
p2,1,0.68744,0.16187,[134  31] ; [150  31],[135.43352601  29.56647399] ; [148.56647399  32.43352601],0
b3,1,0.698299,0.150247,[34 65] ; [35 75],[32.68421053 66.31578947] ; [36.31578947 73.68421053],0
b2,1,0.698299,0.150247,[34 65] ; [35 75],[32.68421053 66.31578947] ; [36.31578947 73.68421053],0
n5,1,0.699053,0.149459,[115  51] ; [126  51],[116.63556851  49.36443149] ; [124.36443149  52.63556851],0
u2,1,0.764506,0.089741,[37 30] ; [29 21],[37.79487179 29.20512821] ; [28.20512821 21.79487179],0
b5,1,0.797135,0.066078,[105  62] ; [112  70],[103.83667622  63.16332378] ; [113.16332378  68.83667622],0
b4,1,0.839347,0.041099,[101  66] ; [112  70],[101.9226361  65.0773639] ; [111.0773639  70.9226361],0
p8,1,0.847691,0.036889,[70 96] ; [ 72 103],[69.12609971 96.87390029] ; [ 72.87390029 102.12609971],0
n2,1,0.848211,0.036634,[35 10] ; [35 11],[34.61538462 10.38461538] ; [35.38461538 10.61538462],0
a8,1,0.866693,0.028177,[ 25 132] ; [ 25 139],[ 24.45482866 132.54517134] ; [ 25.54517134 138.45482866],0
r2,1,0.876085,0.024315,[151  16] ; [160  16],[151.41982507  15.58017493] ; [159.58017493  16.41982507],0
r4,1,0.890339,0.019009,[144  23] ; [156  26],[143.5530086  23.4469914] ; [156.4469914  25.5530086],0
p6,1,0.894768,0.017496,[ 43 123] ; [ 45 133],[ 42.46511628 123.53488372] ; [ 45.53488372 132.46511628],0
u3,1,0.917704,0.010676,[38 29] ; [29 23],[37.72268908 29.27731092] ; [29.27731092 22.72268908],0
a2,1,0.947095,0.004403,[ 28 139] ; [ 31 151],[ 28.23209169 138.76790831] ; [ 30.76790831 151.23209169],0
