Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3e-06,21.977258,[ 8 38] ; [19  7],[17.25 28.75] ; [ 9.75 16.25],1
s8,1,7e-05,15.819468,[ 3 43] ; [12 14],[ 9.58333333 36.41666667] ; [ 5.41666667 20.58333333],1
s3,1,0.000487,12.166429,[14 32] ; [19  7],[21.08333333 24.91666667] ; [11.91666667 14.08333333],1
s7,1,0.000728,11.417077,[ 6 38] ; [12 11],[11.82089552 32.17910448] ; [ 6.17910448 16.82089552],1
p3,1,0.005944,7.56731,[ 9 38] ; [13 13],[14.16438356 32.83561644] ; [ 7.83561644 18.16438356],0
v2,1,0.015972,5.805908,[10 35] ; [13 13],[14.57746479 30.42253521] ; [ 8.42253521 17.57746479],0
s5,1,0.025702,4.975988,[ 7 39] ; [10 16],[10.86111111 35.13888889] ; [ 6.13888889 19.86111111],0
d3,1,0.03489,4.450541,[12 35] ; [13 13],[16.09589041 30.90410959] ; [ 8.90410959 17.09589041],0
v1,1,0.045108,4.01461,[11 36] ; [12 14],[14.80821918 32.19178082] ; [ 8.19178082 17.80821918],0
v3,1,0.07139,3.250774,[ 9 36] ; [10 15],[12.21428571 32.78571429] ; [ 6.78571429 18.21428571],0
b2,1,0.074054,3.190786,[10 19] ; [ 2 16],[ 7.40425532 21.59574468] ; [ 4.59574468 13.40425532],0
b3,1,0.074054,3.190786,[10 19] ; [ 2 16],[ 7.40425532 21.59574468] ; [ 4.59574468 13.40425532],0
a5,1,0.083791,2.989781,[19 28] ; [16 10],[22.53424658 24.46575342] ; [12.46575342 13.53424658],0
r3,1,0.09309,2.820107,[29 18] ; [21  5],[32.19178082 14.80821918] ; [17.80821918  8.19178082],0
p7,1,0.098945,2.722465,[19 27] ; [16 10],[22.36111111 23.63888889] ; [12.63888889 13.36111111],0
s1,1,0.099312,2.716555,[ 3 43] ; [ 5 21],[ 5.11111111 40.88888889] ; [ 2.88888889 23.11111111],0
p4,1,0.103626,2.648829,[11 35] ; [11 15],[14.05555556 31.94444444] ; [ 7.94444444 18.05555556],0
s4,1,0.180963,1.789699,[ 7 40] ; [ 7 18],[ 9.13888889 37.86111111] ; [ 4.86111111 20.13888889],0
a3,1,0.199817,1.643709,[18 29] ; [14 12],[20.60273973 26.39726027] ; [11.39726027 14.60273973],0
p8,1,0.213585,1.546961,[10 37] ; [ 9 17],[12.23287671 34.76712329] ; [ 6.76712329 19.23287671],0
p10,1,0.228028,1.45312,[ 7 39] ; [ 7 19],[ 8.94444444 37.05555556] ; [ 5.05555556 20.94444444],0
d5,1,0.23766,1.394421,[24 23] ; [17  9],[26.39726027 20.60273973] ; [14.60273973 11.39726027],0
n6,1,0.23766,1.394421,[24 23] ; [17  9],[26.39726027 20.60273973] ; [14.60273973 11.39726027],0
d1,1,0.248957,1.329147,[12 35] ; [10 16],[14.16438356 32.83561644] ; [ 7.83561644 18.16438356],0
p5,1,0.251423,1.315377,[ 1 46] ; [ 2 24],[ 1.93150685 45.06849315] ; [ 1.06849315 24.93150685],0
r4,1,0.312846,1.018622,[25 22] ; [17  9],[27.04109589 19.95890411] ; [14.95890411 11.04109589],0
b4,1,0.332732,0.938237,[29 18] ; [13 13],[27.04109589 19.95890411] ; [14.95890411 11.04109589],0
d4,1,0.34526,0.890802,[23 23] ; [16 10],[24.91666667 21.08333333] ; [14.08333333 11.91666667],0
u2,1,0.369074,0.806779,[12 16] ; [7 5],[13.3 14.7] ; [5.7 6.3],0
a6,1,0.413149,0.669721,[19 28] ; [ 8 18],[17.38356164 29.61643836] ; [ 9.61643836 16.38356164],0
p2,1,0.429828,0.623289,[19 28] ; [13 13],[20.60273973 26.39726027] ; [11.39726027 14.60273973],0
p6,1,0.42984,0.623256,[ 7 38] ; [ 6 20],[ 8.23943662 36.76056338] ; [ 4.76056338 21.23943662],0
p1,1,0.449921,0.570851,[ 4 43] ; [ 1 25],[ 3.21917808 43.78082192] ; [ 1.78082192 24.21917808],0
v4,1,0.468425,0.525688,[31 14] ; [20  6],[32.32394366 12.67605634] ; [18.67605634  7.32394366],0
u3,1,0.475407,0.509381,[11 18] ; [6 6],[12.02439024 16.97560976] ; [4.97560976 7.02439024],0
n4,1,0.506882,0.440499,[27 20] ; [17  9],[28.32876712 18.67123288] ; [15.67123288 10.32876712],0
r1,1,0.506882,0.440499,[27 20] ; [17  9],[28.32876712 18.67123288] ; [15.67123288 10.32876712],0
a1,1,0.536639,0.381805,[ 2 45] ; [ 2 24],[ 2.57534247 44.42465753] ; [ 1.42465753 24.57534247],0
p11,1,0.540418,0.374766,[20 27] ; [13 13],[21.24657534 25.75342466] ; [11.75342466 14.24657534],0
a4,1,0.573629,0.316648,[15 30] ; [ 7 19],[13.94366197 31.05633803] ; [ 8.05633803 17.94366197],0
n3,1,0.585957,0.296703,[10  8] ; [4 5],[9.33333333 8.66666667] ; [4.66666667 4.33333333],0
a8,1,0.600392,0.274405,[ 2 41] ; [ 2 24],[ 2.49275362 40.50724638] ; [ 1.50724638 24.49275362],0
b1,1,0.766542,0.08815,[27 20] ; [14 12],[26.39726027 20.60273973] ; [14.60273973 11.39726027],0
d2,1,0.78384,0.075251,[21 25] ; [11 15],[20.44444444 25.55555556] ; [11.55555556 14.44444444],0
n2,1,0.793475,0.06854,[12  9] ; [5 3],[12.31034483  8.68965517] ; [4.68965517 3.31034483],0
n5,1,0.793803,0.068317,[25 22] ; [13 13],[24.46575342 22.53424658] ; [13.53424658 12.46575342],0
n1,1,0.815276,0.054581,[ 7 14] ; [2 5],[ 6.75 14.25] ; [2.25 4.75],0
b5,1,0.869562,0.026966,[19 28] ; [10 16],[18.67123288 28.32876712] ; [10.32876712 15.67123288],0
u1,1,0.932793,0.007112,[ 2 45] ; [ 1 25],[ 1.93150685 45.06849315] ; [ 1.06849315 24.93150685],0
a2,1,0.932793,0.007112,[ 2 45] ; [ 1 25],[ 1.93150685 45.06849315] ; [ 1.06849315 24.93150685],0
r2,1,0.933819,0.006896,[35 10] ; [20  6],[34.85915493 10.14084507] ; [20.14084507  5.85915493],0
