Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,76.104916,[ 1 69] ; [116  70],[31.9921875 38.0078125] ; [ 85.0078125 100.9921875],1
d5,1,0.0,58.161298,[27 43] ; [160  26],[51.1328125 18.8671875] ; [135.8671875  50.1328125],1
a3,1,0.0,30.886195,[30 40] ; [146  39],[48.31372549 21.68627451] ; [127.68627451  57.31372549],1
a5,1,0.0,26.943981,[29 41] ; [141  45],[46.484375 23.515625] ; [123.515625  62.484375],1
d3,1,7e-06,20.08801,[14 56] ; [95 91],[29.8046875 40.1953125] ; [ 79.1953125 106.8046875],1
a4,1,0.000162,14.230239,[16 53] ; [92 94],[29.22352941 39.77647059] ; [ 78.77647059 107.22352941],1
v1,1,0.000411,12.479742,[23 46] ; [105  75],[35.46987952 33.53012048] ; [92.53012048 87.46987952],1
r3,1,0.000503,12.102874,[57 13] ; [176   9],[63.96078431  6.03921569] ; [169.03921569  15.96078431],1
d2,1,0.000597,11.784098,[21 49] ; [100  85],[33.21568627 36.78431373] ; [87.78431373 97.21568627],1
r1,1,0.000607,11.75437,[39 31] ; [144  42],[50.0390625 19.9609375] ; [132.9609375  53.0390625],1
p9,1,0.000771,11.310933,[45 24] ; [153  28],[54.648 14.352] ; [143.352  37.648],1
s5,1,0.001004,10.8206,[14 53] ; [77 99],[25.09053498 41.90946502] ; [ 65.90946502 110.09053498],0
v2,1,0.00214,9.425232,[21 45] ; [97 83],[31.65853659 34.34146341] ; [86.34146341 93.65853659],0
p10,1,0.002388,9.224542,[41 28] ; [142  39],[50.508 18.492] ; [132.492  48.508],0
s2,1,0.002748,8.967615,[22 47] ; [98 87],[32.5984252 36.4015748] ; [87.4015748 97.5984252],0
s7,1,0.003351,8.605822,[23 44] ; [98 79],[33.22540984 33.77459016] ; [87.77459016 89.22540984],0
s8,1,0.0039,8.329636,[22 48] ; [95 89],[32.24409449 37.75590551] ; [84.75590551 99.24409449],0
