Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,3.5e-05,17.132666,[20 14] ; [ 7 40],[11.33333333 22.66666667] ; [15.66666667 31.33333333],1
s3,1,0.000495,12.133294,[19 14] ; [ 9 37],[11.69620253 21.30379747] ; [16.30379747 29.69620253],1
v1,1,0.015063,5.909091,[16 17] ; [10 35],[11. 22.] ; [15. 30.],0
b5,1,0.026058,4.952176,[24 10] ; [22 26],[19.07317073 14.92682927] ; [26.92682927 21.07317073],0
s8,1,0.027487,4.859929,[13 21] ; [ 8 40],[ 8.70731707 25.29268293] ; [12.29268293 35.70731707],0
v2,1,0.031322,4.635213,[18 14] ; [15 32],[13.36708861 18.63291139] ; [19.63291139 27.36708861],0
p7,1,0.034342,4.477582,[15 17] ; [11 35],[10.66666667 21.33333333] ; [15.33333333 30.66666667],0
p2,1,0.053257,3.735839,[27  6] ; [29 18],[23.1  9.9] ; [32.9 14.1],0
a5,1,0.076118,3.145901,[23 11] ; [23 25],[19.07317073 14.92682927] ; [26.92682927 21.07317073],0
r3,1,0.096497,2.762506,[26  8] ; [27 19],[22.525 11.475] ; [30.475 15.525],0
p3,1,0.132995,2.257189,[15 18] ; [14 34],[11.81481481 21.18518519] ; [17.18518519 30.81481481],0
n4,1,0.156205,2.010588,[25  9] ; [28 20],[21.97560976 12.02439024] ; [31.02439024 16.97560976],0
p11,1,0.156205,2.010588,[25  9] ; [28 20],[21.97560976 12.02439024] ; [31.02439024 16.97560976],0
p6,1,0.161372,1.96132,[10 23] ; [ 8 39],[ 7.425 25.575] ; [10.575 36.425],0
a1,1,0.162737,1.948608,[ 3 31] ; [ 1 47],[ 1.65853659 32.34146341] ; [ 2.34146341 45.65853659],0
u1,1,0.214309,1.542073,[ 2 32] ; [ 7 41],[ 3.73170732 30.26829268] ; [ 5.26829268 42.73170732],0
a2,1,0.214309,1.542073,[ 2 32] ; [ 7 41],[ 3.73170732 30.26829268] ; [ 5.26829268 42.73170732],0
p8,1,0.217341,1.521842,[ 9 25] ; [19 29],[11.6097561 22.3902439] ; [16.3902439 31.6097561],0
u3,1,0.258765,1.275352,[5 6] ; [ 6 17],[3.55882353 7.44117647] ; [ 7.44117647 15.55882353],0
v3,1,0.261589,1.26033,[11 23] ; [10 37],[ 8.81481481 25.18518519] ; [12.18518519 34.81481481],0
s5,1,0.283751,1.149035,[ 7 25] ; [ 6 41],[ 5.26582278 26.73417722] ; [ 7.73417722 39.26582278],0
n5,1,0.284741,1.144322,[25  8] ; [31 17],[22.81481481 10.18518519] ; [33.18518519 14.81481481],0
p9,1,0.293877,1.101772,[24 10] ; [26 18],[21.79487179 12.20512821] ; [28.20512821 15.79487179],0
d5,1,0.295089,1.096257,[25  9] ; [30 18],[22.80487805 11.19512195] ; [32.19512195 15.80487805],0
a3,1,0.300064,1.073908,[22 12] ; [25 22],[19.72839506 14.27160494] ; [27.27160494 19.72839506],0
s4,1,0.30192,1.065696,[ 8 26] ; [ 7 41],[ 6.2195122 27.7804878] ; [ 8.7804878 39.2195122],0
n3,1,0.311066,1.026143,[10  4] ; [12 10],[8.55555556 5.44444444] ; [13.44444444  8.55555556],0
s7,1,0.338352,0.916667,[14 19] ; [14 30],[12. 21.] ; [16. 28.],0
d1,1,0.339898,0.910816,[12 22] ; [22 26],[14.09756098 19.90243902] ; [19.90243902 28.09756098],0
b1,1,0.384131,0.757439,[13 21] ; [23 25],[14.92682927 19.07317073] ; [21.07317073 26.92682927],0
d4,1,0.408803,0.682279,[26  8] ; [32 15],[24.34567901  9.65432099] ; [33.65432099 13.34567901],0
d3,1,0.429885,0.623135,[20 14] ; [24 24],[18.24390244 15.75609756] ; [25.75609756 22.24390244],0
p1,1,0.452171,0.565205,[ 2 32] ; [ 5 42],[ 2.9382716 31.0617284] ; [ 4.0617284 42.9382716],0
b4,1,0.467574,0.527702,[20 14] ; [32 16],[21.56097561 12.43902439] ; [30.43902439 17.56097561],0
n1,1,0.514084,0.425745,[ 4 10] ; [ 9 14],[4.91891892 9.08108108] ; [ 8.08108108 14.91891892],0
a6,1,0.525832,0.402439,[18 16] ; [22 26],[16.58536585 17.41463415] ; [23.41463415 24.58536585],0
p4,1,0.687137,0.162203,[16 18] ; [20 27],[15.11111111 18.88888889] ; [20.88888889 26.11111111],0
s1,1,0.722345,0.126257,[ 2 32] ; [ 2 46],[ 1.65853659 32.34146341] ; [ 2.34146341 45.65853659],0
u2,1,0.729562,0.119514,[4 7] ; [ 7 16],[3.55882353 7.44117647] ; [ 7.44117647 15.55882353],0
p10,1,0.735577,0.114052,[20 12] ; [27 19],[19.28205128 12.71794872] ; [27.71794872 18.28205128],0
a4,1,0.750184,0.101377,[12 22] ; [15 32],[11.33333333 22.66666667] ; [15.66666667 31.33333333],0
p12,1,0.757264,0.095528,[ 1 33] ; [ 2 45],[ 1.25925926 32.74074074] ; [ 1.74074074 45.25925926],0
v4,1,0.797047,0.066137,[23 10] ; [34 13],[23.5125  9.4875] ; [33.4875 13.5125],0
r1,1,0.817138,0.053466,[10 24] ; [13 35],[ 9.53658537 24.46341463] ; [13.46341463 34.53658537],0
p5,1,0.927952,0.008176,[ 3 30] ; [ 4 43],[ 2.8875 30.1125] ; [ 4.1125 42.8875],0
d2,1,0.93525,0.0066,[13 21] ; [18 28],[13.175 20.825] ; [17.825 28.175],0
b2,1,0.938446,0.005963,[ 6 14] ; [ 9 20],[ 6.12244898 13.87755102] ; [ 8.87755102 20.12244898],0
b3,1,0.938446,0.005963,[ 6 14] ; [ 9 20],[ 6.12244898 13.87755102] ; [ 8.87755102 20.12244898],0
n2,1,0.954089,0.003315,[9 5] ; [15  8],[9.08108108 4.91891892] ; [14.91891892  8.08108108],0
r2,1,0.980149,0.000619,[18 13] ; [26 19],[17.94736842 13.05263158] ; [26.05263158 18.94736842],0
a7,1,0.982226,0.000496,[16 18] ; [22 25],[15.95061728 18.04938272] ; [22.04938272 24.95061728],0
