Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,97.418321,[73 29] ; [ 19 141],[35.81679389 66.18320611] ; [ 56.18320611 103.81679389],1
s2,1,0.0,64.64083,[75 27] ; [ 36 121],[43.71428571 58.28571429] ; [67.28571429 89.71428571],1
s3,1,0.0,39.852632,[77 23] ; [ 58 100],[52.3255814 47.6744186] ; [82.6744186 75.3255814],1
s6,1,0.0,39.087501,[82 19] ; [66 92],[57.71428571 43.28571429] ; [90.28571429 67.71428571],1
u1,1,0.000112,14.927468,[24 78] ; [ 11 149],[13.6259542 88.3740458] ; [ 21.3740458 138.6259542],1
s5,1,0.000434,12.3817,[38 62] ; [ 28 126],[25.98425197 74.01574803] ; [ 40.01574803 113.98425197],1
a3,1,0.000543,11.963313,[82 19] ; [96 62],[69.41312741 31.58687259] ; [108.58687259  49.41312741],1
v3,1,0.000661,11.594876,[47 53] ; [ 41 115],[34.375 65.625] ; [ 53.625 102.375],1
p10,1,0.000698,11.495741,[85 15] ; [104  54],[73.25581395 26.74418605] ; [115.74418605  42.25581395],1
v2,1,0.00108,10.685961,[59 40] ; [56 90],[46.46938776 52.53061224] ; [68.53061224 77.46938776],0
s1,1,0.002007,9.543219,[ 8 93] ; [  1 154],[ 3.55078125 97.44921875] ; [  5.44921875 149.55078125],0
r1,1,0.002639,9.041822,[84 18] ; [103  55],[73.36153846 28.63846154] ; [113.63846154  44.36153846],0
a5,1,0.00792,7.05149,[78 24] ; [97 63],[68.12977099 33.87022901] ; [106.87022901  53.12977099],0
d1,1,0.010232,6.594061,[58 44] ; [65 95],[47.88549618 54.11450382] ; [75.11450382 84.88549618],0
p7,1,0.01056,6.53786,[53 41] ; [62 94],[43.24 50.76] ; [71.76 84.24],0
p6,1,0.010696,6.515138,[26 74] ; [ 21 136],[18.28793774 81.71206226] ; [ 28.71206226 128.28793774],0
p9,1,0.014845,5.934717,[84 15] ; [111  44],[76.00393701 22.99606299] ; [118.99606299  36.00393701],0
u3,1,0.015455,5.863846,[14  6] ; [25 39],[ 9.28571429 10.71428571] ; [29.71428571 34.28571429],0
n4,1,0.015664,5.840173,[92 10] ; [126  34],[84.87022901 17.12977099] ; [133.12977099  26.87022901],0
b1,1,0.018347,5.56273,[50 52] ; [ 55 105],[40.8778626 61.1221374] ; [64.1221374 95.8778626],0
r3,1,0.024942,5.027894,[94  7] ; [132  26],[88.13127413 12.86872587] ; [137.86872587  20.13127413],0
v4,1,0.032649,4.564085,[96  6] ; [137  23],[90.70992366 11.29007634] ; [142.29007634  17.70992366],0
r2,1,0.037666,4.320064,[97  4] ; [141  18],[92.45384615  8.54615385] ; [145.54615385  13.45384615],0
d4,1,0.039093,4.256831,[81 20] ; [109  50],[73.80769231 27.19230769] ; [116.19230769  42.80769231],0
n6,1,0.040705,4.18825,[89 12] ; [125  35],[82.81226054 18.18773946] ; [131.18773946  28.81226054],0
p11,1,0.065861,3.383266,[79 23] ; [107  53],[72.41221374 29.58778626] ; [113.58778626  46.41221374],0
r4,1,0.075583,3.157415,[87 15] ; [122  38],[81.36641221 20.63358779] ; [127.63358779  32.36641221],0
p8,1,0.082667,3.011673,[37 61] ; [ 43 114],[30.74509804 67.25490196] ; [ 49.25490196 107.74509804],0
p5,1,0.086222,2.94354,[ 6 96] ; [  3 155],[ 3.53076923 98.46923077] ; [  5.46923077 152.53076923],0
v1,1,0.096983,2.754476,[51 47] ; [65 92],[44.58039216 53.41960784] ; [71.41960784 85.58039216],0
a4,1,0.10795,2.583975,[47 55] ; [ 57 101],[40.8 61.2] ; [63.2 94.8],0
d2,1,0.113186,2.509163,[50 51] ; [62 95],[43.84496124 57.15503876] ; [68.15503876 88.84496124],0
s4,1,0.132177,2.266743,[19 82] ; [ 19 139],[14.81853282 86.18146718] ; [ 23.18146718 134.81853282],0
d5,1,0.137224,2.208816,[78 23] ; [110  50],[72.75095785 28.24904215] ; [115.24904215  44.75095785],0
b4,1,0.137894,2.201302,[53 49] ; [98 62],[58.78625954 43.21374046] ; [92.21374046 67.78625954],0
p3,1,0.186076,1.748414,[27 75] ; [ 31 128],[22.66666667 79.33333333] ; [ 35.33333333 123.66666667],0
p12,1,0.232578,1.425028,[ 8 92] ; [  7 151],[ 5.81395349 94.18604651] ; [  9.18604651 148.81395349],0
