Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2e-06,22.682513,[ 1 35] ; [15 12],[ 9.14285714 26.85714286] ; [ 6.85714286 20.14285714],1
p7,1,0.000582,11.8338,[10 27] ; [19  8],[16.765625 20.234375] ; [12.234375 14.765625],1
b4,1,0.001293,10.353004,[26 11] ; [ 8 19],[19.65625 17.34375] ; [14.34375 12.65625],0
p8,1,0.008255,6.977219,[ 8 29] ; [14 12],[12.92063492 24.07936508] ; [ 9.07936508 16.92063492],0
s2,1,0.009739,6.682011,[ 5 32] ; [11 15],[ 9.3968254 27.6031746] ; [ 6.6031746 19.3968254],0
p2,1,0.010447,6.5571,[17 20] ; [21  6],[21.96875 15.03125] ; [16.03125 10.96875],0
s3,1,0.024382,5.067267,[ 7 29] ; [12 14],[11.03225806 24.96774194] ; [ 7.96774194 18.03225806],0
v3,1,0.026985,4.89177,[ 4 33] ; [ 9 18],[ 7.515625 29.484375] ; [ 5.484375 21.515625],0
a4,1,0.027292,4.872241,[ 7 30] ; [12 15],[10.984375 26.015625] ; [ 8.015625 18.984375],0
n6,1,0.032165,4.589657,[17 19] ; [20  7],[21.14285714 14.85714286] ; [15.85714286 11.14285714],0
s8,1,0.0582,3.587954,[ 5 32] ; [ 9 18],[ 8.09375 28.90625] ; [ 5.90625 21.09375],0
p6,1,0.065455,3.393472,[ 3 32] ; [ 7 20],[ 5.64516129 29.35483871] ; [ 4.35483871 22.64516129],0
s6,1,0.082011,3.024598,[10 27] ; [13 14],[13.296875 23.703125] ; [ 9.703125 17.296875],0
p9,1,0.106626,2.603531,[17 18] ; [18  8],[20.08196721 14.91803279] ; [14.91803279 11.08196721],0
n2,1,0.119362,2.425668,[9 9] ; [8 2],[10.92857143  7.07142857] ; [6.07142857 3.92857143],0
d3,1,0.138919,2.189889,[15 22] ; [16 11],[17.921875 19.078125] ; [13.078125 13.921875],0
p11,1,0.151289,2.059202,[18 19] ; [18  9],[20.8125 16.1875] ; [15.1875 11.8125],0
