Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,1e-05,19.451923,[32  4] ; [20 28],[22.28571429 13.71428571] ; [29.71428571 18.28571429],1
r3,1,2.8e-05,17.577195,[27  7] ; [16 33],[17.61445783 16.38554217] ; [25.38554217 23.61445783],1
n3,1,4.8e-05,16.530417,[13  1] ; [ 7 20],[6.82926829 7.17073171] ; [13.17073171 13.82926829],1
p2,1,0.000394,12.561138,[25 11] ; [15 34],[16.94117647 19.05882353] ; [23.05882353 25.94117647],1
p10,1,0.001117,10.622053,[22 13] ; [13 35],[14.75903614 20.24096386] ; [20.24096386 27.75903614],0
p9,1,0.001544,10.025575,[24 10] ; [16 30],[17. 17.] ; [23. 23.],0
b1,1,0.002879,8.882889,[11 25] ; [31 18],[17.78823529 18.21176471] ; [24.21176471 24.78823529],0
s6,1,0.004401,8.11057,[15 21] ; [ 7 42],[ 9.31764706 26.68235294] ; [12.68235294 36.31764706],0
v2,1,0.010835,6.492119,[17 17] ; [11 37],[11.6097561 22.3902439] ; [16.3902439 31.6097561],0
b3,1,0.014385,5.990233,[ 5 16] ; [17 12],[ 9.24 11.76] ; [12.76 16.24],0
b2,1,0.014385,5.990233,[ 5 16] ; [17 12],[ 9.24 11.76] ; [12.76 16.24],0
b4,1,0.019325,5.471896,[28  8] ; [26 23],[22.87058824 13.12941176] ; [31.12941176 17.87058824],0
n2,1,0.024183,5.081481,[11  4] ; [10 17],[7.5 7.5] ; [13.5 13.5],0
s2,1,0.059058,3.563636,[11 24] ; [ 7 42],[ 7.5 27.5] ; [10.5 38.5],0
a1,1,0.082065,3.02352,[ 2 34] ; [ 9 40],[ 4.65882353 31.34117647] ; [ 6.34117647 42.65882353],0
p8,1,0.11287,2.513574,[ 7 28] ; [ 4 45],[ 4.58333333 30.41666667] ; [ 6.41666667 42.58333333],0
u2,1,0.126645,2.333159,[6 7] ; [ 5 18],[3.97222222 9.02777778] ; [ 7.02777778 15.97222222],0
u3,1,0.126645,2.333159,[6 7] ; [ 5 18],[3.97222222 9.02777778] ; [ 7.02777778 15.97222222],0
s7,1,0.166873,1.910813,[12 23] ; [ 9 35],[ 9.30379747 25.69620253] ; [11.69620253 32.30379747],0
d4,1,0.174976,1.839788,[27  8] ; [31 18],[24.16666667 10.83333333] ; [33.83333333 15.16666667],0
p5,1,0.175844,1.832404,[ 3 33] ; [ 1 48],[ 1.69411765 34.30588235] ; [ 2.30588235 46.69411765],0
s8,1,0.226696,1.461475,[ 7 29] ; [ 5 44],[ 5.08235294 30.91764706] ; [ 6.91764706 42.08235294],0
d1,1,0.246993,1.340232,[20 16] ; [21 28],[17.36470588 18.63529412] ; [23.63529412 25.36470588],0
p4,1,0.303475,1.058861,[10 26] ; [ 9 40],[ 8.04705882 27.95294118] ; [10.95294118 38.04705882],0
v4,1,0.35519,0.854828,[22 14] ; [25 24],[19.90588235 16.09411765] ; [27.09411765 21.90588235],0
s3,1,0.356809,0.849092,[12 23] ; [12 36],[10.12048193 24.87951807] ; [13.87951807 34.12048193],0
a3,1,0.371093,0.8,[23 13] ; [26 22],[21. 15.] ; [28. 20.],0
d2,1,0.378039,0.77707,[18 17] ; [20 28],[16.02409639 18.97590361] ; [21.97590361 26.02409639],0
s5,1,0.383831,0.758397,[ 7 29] ; [ 6 42],[ 5.57142857 30.42857143] ; [ 7.42857143 40.57142857],0
p6,1,0.44237,0.590128,[ 4 32] ; [ 3 44],[ 3.03614458 32.96385542] ; [ 3.96385542 43.03614458],0
r1,1,0.44418,0.585459,[ 9 27] ; [16 33],[10.58823529 25.41176471] ; [14.41176471 34.58823529],0
n5,1,0.481687,0.495042,[24 12] ; [29 20],[22.44705882 13.55294118] ; [30.55294118 18.44705882],0
n1,1,0.494525,0.466667,[6 9] ; [ 8 19],[ 5. 10.] ; [ 9. 18.],0
a2,1,0.495029,0.465577,[ 4 32] ; [ 8 41],[ 5.08235294 30.91764706] ; [ 6.91764706 42.08235294],0
a5,1,0.503778,0.446969,[21 15] ; [25 24],[19.48235294 16.51764706] ; [26.51764706 22.48235294],0
v1,1,0.506732,0.440809,[11 22] ; [13 36],[ 9.65853659 23.34146341] ; [14.34146341 34.65853659],0
d5,1,0.552688,0.352523,[25 11] ; [31 18],[23.71764706 12.28235294] ; [32.28235294 16.71764706],0
v3,1,0.615592,0.252112,[ 9 27] ; [10 39],[ 8.04705882 27.95294118] ; [10.95294118 38.04705882],0
s4,1,0.66657,0.18564,[ 4 32] ; [ 7 42],[ 4.65882353 31.34117647] ; [ 6.34117647 42.65882353],0
u1,1,0.694157,0.154622,[ 3 33] ; [ 3 46],[ 2.54117647 33.45882353] ; [ 3.45882353 45.54117647],0
a8,1,0.71532,0.133021,[ 2 31] ; [ 2 45],[ 1.65 31.35] ; [ 2.35 44.65],0
p3,1,0.742188,0.108213,[ 7 29] ; [ 8 40],[ 6.42857143 29.57142857] ; [ 8.57142857 39.42857143],0
d3,1,0.819619,0.052,[20 16] ; [26 23],[19.48235294 16.51764706] ; [26.51764706 22.48235294],0
p1,1,0.823439,0.049784,[ 5 31] ; [ 6 43],[ 4.65882353 31.34117647] ; [ 6.34117647 42.65882353],0
a4,1,0.948578,0.004159,[14 22] ; [19 29],[14.14285714 21.85714286] ; [18.85714286 29.14285714],0
a7,1,0.970568,0.001361,[17 18] ; [24 25],[17.08333333 17.91666667] ; [23.91666667 25.08333333],0
