Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,33.005966,[37  6] ; [37 71],[21.07284768 21.92715232] ; [52.92715232 55.07284768],1
b1,1,0.001633,9.921886,[ 7 38] ; [47 65],[15.47770701 29.52229299] ; [38.52229299 73.47770701],0
p12,1,0.002928,8.851948,[ 6 39] ; [  2 110],[ 2.29299363 42.70700637] ; [  5.70700637 106.29299363],0
v1,1,0.010369,6.570456,[28 17] ; [44 67],[20.76923077 24.23076923] ; [51.23076923 59.76923077],0
a7,1,0.018422,5.555549,[40  5] ; [79 32],[34.32692308 10.67307692] ; [84.67307692 26.32692308],0
r1,1,0.0323,4.582505,[37  8] ; [72 39],[31.44230769 13.55769231] ; [77.55769231 33.44230769],0
n1,1,0.039718,4.229884,[ 2 18] ; [13 24],[ 5.26315789 14.73684211] ; [ 9.73684211 27.26315789],0
d3,1,0.058903,3.567996,[36  9] ; [71 39],[31.06451613 13.93548387] ; [75.93548387 34.06451613],0
p9,1,0.080824,3.048252,[44  1] ; [100  12],[41.27388535  3.72611465] ; [102.72611465   9.27388535],0
r4,1,0.084951,2.96754,[40  5] ; [86 26],[36.11464968  8.88535032] ; [89.88535032 22.11464968],0
b2,1,0.140621,2.171156,[ 9 11] ; [14 38],[ 6.38888889 13.61111111] ; [16.61111111 35.38888889],0
b3,1,0.140621,2.171156,[ 9 11] ; [14 38],[ 6.38888889 13.61111111] ; [16.61111111 35.38888889],0
s8,1,0.178883,1.806883,[20 25] ; [37 75],[16.33757962 28.66242038] ; [40.66242038 71.33757962],0
p5,1,0.201531,1.631246,[ 5 40] ; [  6 106],[ 3.15286624 41.84713376] ; [  7.84713376 104.15286624],0
a5,1,0.207093,1.591632,[31 14] ; [65 47],[27.51592357 17.48407643] ; [68.48407643 43.51592357],0
s6,1,0.216234,1.529193,[31 13] ; [67 45],[27.64102564 16.35897436] ; [70.35897436 41.64102564],0
v4,1,0.226355,1.463619,[44  1] ; [103   8],[42.40384615  2.59615385] ; [104.59615385   6.40384615],0
u1,1,0.226913,1.460108,[ 7 38] ; [ 10 102],[ 4.87261146 40.12738854] ; [12.12738854 99.87261146],0
b5,1,0.243629,1.35947,[24 21] ; [71 41],[27.22929936 17.77070064] ; [67.77070064 44.22929936],0
d4,1,0.278656,1.173634,[37  8] ; [83 29],[34.39490446 10.60509554] ; [85.60509554 26.39490446],0
r2,1,0.280258,1.165838,[42  3] ; [97 14],[40.09615385  4.90384615] ; [98.90384615 12.09615385],0
u2,1,0.283217,1.151586,[11  4] ; [26 19],[9.25 5.75] ; [27.75 17.25],0
p6,1,0.286535,1.135832,[ 9 35] ; [32 79],[11.63870968 32.36129032] ; [29.36129032 81.63870968],0
a2,1,0.30437,1.05495,[ 8 37] ; [13 99],[ 6.01910828 38.98089172] ; [14.98089172 97.01910828],0
p11,1,0.318065,0.996885,[36  9] ; [81 31],[33.53503185 11.46496815] ; [83.46496815 28.53503185],0
d1,1,0.347416,0.882875,[23 22] ; [48 64],[20.35031847 24.64968153] ; [50.64968153 61.35031847],0
a3,1,0.368389,0.809091,[30 15] ; [66 46],[27.51592357 17.48407643] ; [68.48407643 43.51592357],0
a8,1,0.388827,0.742607,[ 1 42] ; [  6 101],[ 2.00666667 40.99333333] ; [  4.99333333 102.00666667],0
a6,1,0.390919,0.736082,[31 14] ; [69 43],[28.66242038 16.33757962] ; [71.33757962 40.66242038],0
b4,1,0.399854,0.708764,[29 16] ; [64 48],[26.65605096 18.34394904] ; [66.34394904 45.65605096],0
n6,1,0.422779,0.642578,[32 12] ; [74 38],[29.8974359 14.1025641] ; [76.1025641 35.8974359],0
n3,1,0.432457,0.616216,[12  8] ; [26 11],[13.33333333  6.66666667] ; [24.66666667 12.33333333],0
s2,1,0.434529,0.610686,[19 26] ; [55 57],[21.21019108 23.78980892] ; [52.78980892 59.21019108],0
n2,1,0.449123,0.572864,[14  6] ; [30  8],[15.17241379  4.82758621] ; [28.82758621  9.17241379],0
p8,1,0.462751,0.539232,[24 21] ; [52 59],[21.92307692 23.07692308] ; [54.07692308 56.92307692],0
p7,1,0.489419,0.477804,[28 16] ; [61 45],[26.10666667 17.89333333] ; [62.89333333 43.10666667],0
r3,1,0.530534,0.393368,[42  3] ; [101  11],[40.98726115  4.01273885] ; [102.01273885   9.98726115],0
d5,1,0.578744,0.308269,[34 11] ; [79 32],[32.59615385 12.40384615] ; [80.40384615 30.59615385],0
p2,1,0.607617,0.26366,[37  8] ; [88 24],[35.82802548  9.17197452] ; [89.17197452 22.82802548],0
s7,1,0.665544,0.186859,[17 26] ; [39 70],[15.84210526 27.15789474] ; [40.15789474 68.84210526],0
s4,1,0.67891,0.171355,[11 34] ; [31 81],[12.03821656 32.96178344] ; [29.96178344 82.03821656],0
p3,1,0.726582,0.122273,[17 28] ; [39 73],[16.05095541 28.94904459] ; [39.94904459 72.05095541],0
s5,1,0.747589,0.103568,[16 28] ; [37 73],[15.14285714 28.85714286] ; [37.85714286 72.14285714],0
a4,1,0.771535,0.084313,[13 32] ; [35 77],[13.75796178 31.24203822] ; [34.24203822 77.75796178],0
a1,1,0.796405,0.066565,[ 2 43] ; [  4 108],[ 1.71974522 43.28025478] ; [  4.28025478 107.71974522],0
n5,1,0.797136,0.066078,[17 28] ; [44 66],[17.70967742 27.29032258] ; [43.29032258 66.70967742],0
d2,1,0.815881,0.054217,[14 31] ; [37 75],[14.61783439 30.38216561] ; [36.38216561 75.61783439],0
s3,1,0.859726,0.031231,[22 23] ; [56 55],[22.5 22.5] ; [55.5 55.5],0
p4,1,0.864527,0.029109,[20 25] ; [51 60],[20.48076923 24.51923077] ; [50.51923077 60.48076923],0
u3,1,0.889103,0.019443,[9 5] ; [28 17],[8.77966102 5.22033898] ; [28.22033898 16.77966102],0
p1,1,0.896266,0.016999,[ 3 41] ; [  7 105],[ 2.82051282 41.17948718] ; [  7.17948718 104.82051282],0
