Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,30.375049,[210  56] ; [32 38],[191.58333333  74.41666667] ; [50.41666667 19.58333333],1
a3,1,3.1e-05,17.357042,[227  39] ; [45 26],[214.69436202  51.30563798] ; [57.30563798 13.69436202],1
s6,1,3.8e-05,16.946168,[234  30] ; [48 22],[222.89820359  41.10179641] ; [59.10179641 10.89820359],1
s3,1,0.000105,15.037594,[212  54] ; [40 30],[199.5  66.5] ; [52.5 17.5],1
n5,1,0.000424,12.422326,[236  31] ; [50 20],[226.59347181  40.40652819] ; [59.40652819 10.59347181],1
p5,1,0.000574,11.857753,[ 52 211] ; [ 2 69],[ 42.52095808 220.47904192] ; [11.47904192 59.52095808],1
s5,1,0.005547,7.691977,[123 129] ; [20 47],[112.96551724 139.03448276] ; [30.03448276 36.96551724],0
u1,1,0.010405,6.564216,[ 73 194] ; [ 9 62],[ 64.77514793 202.22485207] ; [17.22485207 53.77514793],0
v4,1,0.042991,4.095759,[261   6] ; [66  5],[258.31065089   8.68934911] ; [68.68934911  2.31065089],0
v3,1,0.050682,3.818749,[133 125] ; [26 42],[125.83435583 132.16564417] ; [33.16564417 34.83435583],0
a2,1,0.05069,3.818471,[ 80 187] ; [13 58],[ 73.46449704 193.53550296] ; [19.53550296 51.46449704],0
p9,1,0.063884,3.433575,[247  19] ; [61 10],[243.10979228  22.89020772] ; [64.89020772  6.10979228],0
p6,1,0.070662,3.267586,[135 127] ; [28 43],[128.24624625 133.75375375] ; [34.75375375 36.24624625],0
a5,1,0.083616,2.993186,[220  47] ; [52 19],[214.86390533  52.13609467] ; [57.13609467 13.86390533],0
p4,1,0.084795,2.970506,[186  80] ; [42 29],[179.96439169  86.03560831] ; [48.03560831 22.96439169],0
r2,1,0.113728,2.501631,[256   8] ; [65  5],[253.7245509  10.2754491] ; [67.2754491  2.7245509],0
u2,1,0.130101,2.291296,[26 14] ; [12 14],[23.03030303 16.96969697] ; [14.96969697 11.03030303],0
u4,1,0.137669,2.203825,[ 15 252] ; [ 1 70],[ 12.63905325 254.36094675] ; [ 3.36094675 67.63905325],0
a4,1,0.157732,1.995832,[138 129] ; [30 41],[132.71005917 134.28994083] ; [35.28994083 35.71005917],0
p7,1,0.175236,1.83757,[188  71] ; [45 25],[183.42553191  75.57446809] ; [49.57446809 20.42553191],0
p1,1,0.184505,1.760956,[ 29 237] ; [ 4 67],[ 26.04747774 239.95252226] ; [ 6.95252226 64.04747774],0
p12,1,0.186986,1.741203,[ 34 231] ; [ 5 65],[ 30.85074627 234.14925373] ; [ 8.14925373 61.85074627],0
b4,1,0.188822,1.726783,[146 121] ; [45 26],[150.87869822 116.12130178] ; [40.12130178 30.87869822],0
n4,1,0.202493,1.624305,[236  30] ; [59 12],[232.84866469  33.15133531] ; [62.15133531  8.84866469],0
