Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,24.875696,[34 10] ; [14 39],[21.77319588 22.22680412] ; [26.22680412 26.77319588],1
s5,1,3.3e-05,17.258503,[23 19] ; [ 7 43],[13.69565217 28.30434783] ; [16.30434783 33.69565217],1
s7,1,0.000953,10.917184,[25 16] ; [14 38],[17.19354839 23.80645161] ; [21.80645161 30.19354839],1
s6,1,0.001057,10.724516,[34  9] ; [24 28],[26.25263158 16.74736842] ; [31.74736842 20.25263158],0
u3,1,0.003012,8.8,[14  1] ; [ 8 10],[10.  5.] ; [12.  6.],0
s8,1,0.004865,7.929018,[23 21] ; [13 40],[16.32989691 27.67010309] ; [19.67010309 33.32989691],0
n1,1,0.007932,7.048661,[8 5] ; [ 2 13],[4.64285714 8.35714286] ; [5.35714286 9.64285714],0
s4,1,0.008134,7.003737,[12 32] ; [ 4 50],[ 7.18367347 36.81632653] ; [ 8.81632653 45.18367347],0
p2,1,0.011112,6.447363,[27 16] ; [46  8],[32.36082474 10.63917526] ; [40.63917526 13.36082474],0
u1,1,0.025223,5.008486,[ 9 35] ; [ 3 51],[ 5.3877551 38.6122449] ; [ 6.6122449 47.3877551],0
d5,1,0.044925,4.021465,[39  5] ; [39 15],[35.02040816  8.97959184] ; [42.97959184 11.02040816],0
p7,1,0.089355,2.885963,[16 26] ; [30 24],[20.125 21.875] ; [25.875 28.125],0
p4,1,0.113536,2.504295,[22 21] ; [19 35],[18.17525773 24.82474227] ; [22.82474227 31.17525773],0
p8,1,0.121258,2.400998,[14 29] ; [26 28],[17.73195876 25.26804124] ; [22.26804124 31.73195876],0
d4,1,0.122939,2.379468,[40  4] ; [43 11],[37.26530612  6.73469388] ; [45.73469388  8.26530612],0
a2,1,0.125857,2.342876,[11 33] ; [ 7 47],[ 8.08163265 35.91836735] ; [ 9.91836735 44.08163265],0
n2,1,0.150449,2.067692,[11  2] ; [9 6],[9.28571429 3.71428571] ; [10.71428571  4.28571429],0
a7,1,0.184935,1.757512,[28 16] ; [41 13],[30.97959184 13.02040816] ; [38.02040816 15.97959184],0
v4,1,0.216752,1.525747,[42  2] ; [46  6],[40.33333333  3.66666667] ; [47.66666667  4.33333333],0
d1,1,0.223017,1.484848,[25 19] ; [24 30],[22. 22.] ; [27. 27.],0
r3,1,0.237713,1.394108,[42  2] ; [48  6],[40.40816327  3.59183673] ; [49.59183673  4.40816327],0
b5,1,0.243293,1.361414,[26 18] ; [38 16],[28.73469388 15.26530612] ; [35.26530612 18.73469388],0
p12,1,0.252501,1.309414,[ 4 38] ; [ 2 51],[ 2.65263158 39.34736842] ; [ 3.34736842 49.65263158],0
p11,1,0.254223,1.299945,[27 17] ; [39 15],[29.63265306 14.36734694] ; [36.36734694 17.63265306],0
d3,1,0.274926,1.192003,[29 15] ; [41 13],[31.42857143 12.57142857] ; [38.57142857 15.42857143],0
a5,1,0.276527,1.184078,[33 11] ; [35 19],[30.53061224 13.46938776] ; [37.46938776 16.53061224],0
p10,1,0.317832,0.997849,[28 14] ; [30 23],[25.64210526 16.35789474] ; [32.35789474 20.64210526],0
r4,1,0.318504,0.995081,[37  7] ; [41 13],[35.02040816  8.97959184] ; [42.97959184 11.02040816],0
b2,1,0.365593,0.818591,[ 9 15] ; [14 14],[10.61538462 13.38461538] ; [12.38461538 15.61538462],0
b3,1,0.365593,0.818591,[ 9 15] ; [14 14],[10.61538462 13.38461538] ; [12.38461538 15.61538462],0
p6,1,0.384972,0.754763,[15 28] ; [13 36],[13.08695652 29.91304348] ; [14.91304348 34.08695652],0
n4,1,0.418195,0.655381,[16 28] ; [24 30],[17.95918367 26.04081633] ; [22.04081633 31.95918367],0
d2,1,0.419021,0.653058,[19 25] ; [19 35],[17.06122449 26.93877551] ; [20.93877551 33.06122449],0
r1,1,0.422591,0.6431,[32 12] ; [43 11],[33.67346939 10.32653061] ; [41.32653061 12.67346939],0
p5,1,0.451858,0.565986,[ 3 39] ; [ 2 52],[ 2.1875 39.8125] ; [ 2.8125 51.1875],0
v2,1,0.455644,0.556574,[24 17] ; [35 18],[25.73404255 15.26595745] ; [33.26595745 19.73404255],0
n6,1,0.504357,0.445756,[26 17] ; [29 25],[24.3814433 18.6185567] ; [30.6185567 23.3814433],0
a6,1,0.536485,0.382093,[25 19] ; [34 20],[26.48979592 17.51020408] ; [32.51020408 21.48979592],0
a8,1,0.657285,0.196839,[ 3 37] ; [ 5 44],[ 3.59550562 36.40449438] ; [ 4.40449438 44.59550562],0
b1,1,0.69185,0.15709,[17 27] ; [23 31],[17.95918367 26.04081633] ; [22.04081633 31.95918367],0
r2,1,0.695684,0.153,[40  4] ; [46  6],[39.41666667  4.58333333] ; [46.58333333  5.41666667],0
p9,1,0.710046,0.138231,[31 11] ; [38 16],[30.1875 11.8125] ; [38.8125 15.1875],0
a4,1,0.715083,0.133253,[22 22] ; [25 29],[21.10204082 22.89795918] ; [25.89795918 28.10204082],0
s1,1,0.762081,0.091657,[ 4 40] ; [ 4 50],[ 3.59183673 40.40816327] ; [ 4.40816327 49.59183673],0
v3,1,0.769024,0.086232,[17 24] ; [20 32],[16.31182796 24.68817204] ; [20.68817204 31.31182796],0
u2,1,0.773117,0.083117,[10  4] ; [12  6],[9.625 4.375] ; [12.375  5.625],0
