Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1.6e-05,18.671975,[26 50] ; [ 12 113],[14.3681592 61.6318408] ; [ 23.6318408 101.3681592],1
p9,1,0.001427,10.170802,[70  7] ; [91 35],[61.06896552 15.93103448] ; [99.93103448 26.06896552],0
p8,1,0.002132,9.432179,[51 27] ; [55 72],[40.33170732 37.66829268] ; [65.66829268 61.33170732],0
s5,1,0.002901,8.86881,[36 38] ; [35 91],[26.27 47.73] ; [44.73 81.27],0
p10,1,0.004998,7.880277,[68 10] ; [89 38],[59.73658537 18.26341463] ; [97.26341463 29.73658537],0
p4,1,0.006902,7.29827,[56 22] ; [67 60],[46.8 31.2] ; [76.2 50.8],0
s8,1,0.007677,7.107321,[45 33] ; [49 78],[35.76585366 42.23414634] ; [58.23414634 68.76585366],0
p6,1,0.011056,6.456371,[40 38] ; [42 84],[31.35294118 46.64705882] ; [50.64705882 75.35294118],0
v4,1,0.013603,6.088936,[77  1] ; [114  13],[72.67317073  5.32682927] ; [118.32682927   8.67317073],0
n5,1,0.018618,5.537055,[66 12] ; [89 38],[58.97560976 19.02439024] ; [96.02439024 30.97560976],0
b3,1,0.019526,5.453748,[28 27] ; [23 52],[21.57692308 33.42307692] ; [29.42307692 45.57692308],0
b2,1,0.019526,5.453748,[28 27] ; [23 52],[21.57692308 33.42307692] ; [29.42307692 45.57692308],0
r1,1,0.025342,5.00033,[69  8] ; [98 29],[63.03431373 13.96568627] ; [103.96568627  23.03431373],0
p12,1,0.034039,4.492761,[ 7 71] ; [  3 123],[ 3.82352941 74.17647059] ; [  6.17647059 119.82352941],0
s1,1,0.042661,4.108777,[ 1 76] ; [ 10 116],[ 4.17241379 72.82758621] ; [  6.82758621 119.17241379],0
n4,1,0.044251,4.046969,[67 11] ; [94 33],[61.25853659 16.74146341] ; [99.74146341 27.25853659],0
p3,1,0.04811,3.906122,[44 33] ; [54 72],[37.17241379 39.82758621] ; [60.82758621 65.17241379],0
p7,1,0.051646,3.787194,[51 25] ; [67 59],[44.3960396 31.6039604] ; [73.6039604 52.3960396],0
n1,1,0.061987,3.483414,[10  8] ; [14 32],[ 6.75 11.25] ; [17.25 28.75],0
p5,1,0.064122,3.427424,[14 62] ; [ 12 115],[ 9.73399015 66.26600985] ; [ 16.26600985 110.73399015],0
s6,1,0.075242,3.164802,[55 21] ; [75 50],[49.15422886 26.84577114] ; [80.84577114 44.15422886],0
b1,1,0.086064,2.946503,[39 39] ; [48 79],[33.10243902 44.89756098] ; [53.89756098 73.10243902],0
s4,1,0.092614,2.828347,[21 55] ; [ 22 103],[16.25870647 59.74129353] ; [26.74129353 98.25870647],0
n2,1,0.095828,2.773641,[14  4] ; [26 21],[11.07692308  6.92307692] ; [28.92307692 18.07692308],0
p11,1,0.105508,2.620241,[61 17] ; [86 41],[55.93170732 22.06829268] ; [91.06829268 35.93170732],0
s2,1,0.142483,2.15094,[43 34] ; [57 69],[37.93103448 39.06896552] ; [62.06896552 63.93103448],0
r3,1,0.14317,2.143553,[74  4] ; [112  14],[71.11764706  6.88235294] ; [114.88235294  11.11764706],0
r4,1,0.161137,1.963522,[72  6] ; [109  18],[68.86829268  9.13170732] ; [112.13170732  14.86829268],0
s3,1,0.180989,1.789481,[48 29] ; [67 60],[43.40686275 33.59313725] ; [71.59313725 55.40686275],0
u1,1,0.231569,1.431198,[23 55] ; [28 99],[19.40487805 58.59512195] ; [31.59512195 95.40487805],0
n6,1,0.246144,1.345055,[68 10] ; [102  24],[65. 13.] ; [105.  21.],0
p2,1,0.295266,1.095452,[64 13] ; [97 29],[61.06896552 15.93103448] ; [99.93103448 26.06896552],0
a7,1,0.327109,0.96031,[59 19] ; [88 39],[55.93170732 22.06829268] ; [91.06829268 35.93170732],0
d4,1,0.40276,0.700071,[76  1] ; [122   4],[75.10344828  1.89655172] ; [122.89655172   3.10344828],0
a5,1,0.420422,0.649134,[65 13] ; [100  27],[62.7804878 15.2195122] ; [102.2195122  24.7804878],0
b5,1,0.427495,0.62962,[48 30] ; [71 56],[45.27804878 32.72195122] ; [73.72195122 53.27804878],0
u3,1,0.43833,0.600652,[13  5] ; [19 12],[11.75510204  6.24489796] ; [20.24489796 10.75510204],0
d2,1,0.567994,0.32605,[56 22] ; [85 40],[54.1773399 23.8226601] ; [86.8226601 38.1773399],0
n3,1,0.665149,0.187329,[11  6] ; [27 19],[10.25396825  6.74603175] ; [27.74603175 18.25396825],0
a4,1,0.682071,0.167804,[45 33] ; [69 57],[43.58823529 34.41176471] ; [70.41176471 55.58823529],0
a3,1,0.703532,0.144824,[60 17] ; [96 31],[58.88235294 18.11764706] ; [97.11764706 29.88235294],0
a8,1,0.711021,0.13726,[ 7 63] ; [ 10 109],[ 6.2962963 63.7037037] ; [ 10.7037037 108.2962963],0
a2,1,0.748272,0.102989,[25 53] ; [38 89],[23.97073171 54.02926829] ; [39.02926829 87.97073171],0
p1,1,0.767519,0.087392,[ 7 71] ; [ 13 114],[ 7.6097561 70.3902439] ; [ 12.3902439 114.6097561],0
u2,1,0.811609,0.056811,[11  7] ; [20 11],[11.3877551  6.6122449] ; [19.6122449 11.3877551],0
s7,1,0.876381,0.024198,[36 38] ; [57 63],[35.4742268 38.5257732] ; [57.5257732 62.4742268],0
a6,1,0.883829,0.02135,[54 24] ; [86 40],[53.52941176 24.47058824] ; [86.47058824 39.52941176],0
a1,1,0.905802,0.014003,[ 4 74] ; [  7 120],[ 4.18536585 73.81463415] ; [  6.81463415 120.18536585],0
b4,1,0.920577,0.009941,[46 32] ; [74 53],[45.65853659 32.34146341] ; [74.34146341 52.65853659],0
d5,1,0.92309,0.00932,[75  2] ; [123   3],[75.10344828  1.89655172] ; [122.89655172   3.10344828],0
d3,1,0.952348,0.003571,[71  7] ; [115  11],[71.11764706  6.88235294] ; [114.88235294  11.11764706],0
