Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,70.943124,[ 27 119] ; [143  84],[66.54155496 79.45844504] ; [103.45844504 123.54155496],1
v1,1,0.000119,14.801058,[71 74] ; [159  72],[88.69680851 56.30319149] ; [141.30319149  89.69680851],1
s4,1,0.002345,9.257692,[ 34 110] ; [ 27 204],[ 23.424 120.576] ; [ 37.576 193.424],0
a5,1,0.004923,7.907519,[107  40] ; [198  36],[117.67716535  29.32283465] ; [187.32283465  46.67716535],0
a3,1,0.022008,5.245155,[100  45] ; [185  48],[109.32539683  35.67460317] ; [175.67460317  57.32539683],0
n2,1,0.037009,4.35,[21  8] ; [27  2],[24.  5.] ; [24.  5.],0
s1,1,0.037032,4.34893,[  7 138] ; [  3 230],[  3.83597884 141.16402116] ; [  6.16402116 226.83597884],0
a6,1,0.0403,4.205212,[91 56] ; [167  65],[100.06860158  46.93139842] ; [157.93139842  74.06860158],0
s6,1,0.040759,4.186019,[109  32] ; [155  75],[100.33423181  40.66576819] ; [163.66576819  66.33423181],0
u1,1,0.045678,3.993424,[ 20 127] ; [ 51 183],[ 27.39370079 119.60629921] ; [ 43.60629921 190.39370079],0
p3,1,0.052559,3.75788,[86 60] ; [160  73],[94.7651715 51.2348285] ; [151.2348285  81.7651715],0
p12,1,0.063143,3.452856,[ 10 136] ; [ 30 203],[ 15.40897098 130.59102902] ; [ 24.59102902 208.40897098],0
b1,1,0.095833,2.773553,[66 81] ; [ 85 149],[58.25984252 88.74015748] ; [ 92.74015748 141.25984252],0
p11,1,0.108903,2.570065,[120  27] ; [205  29],[125.39370079  21.60629921] ; [199.60629921  34.39370079],0
a2,1,0.110165,2.551858,[ 29 118] ; [ 63 171],[ 35.49606299 111.50393701] ; [ 56.50393701 177.49606299],0
n3,1,0.133934,2.246305,[16 12] ; [22  7],[18.66666667  9.33333333] ; [19.33333333  9.66666667],0
d2,1,0.16438,1.933463,[70 77] ; [128 105],[76.59473684 70.40526316] ; [121.40526316 111.59473684],0
b3,1,0.199432,1.64653,[29 60] ; [59 85],[33.61373391 55.38626609] ; [54.38626609 89.61373391],0
