Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6.2e-05,16.036896,[273  29] ; [50 19],[262.92722372  39.07277628] ; [60.07277628  8.92722372],1
n4,1,0.000167,14.170103,[223  79] ; [35 34],[210.01617251  91.98382749] ; [47.98382749 21.01617251],1
n5,1,0.000329,12.899489,[221  79] ; [35 33],[208.69565217  91.30434783] ; [47.30434783 20.69565217],1
p11,1,0.000989,10.847797,[263  39] ; [49 20],[253.97304582  48.02695418] ; [58.02695418 10.97304582],1
p10,1,0.00153,10.042629,[274  26] ; [53 15],[266.57608696  33.42391304] ; [60.42391304  7.57608696],0
r3,1,0.003459,8.548092,[288  12] ; [60  9],[282.92682927  17.07317073] ; [65.07317073  3.92682927],0
b1,1,0.005905,7.578965,[ 92 210] ; [33 36],[101.75202156 200.24797844] ; [23.24797844 45.75202156],0
p2,1,0.008136,7.003352,[258  41] ; [49 18],[250.80054645  48.19945355] ; [56.19945355 10.80054645],0
v4,1,0.014929,5.924866,[284  15] ; [60  9],[279.5  19.5] ; [64.5  4.5],0
s5,1,0.016611,5.737057,[ 75 214] ; [ 8 58],[ 67.56901408 221.43098592] ; [15.43098592 50.56901408],0
p8,1,0.029554,4.735066,[157 140] ; [26 42],[148.90684932 148.09315068] ; [34.09315068 33.90684932],0
s1,1,0.043499,4.075891,[  3 295] ; [ 3 64],[  4.89863014 293.10136986] ; [ 1.10136986 65.89863014],0
d5,1,0.048649,3.887435,[242  59] ; [48 21],[235.91891892  65.08108108] ; [54.08108108 14.91891892],0
b5,1,0.054509,3.697045,[186 116] ; [51 18],[192.92183288 109.07816712] ; [44.07816712 24.92183288],0
d1,1,0.06067,3.518982,[169 133] ; [30 39],[161.98921833 140.01078167] ; [37.01078167 31.98921833],0
a1,1,0.070113,3.280367,[ 11 291] ; [ 6 63],[ 13.83827493 288.16172507] ; [ 3.16172507 65.83827493],0
d3,1,0.071246,3.25408,[207  94] ; [39 29],[200.66666667 100.33333333] ; [45.33333333 22.66666667],0
u2,1,0.071668,3.244405,[56 62] ; [18  9],[60.22068966 57.77931034] ; [13.77931034 13.22068966],0
s4,1,0.081927,3.026257,[ 45 250] ; [ 5 64],[ 40.52197802 254.47802198] ; [ 9.47802198 59.52197802],0
p3,1,0.082385,3.017204,[132 169] ; [22 46],[125.62059621 175.37940379] ; [28.37940379 39.62059621],0
r1,1,0.083924,2.987231,[225  75] ; [44 24],[219.29347826  80.70652174] ; [49.70652174 18.29347826],0
p6,1,0.094273,2.799848,[ 91 209] ; [13 52],[ 85.47945205 214.52054795] ; [18.52054795 46.47945205],0
a5,1,0.105082,2.626662,[210  92] ; [41 28],[204.3180593  97.6819407] ; [46.6819407 22.3180593],0
d2,1,0.139783,2.180348,[125 176] ; [22 47],[119.58648649 181.41351351] ; [27.41351351 41.58648649],0
a4,1,0.146964,2.103481,[129 172] ; [23 46],[123.65405405 177.34594595] ; [28.34594595 40.65405405],0
p7,1,0.152617,2.045899,[175 122] ; [32 33],[169.83149171 127.16850829] ; [37.16850829 27.83149171],0
p4,1,0.157703,1.996118,[159 142] ; [29 38],[153.77173913 147.22826087] ; [34.22826087 32.77173913],0
v2,1,0.161665,1.958582,[154 130] ; [29 36],[148.91690544 135.08309456] ; [34.08309456 30.91690544],0
r2,1,0.173929,1.848749,[276  20] ; [61  8],[273.29315068  22.70684932] ; [63.70684932  5.29315068],0
n1,1,0.222752,1.486553,[19 46] ; [ 8 10],[21.14457831 43.85542169] ; [ 5.85542169 12.14457831],0
b4,1,0.264678,1.244124,[184 118] ; [37 32],[179.89757412 122.10242588] ; [41.10242588 27.89757412],0
s6,1,0.280942,1.162527,[157 136] ; [32 37],[152.97513812 140.02486188] ; [36.02486188 32.97513812],0
b2,1,0.296133,1.091528,[ 56 103] ; [10 28],[ 53.26903553 105.73096447] ; [12.73096447 25.26903553],0
b3,1,0.296133,1.091528,[ 56 103] ; [10 28],[ 53.26903553 105.73096447] ; [12.73096447 25.26903553],0
d4,1,0.310704,1.02768,[244  58] ; [52 17],[240.94878706  61.05121294] ; [55.05121294 13.94878706],0
s3,1,0.322199,0.979999,[111 184] ; [30 38],[114.58677686 180.41322314] ; [26.41322314 41.58677686],0
a6,1,0.356887,0.848818,[214  88] ; [45 24],[210.83018868  91.16981132] ; [48.16981132 20.83018868],0
n2,1,0.356981,0.848485,[48 18] ; [15  3],[49.5 16.5] ; [13.5  4.5],0
a2,1,0.361327,0.833277,[ 58 244] ; [10 59],[ 55.35309973 246.64690027] ; [12.64690027 56.35309973],0
v1,1,0.383637,0.759016,[155 138] ; [31 35],[151.80501393 141.19498607] ; [34.19498607 31.80501393],0
a7,1,0.385392,0.753431,[224  76] ; [48 21],[221.13821138  78.86178862] ; [50.86178862 18.13821138],0
u1,1,0.405103,0.693126,[ 37 265] ; [ 6 63],[ 35.00269542 266.99730458] ; [ 7.99730458 61.00269542],0
u3,1,0.45376,0.561242,[58 59] ; [15 11],[59.72727273 57.27272727] ; [13.27272727 12.72727273],0
p5,1,0.480245,0.498308,[ 25 275] ; [ 4 65],[ 23.57723577 276.42276423] ; [ 5.42276423 63.57723577],0
p12,1,0.491551,0.473129,[ 20 281] ; [ 3 65],[ 18.76151762 282.23848238] ; [ 4.23848238 63.76151762],0
s8,1,0.58061,0.30525,[ 61 241] ; [16 53],[ 62.67924528 239.32075472] ; [14.32075472 54.67924528],0
