Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,115.943116,[556  14] ; [23 16],[541.92118227  28.07881773] ; [37.07881773  1.92118227],1
r4,1,0.0,114.532945,[540  33] ; [17 22],[521.50490196  51.49509804] ; [35.49509804  3.50490196],1
r1,1,0.0,40.613618,[473  97] ; [16 23],[457.68472906 112.31527094] ; [31.31527094  7.68472906],1
n4,1,0.000209,13.75265,[465 108] ; [22 17],[455.96568627 117.03431373] ; [31.03431373  7.96568627],1
r3,1,0.001128,10.605429,[554  17] ; [33  5],[550.3727422  20.6272578] ; [36.6272578  1.3727422],0
p3,1,0.001488,10.093942,[295 273] ; [10 29],[285.40362438 282.59637562] ; [19.59637562 19.40362438],0
d5,1,0.00202,9.531497,[467 104] ; [24 15],[459.60819672 111.39180328] ; [31.39180328  7.60819672],0
s3,1,0.00286,8.894385,[303 259] ; [11 27],[294.11333333 267.88666667] ; [19.88666667 18.11333333],0
d1,1,0.003567,8.492043,[342 231] ; [14 25],[333.31372549 239.68627451] ; [22.68627451 16.31372549],0
u3,1,0.006595,7.380132,[97 64] ; [ 4 12],[91.8700565 69.1299435] ; [9.1299435 6.8700565],0
s7,1,0.014332,5.996729,[257 290] ; [ 9 26],[250.00343643 296.99656357] ; [15.99656357 19.00343643],0
a2,1,0.022902,5.175944,[134 439] ; [ 3 36],[128.26960784 444.73039216] ; [ 8.73039216 30.26960784],0
v1,1,0.026058,4.952157,[314 239] ; [15 24],[307.32601351 245.67398649] ; [21.67398649 17.32601351],0
d4,1,0.030683,4.670617,[472  97] ; [27 12],[466.99177632 102.00822368] ; [32.00822368  6.99177632],0
s2,1,0.033836,4.50297,[265 303] ; [11 27],[258.69306931 309.30693069] ; [17.30693069 20.69306931],0
n6,1,0.036702,4.364204,[492  77] ; [29 10],[487.58059211  81.41940789] ; [33.41940789  5.58059211],0
p2,1,0.038259,4.29347,[489  77] ; [29 10],[484.60826446  81.39173554] ; [33.39173554  5.60826446],0
p10,1,0.044612,4.033241,[486  81] ; [28 10],[481.71570248  85.28429752] ; [32.28429752  5.71570248],0
p5,1,0.055554,3.665383,[ 70 495] ; [ 9 30],[ 73.89900662 491.10099338] ; [ 5.10099338 33.89900662],0
p7,1,0.063503,3.443436,[366 189] ; [20 19],[360.65656566 194.34343434] ; [25.34343434 13.65656566],0
a7,1,0.070891,3.262261,[413 157] ; [23 16],[408.07881773 161.92118227] ; [27.92118227 11.07881773],0
a3,1,0.078307,3.099688,[412 159] ; [23 16],[407.18852459 163.81147541] ; [27.81147541 11.18852459],0
a6,1,0.079804,3.068895,[398 172] ; [22 17],[393.10344828 176.89655172] ; [26.89655172 12.10344828],0
a4,1,0.085182,2.963151,[256 314] ; [12 27],[250.83743842 319.16256158] ; [17.16256158 21.83743842],0
b1,1,0.090272,2.869509,[202 371] ; [19 20],[206.91666667 366.08333333] ; [14.08333333 24.91666667],0
p9,1,0.122237,2.388418,[496  70] ; [30  8],[492.90728477  73.09271523] ; [33.09271523  4.90728477],0
p8,1,0.13273,2.260276,[314 247] ; [17 22],[309.485 251.515] ; [21.515 17.485],0
n5,1,0.142883,2.146635,[438 131] ; [26 13],[434.23684211 134.76315789] ; [29.76315789  9.23684211],0
u1,1,0.143093,2.144379,[ 95 478] ; [ 3 36],[ 91.75490196 481.24509804] ; [ 6.24509804 32.75490196],0
d3,1,0.157823,1.994958,[385 186] ; [22 17],[380.97868852 190.02131148] ; [26.02131148 12.97868852],0
v2,1,0.201203,1.633623,[331 216] ; [19 19],[327.26495726 219.73504274] ; [22.73504274 15.26495726],0
p6,1,0.202397,1.62499,[200 360] ; [10 29],[196.32721202 363.67278798] ; [13.67278798 25.32721202],0
u2,1,0.240034,1.380392,[96 64] ; [12  4],[98.18181818 61.81818182] ; [9.81818182 6.18181818],0
v3,1,0.247121,1.339509,[235 314] ; [13 26],[231.55102041 317.44897959] ; [16.44897959 22.55102041],0
a5,1,0.270578,1.213817,[427 145] ; [26 13],[424.08510638 147.91489362] ; [28.91489362 10.08510638],0
s8,1,0.322627,0.978266,[250 318] ; [14 25],[247.03789127 320.96210873] ; [16.96210873 22.03789127],0
s5,1,0.334589,0.931055,[169 387] ; [ 9 30],[166.33277311 389.66722689] ; [11.66722689 27.33277311],0
p4,1,0.387234,0.747609,[345 222] ; [21 18],[342.44554455 224.55445545] ; [23.55445545 15.44554455],0
p12,1,0.404458,0.695032,[ 50 515] ; [ 5 34],[ 51.4486755 513.5513245] ; [ 3.5513245 35.4486755],0
b2,1,0.424723,0.637208,[156 214] ; [ 7 14],[154.2455243 215.7544757] ; [ 8.7544757 12.2455243],0
b3,1,0.424723,0.637208,[156 214] ; [ 7 14],[154.2455243 215.7544757] ; [ 8.7544757 12.2455243],0
s6,1,0.493835,0.468159,[348 214] ; [22 17],[345.99001664 216.00998336] ; [24.00998336 14.99001664],0
n1,1,0.508418,0.437322,[41 68] ; [ 4 10],[39.87804878 69.12195122] ; [5.12195122 8.87804878],0
b4,1,0.543136,0.369758,[339 234] ; [25 14],[340.80392157 232.19607843] ; [23.19607843 15.80392157],0
d2,1,0.595491,0.281851,[273 296] ; [17 22],[271.39802632 297.60197368] ; [18.60197368 20.39802632],0
n3,1,0.641193,0.217185,[80 30] ; [11  3],[80.72580645 29.27419355] ; [10.27419355  3.72580645],0
p1,1,0.790768,0.070391,[ 51 516] ; [ 4 35],[ 51.46039604 515.53960396] ; [ 3.53960396 35.46039604],0
n2,1,0.86025,0.030996,[81 29] ; [10  4],[80.72580645 29.27419355] ; [10.27419355  3.72580645],0
a8,1,0.861828,0.030293,[ 81 439] ; [ 6 30],[ 81.36690647 438.63309353] ; [ 5.63309353 30.36690647],0
b5,1,0.899288,0.016017,[332 241] ; [23 16],[332.37745098 240.62254902] ; [22.62254902 16.37745098],0
s1,1,0.917225,0.010801,[ 13 551] ; [ 1 38],[ 13.09452736 550.90547264] ; [ 0.90547264 38.09452736],0
a1,1,0.94608,0.004574,[ 28 545] ; [ 2 37],[ 28.08823529 544.91176471] ; [ 1.91176471 37.08823529],0
