Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,75.340917,[191 144] ; [ 42 173],[141.91818182 193.08181818] ; [ 91.08181818 123.91818182],1
v1,1,0.0,28.184601,[226 111] ; [ 93 118],[196.17335766 140.82664234] ; [122.82664234  88.17335766],1
r1,1,8.2e-05,15.5079,[302  40] ; [164  53],[285.1019678  56.8980322] ; [180.8980322  36.1019678],1
r3,1,0.000421,12.438601,[336   6] ; [200  17],[327.92844365  14.07155635] ; [208.07155635   8.92844365],1
r2,1,0.007947,7.045289,[329  10] ; [197  17],[322.44846293  16.55153707] ; [203.55153707  10.44846293],0
d1,1,0.021768,5.264195,[245  99] ; [135  83],[232.59786477 111.40213523] ; [147.40213523  70.59786477],0
s4,1,0.021928,5.251474,[ 49 293] ; [ 47 168],[ 58.9443447 283.0556553] ; [ 37.0556553 177.9443447],0
r4,1,0.022248,5.226302,[322  22] ; [192  26],[314.61921708  29.38078292] ; [199.38078292  18.61921708],0
s1,1,0.024388,5.066832,[  5 335] ; [ 10 205],[  9.18918919 330.81081081] ; [  5.81081081 209.18918919],0
p3,1,0.026551,4.919766,[206 136] ; [110 107],[193.33094812 148.66905188] ; [122.66905188  94.33094812],0
a7,1,0.030577,4.676557,[265  79] ; [150  68],[254.02135231  89.97864769] ; [160.97864769  57.02135231],0
p12,1,0.043745,4.066373,[ 42 301] ; [ 15 201],[ 34.97495528 308.02504472] ; [ 22.02504472 193.97495528],0
v4,1,0.046219,3.973603,[329  11] ; [203  15],[324.15770609  15.84229391] ; [207.84229391  10.15770609],0
u1,1,0.04635,3.968817,[ 88 256] ; [ 40 178],[ 78.34875445 265.65124555] ; [ 49.65124555 168.34875445],0
d5,1,0.067771,3.336189,[303  40] ; [179  37],[295.75313059  47.24686941] ; [186.24686941  29.75313059],0
s7,1,0.085539,2.95638,[194 135] ; [108 102],[184.33766234 144.66233766] ; [117.66233766  92.33766234],0
p7,1,0.085556,2.956064,[238 100] ; [135  78],[228.80943739 109.19056261] ; [144.19056261  68.80943739],0
d3,1,0.090787,2.860364,[255  88] ; [147  70],[246.225  96.775] ; [155.775  61.225],0
d4,1,0.124996,2.353572,[303  40] ; [181  35],[296.980322  46.019678] ; [187.019678  28.980322],0
p10,1,0.129858,2.294197,[319  24] ; [193  23],[314.16100179  28.83899821] ; [197.83899821  18.16100179],0
s2,1,0.137744,2.202981,[194 147] ; [109 107],[185.49910233 155.50089767] ; [117.50089767  98.49910233],0
b1,1,0.145985,2.113708,[118 226] ; [ 88 130],[126.09252669 217.90747331] ; [ 79.90747331 138.09252669],0
n1,1,0.150064,2.071603,[19 41] ; [25 31],[22.75862069 37.24137931] ; [21.24137931 34.75862069],0
d2,1,0.15805,1.99279,[205 138] ; [116 100],[196.96422182 146.03577818] ; [124.03577818  91.96422182],0
p8,1,0.175059,1.839075,[199 138] ; [116 102],[191.27027027 145.72972973] ; [123.72972973  94.27027027],0
a8,1,0.214221,1.542666,[ 51 253] ; [ 26 178],[ 46.07874016 257.92125984] ; [ 30.92125984 173.07874016],0
s5,1,0.243922,1.357784,[137 193] ; [ 77 134],[130.53604436 199.46395564] ; [ 83.46395564 127.53604436],0
a3,1,0.268946,1.222115,[282  61] ; [171  47],[276.96791444  66.03208556] ; [176.03208556  41.96791444],0
a6,1,0.275131,1.190986,[254  88] ; [152  65],[248.39355993  93.60644007] ; [157.60644007  59.39355993],0
n5,1,0.290024,1.119511,[275  64] ; [168  49],[270.10251799  68.89748201] ; [172.89748201  44.10251799],0
p4,1,0.290701,1.116372,[230 110] ; [138  80],[224.22939068 115.77060932] ; [143.77060932  74.22939068],0
