Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4.2e-05,16.784802,[ 4 41] ; [7 4],[ 8.83928571 36.16071429] ; [2.16071429 8.83928571],1
s6,1,0.0007,11.489365,[ 5 43] ; [6 5],[ 8.94915254 39.05084746] ; [2.05084746 8.94915254],1
p3,1,0.002316,9.280376,[ 4 43] ; [5 6],[ 7.29310345 39.70689655] ; [1.70689655 9.29310345],0
p6,1,0.003417,8.570298,[ 1 45] ; [3 8],[ 3.22807018 42.77192982] ; [ 0.77192982 10.22807018],0
s3,1,0.005463,7.719566,[10 37] ; [7 4],[13.77586207 33.22413793] ; [3.22413793 7.77586207],0
r3,1,0.012743,6.204496,[15 32] ; [8 3],[18.63793103 28.36206897] ; [4.36206897 6.63793103],0
p8,1,0.012793,6.197554,[ 6 41] ; [5 6],[ 8.9137931 38.0862069] ; [2.0862069 8.9137931],0
p4,1,0.062164,3.478691,[ 6 41] ; [4 7],[ 8.10344828 38.89655172] ; [1.89655172 9.10344828],0
d3,1,0.082924,3.006642,[21 27] ; [8 3],[23.59322034 24.40677966] ; [5.40677966 5.59322034],0
v1,1,0.099242,2.717677,[10 37] ; [5 6],[12.15517241 34.84482759] ; [2.84482759 8.15517241],0
n1,1,0.104756,2.631595,[13 14] ; [1 6],[11.11764706 15.88235294] ; [2.88235294 4.11764706],0
v2,1,0.107162,2.595583,[13 32] ; [6 5],[15.26785714 29.73214286] ; [3.73214286 7.26785714],0
s7,1,0.114295,2.493808,[ 8 38] ; [4 6],[ 9.85714286 36.14285714] ; [2.14285714 7.85714286],0
n5,1,0.119911,2.418487,[33 14] ; [5 6],[30.79310345 16.20689655] ; [7.20689655 3.79310345],0
s4,1,0.140782,2.169392,[ 5 43] ; [3 8],[ 6.50847458 41.49152542] ; [1.49152542 9.50847458],0
b4,1,0.187103,1.740285,[28 20] ; [4 7],[26.03389831 21.96610169] ; [5.96610169 5.03389831],0
b5,1,0.187103,1.740285,[20 28] ; [7 4],[21.96610169 26.03389831] ; [5.03389831 5.96610169],0
a3,1,0.206389,1.596579,[29 18] ; [9 2],[30.79310345 16.20689655] ; [7.20689655 3.79310345],0
s1,1,0.231611,1.43094,[ 6 41] ; [3 8],[ 7.29310345 39.70689655] ; [1.70689655 9.29310345],0
p9,1,0.243152,1.362229,[12 32] ; [5 6],[13.6 30.4] ; [3.4 7.6],0
v4,1,0.26208,1.257734,[17 30] ; [6 5],[18.63793103 28.36206897] ; [4.36206897 6.63793103],0
d4,1,0.269842,1.217551,[31 17] ; [9 2],[32.54237288 15.45762712] ; [7.45762712 3.54237288],0
n2,1,0.271473,1.209289,[13 14] ; [5 2],[14.29411765 12.70588235] ; [3.70588235 3.29411765],0
v3,1,0.292514,1.108016,[10 37] ; [4 7],[11.34482759 35.65517241] ; [2.65517241 8.34482759],0
p10,1,0.318932,0.99332,[14 33] ; [5 6],[15.39655172 31.60344828] ; [3.60344828 7.39655172],0
a4,1,0.351024,0.869753,[20 27] ; [3 8],[18.63793103 28.36206897] ; [4.36206897 6.63793103],0
p11,1,0.444476,0.584699,[12 36] ; [4 7],[13.01694915 34.98305085] ; [2.98305085 8.01694915],0
r1,1,0.469338,0.523533,[12 35] ; [4 7],[12.96551724 34.03448276] ; [3.03448276 7.96551724],0
u2,1,0.480659,0.497368,[ 5 14] ; [1 1],[ 5.42857143 13.57142857] ; [0.57142857 1.42857143],0
u3,1,0.480659,0.497368,[ 5 14] ; [1 1],[ 5.42857143 13.57142857] ; [0.57142857 1.42857143],0
a6,1,0.48786,0.481243,[25 23] ; [7 4],[26.03389831 21.96610169] ; [5.96610169 5.03389831],0
d1,1,0.516838,0.420198,[21 27] ; [6 5],[21.96610169 26.03389831] ; [5.03389831 5.96610169],0
a2,1,0.528484,0.397306,[ 8 40] ; [ 1 10],[ 7.3220339 40.6779661] ; [1.6779661 9.3220339],0
n4,1,0.567811,0.326358,[30 17] ; [6 5],[29.17241379 17.82758621] ; [6.82758621 4.17241379],0
b1,1,0.601723,0.272404,[26 22] ; [5 6],[25.22033898 22.77966102] ; [5.77966102 5.22033898],0
r2,1,0.681771,0.168139,[25 19] ; [7 4],[25.6 18.4] ; [6.4 4.6],0
a5,1,0.720684,0.127839,[29 19] ; [6 5],[28.47457627 19.52542373] ; [6.52542373 4.47457627],0
a7,1,0.737669,0.112186,[24 23] ; [5 6],[23.5 23.5] ; [5.5 5.5],0
p1,1,0.764632,0.089642,[ 7 41] ; [2 9],[ 7.3220339 40.6779661] ; [1.6779661 9.3220339],0
n6,1,0.80224,0.062725,[19 27] ; [5 6],[19.36842105 26.63157895] ; [4.63157895 6.36842105],0
n3,1,0.832682,0.044632,[10 16] ; [3 4],[10.24242424 15.75757576] ; [2.75757576 4.24242424],0
d2,1,0.861145,0.030596,[27 20] ; [6 5],[26.74137931 20.25862069] ; [6.25862069 4.74137931],0
s5,1,0.864359,0.029182,[ 4 44] ; [1 9],[ 4.13793103 43.86206897] ; [0.86206897 9.13793103],0
a1,1,0.903842,0.014595,[ 8 40] ; [2 9],[ 8.13559322 39.86440678] ; [1.86440678 9.13559322],0
s8,1,0.935144,0.006622,[ 4 44] ; [ 1 10],[ 4.06779661 43.93220339] ; [ 0.93220339 10.06779661],0
d5,1,0.943956,0.004942,[30 18] ; [7 4],[30.10169492 17.89830508] ; [6.89830508 4.10169492],0
