Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,31.220933,[373 173] ; [29 51],[350.62619808 195.37380192] ; [51.37380192 28.62619808],1
p4,1,1e-06,24.155781,[359 194] ; [30 52],[338.76692913 214.23307087] ; [50.23307087 31.76692913],1
p8,1,1e-05,19.526803,[318 231] ; [27 57],[299.21800948 249.78199052] ; [45.78199052 38.21800948],1
n6,1,4.6e-05,16.604695,[479  71] ; [58 25],[466.58767773  83.41232227] ; [70.41232227 12.58767773],1
r3,1,0.000852,11.125187,[532  20] ; [74 10],[525.96226415  26.03773585] ; [80.03773585  3.96226415],1
p3,1,0.001154,10.562189,[300 255] ; [29 54],[286.19905956 268.80094044] ; [42.80094044 40.19905956],0
p11,1,0.00261,9.061564,[470  85] ; [60 24],[460.3286385  94.6713615] ; [69.6713615 14.3286385],0
v4,1,0.005561,7.68742,[529  21] ; [75  9],[523.97476341  26.02523659] ; [80.02523659  3.97476341],0
r1,1,0.006777,7.331157,[445 106] ; [57 27],[435.59370079 115.40629921] ; [66.40629921 17.59370079],0
d5,1,0.012942,6.177063,[456  98] ; [58 24],[447.72955975 106.27044025] ; [66.27044025 15.72955975],0
v1,1,0.013407,6.114653,[317 220] ; [36 45],[306.73300971 230.26699029] ; [46.26699029 34.73300971],0
s6,1,0.013477,6.105377,[367 178] ; [45 39],[356.97933227 188.02066773] ; [55.02066773 28.97933227],0
r4,1,0.014983,5.918447,[504  51] ; [69 15],[497.67605634  57.32394366] ; [75.32394366  8.67605634],0
p10,1,0.015827,5.821983,[501  51] ; [69 15],[494.71698113  57.28301887] ; [75.28301887  8.71698113],0
p6,1,0.01911,5.491435,[212 337] ; [21 62],[202.40031646 346.59968354] ; [30.59968354 52.40031646],0
s5,1,0.024182,5.081523,[177 362] ; [16 63],[168.32847896 370.67152104] ; [24.67152104 54.32847896],0
v2,1,0.035767,4.40818,[325 211] ; [37 40],[316.52854812 219.47145188] ; [45.47145188 31.52854812],0
d4,1,0.037062,4.347566,[464  90] ; [61 21],[457.31132075  96.68867925] ; [67.68867925 14.31132075],0
u4,1,0.044243,4.047272,[ 12 543] ; [ 5 79],[ 14.76525822 540.23474178] ; [ 2.23474178 81.76525822],0
r2,1,0.048738,3.884342,[517  29] ; [74  9],[513.01430843  32.98569157] ; [77.98569157  5.01430843],0
s1,1,0.063084,3.454394,[ 13 534] ; [ 5 78],[ 15.62857143 531.37142857] ; [ 2.37142857 80.62857143],0
