Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,28.088394,[ 44 120] ; [117 100],[69.30183727 94.69816273] ; [ 91.69816273 125.30183727],1
v2,1,3e-06,21.929132,[71 91] ; [146  69],[93.24668435 68.75331565] ; [123.75331565  91.24668435],1
s8,1,7.2e-05,15.753565,[88 81] ; [161  64],[106.80456853  62.19543147] ; [142.19543147  82.80456853],1
n5,1,0.000282,13.1895,[117  51] ; [191  34],[131.66412214  36.33587786] ; [176.33587786  48.66412214],1
s5,1,0.000297,13.090345,[64 97] ; [126  89],[81.35638298 79.64361702] ; [108.64361702 106.35638298],1
p5,1,0.000644,11.645196,[ 11 157] ; [ 41 182],[ 22.342711 145.657289] ; [ 29.657289 193.342711],1
r4,1,0.003612,8.469098,[147  22] ; [216  11],[154.91666667  14.08333333] ; [208.08333333  18.91666667],0
p12,1,0.009928,6.647859,[ 12 157] ; [ 35 189],[ 20.21119593 148.78880407] ; [ 26.78880407 197.21119593],0
a3,1,0.018594,5.539279,[118  51] ; [181  45],[127.92658228  41.07341772] ; [171.07341772  54.92658228],0
n4,1,0.018971,5.504222,[124  45] ; [187  38],[133.39847716  35.60152284] ; [177.60152284  47.39847716],0
p3,1,0.034547,4.46743,[79 89] ; [130  95],[89.34351145 78.65648855] ; [119.65648855 105.34351145],0
a5,1,0.036231,4.38618,[116  53] ; [177  50],[125.04292929  43.95707071] ; [167.95707071  59.04292929],0
p6,1,0.037174,4.342441,[ 61 108] ; [103 118],[71.06666667 97.93333333] ; [ 92.93333333 128.06666667],0
u4,1,0.043073,4.092542,[  2 167] ; [ 11 216],[  5.5479798 163.4520202] ; [  7.4520202 219.5479798],0
p9,1,0.04381,4.063858,[141  26] ; [204  20],[147.35294118  19.64705882] ; [197.64705882  26.35294118],0
a8,1,0.045898,3.985352,[ 18 138] ; [ 41 172],[ 24.94308943 131.05691057] ; [ 34.05691057 178.94308943],0
r2,1,0.046032,3.980413,[157   9] ; [222   4],[160.49489796   5.50510204] ; [218.50510204   7.49489796],0
s4,1,0.054417,3.699848,[ 51 115] ; [ 50 176],[ 42.77040816 123.22959184] ; [ 58.22959184 167.77040816],0
d1,1,0.05447,3.698247,[98 71] ; [153  74],[107.11868687  61.88131313] ; [143.88131313  83.11868687],0
d4,1,0.054756,3.68951,[137  31] ; [199  26],[143.63358779  24.36641221] ; [192.36641221  32.63358779],0
p8,1,0.07345,3.204177,[80 88] ; [126  96],[88.73846154 79.26153846] ; [117.26153846 104.73846154],0
d5,1,0.078051,3.105027,[131  37] ; [191  34],[137.64885496  30.35114504] ; [184.35114504  40.64885496],0
n1,1,0.078135,3.103276,[15 25] ; [26 20],[19.06976744 20.93023256] ; [21.93023256 24.06976744],0
p10,1,0.080581,3.053154,[137  31] ; [196  27],[143.07928389  24.92071611] ; [189.92071611  33.07928389],0
a4,1,0.088065,2.909398,[71 98] ; [115 112],[79.37878788 89.62121212] ; [106.62121212 120.37878788],0
a7,1,0.090108,2.872437,[129  40] ; [155  71],[121.50886076  47.49113924] ; [162.49113924  63.50886076],0
p4,1,0.102188,2.671056,[102  67] ; [153  71],[109.65648855  59.34351145] ; [145.34351145  78.65648855],0
n6,1,0.106868,2.599944,[137  31] ; [195  28],[142.64961637  25.35038363] ; [189.35038363  33.64961637],0
p1,1,0.115313,2.479847,[ 12 155] ; [ 27 198],[ 16.61479592 150.38520408] ; [ 22.38520408 202.61479592],0
b2,1,0.125541,2.3468,[29 64] ; [63 91],[34.63967611 58.36032389] ; [57.36032389 96.63967611],0
b3,1,0.125541,2.3468,[29 64] ; [63 91],[34.63967611 58.36032389] ; [57.36032389 96.63967611],0
u3,1,0.129009,2.304387,[29 20] ; [34 12],[32.49473684 16.50526316] ; [30.50526316 15.49473684],0
a1,1,0.132805,2.259401,[  6 163] ; [ 16 211],[  9.38888889 159.61111111] ; [ 12.61111111 214.38888889],0
p11,1,0.149668,2.075634,[126  43] ; [183  44],[131.87121212  37.12878788] ; [177.12878788  49.87121212],0
a2,1,0.152339,2.048673,[ 39 130] ; [ 67 160],[ 45.23737374 123.76262626] ; [ 60.76262626 166.23737374],0
r3,1,0.161954,1.955888,[158   9] ; [220   6],[160.6259542   6.3740458] ; [217.3740458   8.6259542],0
v4,1,0.161954,1.955888,[158   9] ; [220   6],[160.6259542   6.3740458] ; [217.3740458   8.6259542],0
n2,1,0.172667,1.859631,[31 10] ; [40  6],[33.45977011  7.54022989] ; [37.54022989  8.45977011],0
s7,1,0.224149,1.477606,[114  50] ; [163  54],[119.2335958  44.7664042] ; [157.7664042  59.2335958],0
p7,1,0.265181,1.241505,[107  58] ; [151  64],[112.02631579  52.97368421] ; [145.97368421  69.02631579],0
a6,1,0.328683,0.954081,[114  54] ; [142  83],[109.4351145  58.5648855] ; [146.5648855  78.4351145],0
u2,1,0.356517,0.850124,[27 22] ; [29 16],[29.19148936 19.80851064] ; [26.80851064 18.19148936],0
s1,1,0.377989,0.777231,[ 11 158] ; [ 10 213],[  9.05357143 159.94642857] ; [ 11.94642857 211.05357143],0
r1,1,0.383256,0.760233,[138  30] ; [193  33],[141.13705584  26.86294416] ; [189.86294416  36.13705584],0
p2,1,0.415268,0.663669,[144  24] ; [186  39],[141.06870229  26.93129771] ; [188.93129771  36.06870229],0
d2,1,0.433821,0.612572,[84 84] ; [122 104],[87.83756345 80.16243655] ; [118.16243655 107.83756345],0
d3,1,0.525718,0.402661,[117  51] ; [164  62],[119.81725888  48.18274112] ; [161.18274112  64.81725888],0
n3,1,0.537305,0.380557,[32  9] ; [34 13],[30.75 10.25] ; [35.25 11.75],0
u1,1,0.573419,0.316995,[ 34 135] ; [ 51 176],[ 36.27525253 132.72474747] ; [ 48.72474747 178.27525253],0
b5,1,0.635676,0.224442,[98 71] ; [137  90],[100.29040404  68.70959596] ; [134.70959596  92.29040404],0
b1,1,0.700158,0.148308,[71 98] ; [ 91 136],[69.13636364 99.86363636] ; [ 92.86363636 134.13636364],0
s6,1,0.743297,0.10725,[147  20] ; [196  24],[148.0129199  18.9870801] ; [194.9870801  25.0129199],0
b4,1,0.744201,0.106469,[97 72] ; [134  93],[98.58333333 70.41666667] ; [132.41666667  94.58333333],0
