Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3e-06,21.680471,[ 1 24] ; [28 18],[10.21126761 14.78873239] ; [18.78873239 27.21126761],1
v4,1,3.5e-05,17.131275,[ 7 18] ; [36 10],[15.14084507  9.85915493] ; [27.85915493 18.14084507],1
p11,1,0.000284,13.171806,[ 4 21] ; [28 18],[11.26760563 13.73239437] ; [20.73239437 25.26760563],1
p10,1,0.000568,11.878778,[ 4 20] ; [27 18],[10.7826087 13.2173913] ; [20.2173913 24.7826087],1
b5,1,0.001205,10.483053,[ 8 17] ; [33 13],[14.43661972 10.56338028] ; [26.56338028 19.43661972],0
p9,1,0.001218,10.462779,[ 5 17] ; [28 15],[11.16923077 10.83076923] ; [21.83076923 21.16923077],0
n2,1,0.002221,9.357485,[2 7] ; [17  4],[5.7 3.3] ; [13.3  7.7],0
n6,1,0.00297,8.825694,[ 9 15] ; [34 12],[14.74285714  9.25714286] ; [28.25714286 17.74285714],0
s2,1,0.005349,7.757582,[ 2 23] ; [18 28],[ 7.04225352 17.95774648] ; [12.95774648 33.04225352],0
s6,1,0.019396,5.465446,[ 4 21] ; [20 26],[ 8.45070423 16.54929577] ; [15.54929577 30.45070423],0
v2,1,0.029913,4.714286,[ 4 20] ; [18 24],[ 8. 16.] ; [14. 28.],0
n5,1,0.032118,4.592178,[20  5] ; [25 21],[15.84507042  9.15492958] ; [29.15492958 16.84507042],0
p6,1,0.034298,4.479788,[ 1 23] ; [11 34],[ 4.17391304 19.82608696] ; [ 7.82608696 37.17391304],0
a1,1,0.034493,4.470112,[ 6 19] ; [ 3 43],[ 3.16901408 21.83098592] ; [ 5.83098592 40.16901408],0
s7,1,0.039221,4.251257,[ 2 22] ; [13 30],[ 5.37313433 18.62686567] ; [ 9.62686567 33.37313433],0
n3,1,0.046366,3.968254,[2 7] ; [13  8],[4.5 4.5] ; [10.5 10.5],0
u3,1,0.04854,3.891176,[1 9] ; [8 9],[3.33333333 6.66666667] ; [ 5.66666667 11.33333333],0
n4,1,0.049807,3.847941,[18  7] ; [22 24],[14.08450704 10.91549296] ; [25.91549296 20.08450704],0
s3,1,0.054644,3.692907,[ 4 20] ; [18 28],[ 7.54285714 16.45714286] ; [14.45714286 31.54285714],0
s5,1,0.120813,2.406746,[ 2 23] ; [10 34],[ 4.34782609 20.65217391] ; [ 7.65217391 36.34782609],0
s4,1,0.140095,2.176915,[ 2 23] ; [10 36],[ 4.22535211 20.77464789] ; [ 7.77464789 38.22535211],0
r2,1,0.155143,2.020939,[14 10] ; [33 11],[16.58823529  7.41176471] ; [30.41176471 13.58823529],0
d4,1,0.180547,1.793117,[14 11] ; [33 13],[16.54929577  8.45070423] ; [30.45070423 15.54929577],0
b2,1,0.184218,1.763265,[11  9] ; [10 18],[ 8.75 11.25] ; [12.25 15.75],0
b3,1,0.184218,1.763265,[11  9] ; [10 18],[ 8.75 11.25] ; [12.25 15.75],0
p7,1,0.19238,1.699296,[ 5 20] ; [16 30],[ 7.3943662 17.6056338] ; [13.6056338 32.3943662],0
b4,1,0.220323,1.502269,[12 13] ; [29 17],[14.43661972 10.56338028] ; [26.56338028 19.43661972],0
p3,1,0.228213,1.451967,[ 4 21] ; [13 32],[ 6.07142857 18.92857143] ; [10.92857143 34.07142857],0
a7,1,0.248094,1.334006,[10 15] ; [25 21],[12.32394366 12.67605634] ; [22.67605634 23.32394366],0
u2,1,0.259656,1.270588,[2 8] ; [ 7 10],[3.33333333 6.66666667] ; [ 5.66666667 11.33333333],0
p8,1,0.37297,0.793747,[ 4 20] ; [12 34],[ 5.48571429 18.51428571] ; [10.51428571 35.48571429],0
a6,1,0.419714,0.651116,[15 10] ; [23 23],[13.38028169 11.61971831] ; [24.61971831 21.38028169],0
d1,1,0.431626,0.618445,[ 9 16] ; [21 25],[10.56338028 14.43661972] ; [19.43661972 26.56338028],0
p4,1,0.444724,0.584063,[ 5 20] ; [13 33],[ 6.33802817 18.66197183] ; [11.66197183 34.33802817],0
d5,1,0.444779,0.583923,[14 11] ; [30 16],[15.49295775  9.50704225] ; [28.50704225 17.49295775],0
a4,1,0.452811,0.563607,[10 14] ; [15 31],[ 8.57142857 15.42857143] ; [16.42857143 29.57142857],0
u1,1,0.460142,0.545549,[ 1 24] ; [ 4 42],[ 1.76056338 23.23943662] ; [ 3.23943662 42.76056338],0
v1,1,0.491428,0.473399,[ 6 19] ; [14 30],[ 7.24637681 17.75362319] ; [12.75362319 31.24637681],0
b1,1,0.510541,0.432958,[14 11] ; [22 24],[12.67605634 12.32394366] ; [23.32394366 22.67605634],0
d2,1,0.552843,0.352248,[13 11] ; [21 24],[11.82608696 12.17391304] ; [22.17391304 22.82608696],0
d3,1,0.628826,0.233657,[11 14] ; [23 23],[11.97183099 13.02816901] ; [22.02816901 23.97183099],0
s1,1,0.65553,0.198998,[ 3 22] ; [ 4 42],[ 2.46478873 22.53521127] ; [ 4.53521127 41.46478873],0
p12,1,0.656912,0.197297,[ 1 24] ; [ 1 45],[ 0.70422535 24.29577465] ; [ 1.29577465 44.70422535],0
a8,1,0.686995,0.162357,[ 1 23] ; [ 3 43],[ 1.37142857 22.62857143] ; [ 2.62857143 43.37142857],0
v3,1,0.768482,0.086649,[ 6 19] ; [ 9 34],[ 5.51470588 19.48529412] ; [ 9.48529412 33.51470588],0
a5,1,0.776876,0.080311,[15 10] ; [26 20],[14.43661972 10.56338028] ; [26.56338028 19.43661972],0
p1,1,0.786032,0.073694,[ 5 20] ; [ 8 38],[ 4.57746479 20.42253521] ; [ 8.42253521 37.57746479],0
a3,1,0.800799,0.063662,[15 10] ; [29 17],[15.49295775  9.50704225] ; [28.50704225 17.49295775],0
n1,1,0.822118,0.050545,[4 5] ; [ 8 12],[3.72413793 5.27586207] ; [ 8.27586207 11.72413793],0
a2,1,0.885593,0.020702,[ 3 22] ; [ 5 41],[ 2.81690141 22.18309859] ; [ 5.18309859 40.81690141],0
p5,1,0.957023,0.002904,[ 1 23] ; [ 2 43],[ 1.04347826 22.95652174] ; [ 1.95652174 43.04347826],0
