Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,6e-06,20.616649,[ 1 10] ; [22  3],[7.02777778 3.97222222] ; [15.97222222  9.02777778],1
a5,1,0.001441,10.152503,[4 7] ; [22  3],[7.94444444 3.05555556] ; [18.05555556  6.94444444],0
n6,1,0.007715,7.098435,[2 9] ; [16  8],[5.65714286 5.34285714] ; [12.34285714 11.65714286],0
s3,1,0.01559,5.848557,[ 1 10] ; [12 11],[4.20588235 6.79411765] ; [ 8.79411765 14.20588235],0
d2,1,0.020604,5.359977,[2 9] ; [15 10],[5.19444444 5.80555556] ; [11.80555556 13.19444444],0
a6,1,0.022564,5.201776,[4 7] ; [19  6],[7.02777778 3.97222222] ; [15.97222222  9.02777778],0
n2,1,0.035496,4.421154,[1 3] ; [12  3],[2.73684211 1.26315789] ; [10.26315789  4.73684211],0
d4,1,0.063661,3.439339,[10  1] ; [15 10],[7.63888889 3.36111111] ; [17.36111111  7.63888889],0
a4,1,0.087857,2.913201,[3 8] ; [14 10],[5.34285714 5.65714286] ; [11.65714286 12.34285714],0
p4,1,0.090926,2.857898,[2 9] ; [12 13],[4.27777778 6.72222222] ; [ 9.72222222 15.27777778],0
s2,1,0.096821,2.757147,[ 1 10] ; [ 9 16],[3.05555556 7.94444444] ; [ 6.94444444 18.05555556],0
v2,1,0.143672,2.138182,[ 1 10] ; [ 8 17],[2.75 8.25] ; [ 6.25 18.75],0
p6,1,0.143672,2.138182,[ 1 10] ; [ 8 17],[2.75 8.25] ; [ 6.25 18.75],0
a3,1,0.155668,2.01581,[6 5] ; [18  5],[7.76470588 3.23529412] ; [16.23529412  6.76470588],0
d3,1,0.200825,1.636364,[9 2] ; [15 10],[7.33333333 3.66666667] ; [16.66666667  8.33333333],0
p7,1,0.228366,1.45101,[2 8] ; [10 14],[3.52941176 6.47058824] ; [ 8.47058824 15.52941176],0
u2,1,0.276278,1.185306,[3 2] ; [2 5],[2.08333333 2.91666667] ; [2.91666667 4.08333333],0
p10,1,0.277726,1.178182,[7 4] ; [11 14],[5.5 5.5] ; [12.5 12.5],0
r4,1,0.285029,1.142955,[2 9] ; [ 9 16],[3.36111111 7.63888889] ; [ 7.63888889 17.36111111],0
b2,1,0.29203,1.11024,[1 5] ; [ 8 12],[2.07692308 3.92307692] ; [ 6.92307692 13.07692308],0
b3,1,0.29203,1.11024,[1 5] ; [ 8 12],[2.07692308 3.92307692] ; [ 6.92307692 13.07692308],0
s8,1,0.356981,0.848485,[2 9] ; [ 8 16],[3.14285714 7.85714286] ; [ 6.85714286 17.14285714],0
n1,1,0.372374,0.795726,[2 2] ; [11  4],[2.73684211 1.26315789] ; [10.26315789  4.73684211],0
p8,1,0.387556,0.746596,[4 7] ; [12 11],[5.17647059 5.82352941] ; [10.82352941 12.17647059],0
s7,1,0.39269,0.730595,[3 7] ; [11 13],[4.11764706 5.88235294] ; [ 9.88235294 14.11764706],0
p1,1,0.418492,0.654545,[ 1 10] ; [ 5 20],[1.83333333 9.16666667] ; [ 4.16666667 20.83333333],0
p11,1,0.463956,0.536333,[3 8] ; [10 15],[3.97222222 7.02777778] ; [ 9.02777778 15.97222222],0
s5,1,0.490021,0.47648,[2 9] ; [ 7 17],[2.82857143 8.17142857] ; [ 6.17142857 17.82857143],0
v4,1,0.530869,0.392727,[9 2] ; [18  7],[8.25 2.75] ; [18.75  6.25],0
a2,1,0.530869,0.392727,[2 9] ; [ 7 18],[2.75 8.25] ; [ 6.25 18.75],0
s1,1,0.580832,0.304891,[ 1 10] ; [ 4 21],[1.52777778 9.47222222] ; [ 3.47222222 21.52777778],0
v1,1,0.591943,0.28732,[5 6] ; [ 9 16],[4.27777778 6.72222222] ; [ 9.72222222 15.27777778],0
b4,1,0.608874,0.261818,[8 3] ; [16  9],[7.33333333 3.66666667] ; [16.66666667  8.33333333],0
d1,1,0.717491,0.130909,[5 6] ; [13 12],[5.5 5.5] ; [12.5 12.5],0
r1,1,0.717491,0.130909,[5 6] ; [13 12],[5.5 5.5] ; [12.5 12.5],0
p9,1,0.766242,0.088384,[7 4] ; [14 10],[6.6 4.4] ; [14.4  9.6],0
d5,1,0.776689,0.08045,[8 3] ; [17  8],[7.63888889 3.36111111] ; [17.36111111  7.63888889],0
v3,1,0.834532,0.043636,[3 8] ; [ 6 19],[2.75 8.25] ; [ 6.25 18.75],0
r2,1,0.886436,0.020396,[8 3] ; [18  6],[8.17142857 2.82857143] ; [17.82857143  6.17142857],0
s4,1,0.898963,0.016122,[2 9] ; [ 5 20],[2.13888889 8.86111111] ; [ 4.86111111 20.13888889],0
n3,1,0.905565,0.014074,[2 2] ; [8 7],[2.10526316 1.89473684] ; [7.89473684 7.10526316],0
p2,1,0.935518,0.006545,[5 6] ; [11 14],[4.88888889 6.11111111] ; [11.11111111 13.88888889],0
s6,1,0.9485,0.004172,[4 7] ; [ 9 15],[4.08571429 6.91428571] ; [ 8.91428571 15.08571429],0
p3,1,0.983306,0.000438,[4 7] ; [ 9 16],[3.97222222 7.02777778] ; [ 9.02777778 15.97222222],0
b5,1,0.983306,0.000438,[7 4] ; [16  9],[7.02777778 3.97222222] ; [15.97222222  9.02777778],0
b1,1,0.983306,0.000438,[7 4] ; [16  9],[7.02777778 3.97222222] ; [15.97222222  9.02777778],0
