Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,4.6e-05,16.619303,[17 39] ; [12  1],[23.53623188 32.46376812] ; [5.46376812 7.53623188],1
b3,1,4.6e-05,16.619303,[17 39] ; [12  1],[23.53623188 32.46376812] ; [5.46376812 7.53623188],1
p5,1,0.000229,13.58072,[  9 112] ; [5 7],[ 12.73684211 108.26315789] ; [ 1.26315789 10.73684211],1
p12,1,0.000248,13.430688,[  5 117] ; [4 9],[  8.13333333 113.86666667] ; [ 0.86666667 12.13333333],1
s8,1,0.001466,10.120512,[56 66] ; [12  1],[61.45185185 60.54814815] ; [6.54814815 6.45185185],0
v3,1,0.001915,9.62963,[44 77] ; [8 1],[48.4 72.6] ; [3.6 5.4],0
a2,1,0.002782,8.945317,[28 94] ; [8 5],[32.53333333 89.46666667] ; [3.46666667 9.53333333],0
s3,1,0.008012,7.030826,[66 56] ; [12  1],[70.48888889 51.51111111] ; [7.51111111 5.48888889],0
p3,1,0.008316,6.964086,[47 74] ; [10  3],[51.47014925 69.52985075] ; [5.52985075 7.47014925],0
v1,1,0.011311,6.415827,[59 63] ; [9 1],[62.84848485 59.15151515] ; [5.15151515 4.84848485],0
a1,1,0.012589,6.225905,[  6 116] ; [ 3 10],[  8.13333333 113.86666667] ; [ 0.86666667 12.13333333],0
p4,1,0.013917,6.04862,[59 62] ; [11  2],[63.20895522 57.79104478] ; [6.79104478 6.20895522],0
d1,1,0.014215,6.011189,[70 52] ; [12  1],[74.1037037 47.8962963] ; [7.8962963 5.1037037],0
p8,1,0.023633,5.121375,[45 77] ; [9 4],[48.8 73.2] ; [5.2 7.8],0
s7,1,0.025975,4.957658,[59 54] ; [11  2],[62.77777778 50.22222222] ; [7.22222222 5.77777778],0
a4,1,0.028944,4.770918,[55 67] ; [10  3],[58.74074074 63.25925926] ; [6.25925926 6.74074074],0
d2,1,0.030357,4.688973,[65 57] ; [11  2],[68.68148148 53.31851852] ; [7.31851852 5.68148148],0
a8,1,0.04333,4.08247,[10 99] ; [3 7],[11.90756303 97.09243697] ; [1.09243697 8.90756303],0
a5,1,0.055031,3.681137,[81 41] ; [12  1],[84.04444444 37.95555556] ; [8.95555556 4.04444444],0
s2,1,0.056686,3.631778,[70 52] ; [11  2],[73.2 48.8] ; [7.8 5.2],0
u1,1,0.06476,3.411069,[ 21 101] ; [5 8],[23.4962963 98.5037037] ; [ 2.5037037 10.4962963],0
s6,1,0.068933,3.308252,[81 38] ; [12  1],[83.84090909 35.15909091] ; [9.15909091 3.84090909],0
v2,1,0.076105,3.146188,[60 58] ; [8 2],[62.6875 55.3125] ; [5.3125 4.6875],0
n4,1,0.180065,1.797091,[81 41] ; [11  2],[83.14074074 38.85925926] ; [8.85925926 4.14074074],0
s4,1,0.184985,1.757116,[29 93] ; [ 1 12],[27.11111111 94.88888889] ; [ 2.88888889 10.11111111],0
a6,1,0.25013,1.322576,[74 48] ; [10  3],[75.91111111 46.08888889] ; [8.08888889 4.91111111],0
p6,1,0.257236,1.283574,[46 76] ; [7 6],[47.8962963 74.1037037] ; [5.1037037 7.8962963],0
d3,1,0.267856,1.227692,[84 36] ; [11  2],[85.71428571 34.28571429] ; [9.28571429 3.71428571],0
p7,1,0.341301,0.905538,[66 53] ; [9 4],[67.61363636 51.38636364] ; [7.38636364 5.61363636],0
p2,1,0.449594,0.571675,[91 30] ; [11  2],[92.10447761 28.89552239] ; [9.89552239 3.10447761],0
r1,1,0.573401,0.317026,[95 27] ; [11  2],[95.79259259 26.20740741] ; [10.20740741  2.79259259],0
d5,1,0.699825,0.148653,[97 24] ; [11  2],[97.52238806 23.47761194] ; [10.47761194  2.52238806],0
s5,1,0.71216,0.136129,[48 66] ; [4 7],[47.424 66.576] ; [4.576 6.424],0
b1,1,0.749077,0.102308,[60 62] ; [7 6],[60.54814815 61.45185185] ; [6.45185185 6.54814815],0
s1,1,0.782709,0.07606,[  7 114] ; [ 1 12],[  7.2238806 113.7761194] ; [ 0.7761194 12.2238806],0
a7,1,0.788733,0.071801,[88 33] ; [9 4],[87.58955224 33.41044776] ; [9.41044776 3.58955224],0
b4,1,0.851387,0.0351,[69 53] ; [7 6],[68.68148148 53.31851852] ; [7.31851852 5.68148148],0
p1,1,0.943068,0.0051,[ 10 111] ; [ 1 12],[  9.93283582 111.06716418] ; [ 1.06716418 11.93283582],0
b5,1,0.957342,0.002861,[76 46] ; [8 5],[75.91111111 46.08888889] ; [8.08888889 4.91111111],0
