Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-06,21.87358,[47 15] ; [ 5 19],[37.48837209 24.51162791] ; [14.51162791  9.48837209],1
p8,1,0.002168,9.401709,[42 22] ; [ 7 17],[35.63636364 28.36363636] ; [13.36363636 10.63636364],0
n4,1,0.00344,8.557782,[50 14] ; [11 13],[44.36363636 19.63636364] ; [16.63636364  7.36363636],0
n6,1,0.008155,6.999171,[56  8] ; [15  9],[51.63636364 12.36363636] ; [19.36363636  4.63636364],0
a4,1,0.020361,5.380688,[17 47] ; [ 1 23],[13.09090909 50.90909091] ; [ 4.90909091 19.09090909],0
p9,1,0.023461,5.134014,[55  9] ; [14  8],[51.34883721 12.65116279] ; [17.65116279  4.34883721],0
n5,1,0.026453,4.926138,[50 14] ; [13 11],[45.81818182 18.18181818] ; [17.18181818  6.81818182],0
s5,1,0.042039,4.133627,[13 45] ; [10 12],[16.675 41.325] ; [ 6.325 15.675],0
n3,1,0.042762,4.104784,[8 1] ; [5 6],[5.85 3.15] ; [7.15 3.85],0
u3,1,0.065624,3.389213,[16 11] ; [13  2],[18.64285714  8.35714286] ; [10.35714286  4.64285714],0
p10,1,0.070121,3.280191,[54  9] ; [15  7],[51.14117647 11.85882353] ; [17.85882353  4.14117647],0
a3,1,0.089317,2.886646,[37 27] ; [ 9 15],[33.45454545 30.54545455] ; [12.54545455 11.45454545],0
r3,1,0.090658,2.862651,[62  2] ; [21  3],[60.36363636  3.63636364] ; [22.63636364  1.36363636],0
n2,1,0.095437,2.780183,[8 1] ; [6 5],[6.3 2.7] ; [7.7 3.3],0
p1,1,0.097771,2.741538,[ 7 57] ; [ 6 18],[ 9.45454545 54.54545455] ; [ 3.54545455 20.45454545],0
v3,1,0.098871,2.723668,[29 32] ; [ 6 16],[25.72289157 35.27710843] ; [ 9.27710843 12.72289157],0
p6,1,0.100938,2.69066,[27 34] ; [ 6 18],[23.68235294 37.31764706] ; [ 9.31764706 14.68235294],0
b1,1,0.105078,2.626722,[25 39] ; [14 10],[28.36363636 35.63636364] ; [10.63636364 13.36363636],0
