Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,2.6e-05,17.716986,[ 3 18] ; [29 12],[10.83870968 10.16129032] ; [21.16129032 19.83870968],1
d5,1,4.2e-05,16.77041,[12  9] ; [40  1],[17.61290323  3.38709677] ; [34.38709677  6.61290323],1
d3,1,0.000621,11.712859,[10 11] ; [36  5],[15.58064516  5.41935484] ; [30.41935484 10.58064516],1
d4,1,0.00209,9.468754,[15  6] ; [40  1],[18.62903226  2.37096774] ; [36.37096774  4.62903226],0
s3,1,0.036525,4.372421,[13  8] ; [35  6],[16.25806452  4.74193548] ; [31.74193548  9.25806452],0
a5,1,0.036525,4.372421,[13  8] ; [35  6],[16.25806452  4.74193548] ; [31.74193548  9.25806452],0
s2,1,0.038005,4.304781,[11 10] ; [32  9],[14.56451613  6.43548387] ; [28.43548387 12.56451613],0
a3,1,0.056602,3.634254,[15  6] ; [37  4],[17.61290323  3.38709677] ; [34.38709677  6.61290323],0
n1,1,0.061948,3.484444,[2 4] ; [8 2],[3.75 2.25] ; [6.25 3.75],0
p4,1,0.074097,3.18984,[17  4] ; [39  2],[18.96774194  2.03225806] ; [37.03225806  3.96774194],0
n5,1,0.074097,3.18984,[17  4] ; [39  2],[18.96774194  2.03225806] ; [37.03225806  3.96774194],0
a1,1,0.171142,1.872908,[ 1 20] ; [ 7 34],[ 2.70967742 18.29032258] ; [ 5.29032258 35.70967742],0
a4,1,0.180454,1.793879,[ 7 14] ; [21 20],[ 9.48387097 11.51612903] ; [18.51612903 22.48387097],0
u3,1,0.196706,1.666667,[2 4] ; [3 1],[3. 3.] ; [2. 2.],0
n4,1,0.19791,1.65773,[18  3] ; [39  2],[19.30645161  1.69354839] ; [37.69354839  3.30645161],0
p9,1,0.218557,1.513822,[19  2] ; [40  1],[19.98387097  1.01612903] ; [39.01612903  1.98387097],0
a2,1,0.225412,1.46958,[ 2 19] ; [ 9 32],[ 3.72580645 17.27419355] ; [ 7.27419355 33.72580645],0
s5,1,0.24896,1.329133,[11  9] ; [26 11],[12.98245614  7.01754386] ; [24.01754386 12.98245614],0
p8,1,0.301668,1.066804,[17  4] ; [37  4],[18.29032258  2.70967742] ; [35.70967742  5.29032258],0
a8,1,0.318932,0.99332,[ 5 14] ; [ 6 33],[ 3.60344828 15.39655172] ; [ 7.39655172 31.60344828],0
p6,1,0.332922,0.9375,[15  5] ; [25 15],[13.33333333  6.66666667] ; [26.66666667 13.33333333],0
b4,1,0.423632,0.640217,[13  8] ; [21 20],[11.51612903  9.48387097] ; [22.48387097 18.51612903],0
v1,1,0.449416,0.572123,[15  6] ; [32  8],[16.18032787  4.81967213] ; [30.81967213  9.18032787],0
r4,1,0.480991,0.496616,[19  2] ; [39  2],[19.64516129  1.35483871] ; [38.35483871  2.64516129],0
n6,1,0.494289,0.467176,[20  1] ; [37  4],[19.30645161  1.69354839] ; [37.69354839  3.30645161],0
a6,1,0.516296,0.421285,[11 10] ; [25 16],[12.19354839  8.80645161] ; [23.80645161 17.19354839],0
p3,1,0.525168,0.403732,[16  5] ; [34  7],[16.93548387  4.06451613] ; [33.06451613  7.93548387],0
b1,1,0.535403,0.384126,[ 8 13] ; [19 22],[ 9.14516129 11.85483871] ; [17.85483871 23.14516129],0
n2,1,0.550985,0.355556,[4 2] ; [8 2],[4.5 1.5] ; [7.5 2.5],0
v2,1,0.57615,0.3125,[13  7] ; [23 17],[12.  8.] ; [24. 16.],0
r1,1,0.593778,0.284483,[18  3] ; [37  4],[18.62903226  2.37096774] ; [36.37096774  4.62903226],0
s1,1,0.593778,0.284483,[ 3 18] ; [ 4 37],[ 2.37096774 18.62903226] ; [ 4.62903226 36.37096774],0
u2,1,0.598161,0.277778,[4 2] ; [2 2],[3.6 2.4] ; [2.4 1.6],0
s6,1,0.617794,0.24898,[18  3] ; [36  4],[18.59016393  2.40983607] ; [35.40983607  4.59016393],0
a7,1,0.648393,0.207933,[16  5] ; [29 12],[15.24193548  5.75806452] ; [29.75806452 11.24193548],0
b2,1,0.658545,0.195295,[6 9] ; [15 17],[6.70212766 8.29787234] ; [14.29787234 17.70212766],0
b3,1,0.658545,0.195295,[6 9] ; [15 17],[6.70212766 8.29787234] ; [14.29787234 17.70212766],0
p10,1,0.7199,0.128589,[18  2] ; [38  3],[18.36065574  1.63934426] ; [37.63934426  3.36065574],0
p1,1,0.721774,0.126799,[ 6 15] ; [10 31],[ 5.41935484 15.58064516] ; [10.58064516 30.41935484],0
b5,1,0.770926,0.084776,[ 9 12] ; [16 25],[ 8.46774194 12.53225806] ; [16.53225806 24.46774194],0
p11,1,0.777617,0.079764,[18  3] ; [34  7],[17.61290323  3.38709677] ; [34.38709677  6.61290323],0
s7,1,0.804277,0.061413,[17  1] ; [38  3],[16.77966102  1.22033898] ; [38.22033898  2.77966102],0
v3,1,0.851067,0.035253,[12  8] ; [25 15],[12.33333333  7.66666667] ; [24.66666667 15.33333333],0
p12,1,0.884292,0.021179,[ 6 15] ; [11 30],[ 5.75806452 15.24193548] ; [11.24193548 29.75806452],0
p7,1,0.909474,0.012928,[18  3] ; [33  6],[17.85  3.15] ; [33.15  5.85],0
p2,1,0.976642,0.000857,[19  2] ; [37  4],[18.96774194  2.03225806] ; [37.03225806  3.96774194],0
