Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6.5e-05,15.945309,[15 42] ; [13  3],[21.8630137 35.1369863] ; [6.1369863 9.8630137],1
r3,1,0.021677,5.271552,[32 25] ; [14  2],[35.91780822 21.08219178] ; [10.08219178  5.91780822],0
a3,1,0.050484,3.825299,[33 23] ; [ 5 11],[29.55555556 26.44444444] ; [8.44444444 7.55555556],0
p3,1,0.055551,3.665455,[14 42] ; [8 8],[17.11111111 38.88888889] ; [ 4.88888889 11.11111111],0
d2,1,0.057905,3.596404,[29 27] ; [ 4 12],[25.66666667 30.33333333] ; [7.33333333 8.66666667],0
a4,1,0.058562,3.57764,[21 35] ; [ 2 14],[17.88888889 38.11111111] ; [ 5.11111111 10.88888889],0
p6,1,0.074462,3.181818,[10 45] ; [6 9],[12.57142857 42.42857143] ; [ 3.42857143 11.57142857],0
p11,1,0.095752,2.774917,[19 38] ; [9 7],[21.8630137 35.1369863] ; [6.1369863 9.8630137],0
n5,1,0.148423,2.088384,[33 24] ; [ 6 10],[30.45205479 26.54794521] ; [8.54794521 7.45205479],0
b5,1,0.173109,1.855813,[32 25] ; [12  4],[34.35616438 22.64383562] ; [9.64383562 6.35616438],0
p4,1,0.17393,1.848738,[18 39] ; [8 8],[20.30136986 36.69863014] ; [ 5.69863014 10.30136986],0
v4,1,0.213836,1.545264,[37 20] ; [13  3],[39.04109589 17.95890411] ; [10.95890411  5.04109589],0
n1,1,0.300559,1.071714,[ 7 18] ; [3 3],[ 8.06451613 16.93548387] ; [1.93548387 4.06451613],0
p12,1,0.330341,0.947561,[ 1 56] ; [ 1 15],[ 1.56164384 55.43835616] ; [ 0.43835616 15.56164384],0
p5,1,0.330341,0.947561,[ 1 56] ; [ 1 15],[ 1.56164384 55.43835616] ; [ 0.43835616 15.56164384],0
v3,1,0.352019,0.866165,[13 43] ; [ 2 14],[11.66666667 44.33333333] ; [ 3.33333333 12.66666667],0
s6,1,0.36464,0.82185,[18 39] ; [7 9],[19.52054795 37.47945205] ; [ 5.47945205 10.52054795],0
s4,1,0.367249,0.812951,[13 44] ; [ 2 14],[11.71232877 45.28767123] ; [ 3.28767123 12.71232877],0
p9,1,0.37297,0.793747,[20 34] ; [ 4 12],[18.51428571 35.48571429] ; [ 5.48571429 10.51428571],0
d1,1,0.377745,0.778026,[21 36] ; [ 4 12],[19.52054795 37.47945205] ; [ 5.47945205 10.52054795],0
s2,1,0.393791,0.727205,[12 45] ; [ 5 11],[13.2739726 43.7260274] ; [ 3.7260274 12.2739726],0
a1,1,0.402608,0.700523,[ 8 49] ; [ 1 15],[ 7.02739726 49.97260274] ; [ 1.97260274 14.02739726],0
u3,1,0.48966,0.477273,[ 6 18] ; [4 7],[ 6.85714286 17.14285714] ; [3.14285714 7.85714286],0
d5,1,0.490202,0.476083,[34 23] ; [8 8],[32.79452055 24.20547945] ; [9.20547945 6.79452055],0
s8,1,0.506027,0.442274,[ 7 50] ; [ 3 13],[ 7.80821918 49.19178082] ; [ 2.19178082 13.80821918],0
b4,1,0.530063,0.39427,[30 27] ; [7 9],[28.89041096 28.10958904] ; [8.10958904 7.89041096],0
p2,1,0.530063,0.39427,[27 30] ; [9 7],[28.10958904 28.89041096] ; [7.89041096 8.10958904],0
n6,1,0.537679,0.379859,[33 24] ; [10  5],[34.04166667 22.95833333] ; [8.95833333 6.04166667],0
b1,1,0.563263,0.334085,[31 26] ; [10  6],[32.01369863 24.98630137] ; [8.98630137 7.01369863],0
n3,1,0.603953,0.269075,[16 10] ; [3 3],[15.4375 10.5625] ; [3.5625 2.4375],0
a2,1,0.607711,0.263521,[ 6 51] ; [ 1 15],[ 5.46575342 51.53424658] ; [ 1.53424658 14.46575342],0
d4,1,0.615574,0.252138,[36 21] ; [9 7],[35.1369863 21.8630137] ; [9.8630137 6.1369863],0
s1,1,0.636309,0.223602,[ 2 54] ; [ 1 15],[ 2.33333333 53.66666667] ; [ 0.66666667 15.33333333],0
a5,1,0.649279,0.206811,[25 32] ; [ 6 10],[24.20547945 32.79452055] ; [6.79452055 9.20547945],0
a7,1,0.649279,0.206811,[25 32] ; [ 6 10],[24.20547945 32.79452055] ; [6.79452055 9.20547945],0
r4,1,0.655954,0.198476,[18 39] ; [ 6 10],[18.73972603 38.26027397] ; [ 5.26027397 10.73972603],0
n4,1,0.662779,0.190165,[32 25] ; [8 8],[31.23287671 25.76712329] ; [8.76712329 7.23287671],0
n2,1,0.686615,0.162774,[15 11] ; [4 2],[15.4375 10.5625] ; [3.5625 2.4375],0
v2,1,0.6885,0.160714,[18 38] ; [ 6 10],[18.66666667 37.33333333] ; [ 5.33333333 10.66666667],0
s3,1,0.6885,0.160714,[18 38] ; [ 6 10],[18.66666667 37.33333333] ; [ 5.33333333 10.66666667],0
a6,1,0.755968,0.096584,[31 26] ; [8 8],[30.45205479 26.54794521] ; [8.54794521 7.45205479],0
s5,1,0.774992,0.081711,[ 9 46] ; [ 2 13],[ 8.64285714 46.35714286] ; [ 2.35714286 12.64285714],0
r2,1,0.865226,0.028807,[35 19] ; [10  6],[34.71428571 19.28571429] ; [10.28571429  5.71428571],0
u1,1,0.878187,0.023491,[ 3 54] ; [ 1 15],[ 3.12328767 53.87671233] ; [ 0.87671233 15.12328767],0
u2,1,0.92809,0.008145,[ 8 15] ; [4 7],[ 8.11764706 14.88235294] ; [3.88235294 7.11764706],0
v1,1,0.93953,0.005755,[13 41] ; [ 4 12],[13.11428571 40.88571429] ; [ 3.88571429 12.11428571],0
d3,1,0.95055,0.003846,[28 29] ; [8 8],[28.10958904 28.89041096] ; [7.89041096 8.10958904],0
s7,1,0.969388,0.001473,[13 40] ; [ 4 12],[13.05797101 39.94202899] ; [ 3.94202899 12.05797101],0
