Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,98.698117,[105  46] ; [ 16 121],[63.44097222 87.55902778] ; [57.55902778 79.44097222],1
s6,1,0.0,39.088571,[117  29] ; [60 76],[91.63829787 54.36170213] ; [85.36170213 50.63829787],1
s7,1,0.0,25.441658,[85 58] ; [37 91],[64.37638376 78.62361624] ; [57.62361624 70.37638376],1
s8,1,9.6e-05,15.204933,[68 83] ; [ 32 106],[52.24913495 98.75086505] ; [47.75086505 90.24913495],1
p7,1,0.000302,13.055752,[102  46] ; [65 71],[87.02816901 60.97183099] ; [79.97183099 56.02816901],1
v4,1,0.010372,6.56979,[140   8] ; [119  20],[133.56097561  14.43902439] ; [125.43902439  13.56097561],0
p2,1,0.011983,6.313386,[128  21] ; [103  36],[119.51041667  29.48958333] ; [111.48958333  27.51041667],0
a1,1,0.018654,5.533627,[  3 148] ; [ 11 128],[  7.28965517 143.71034483] ; [  6.71034483 132.28965517],0
r2,1,0.021455,5.289454,[138  10] ; [117  21],[131.95804196  16.04195804] ; [123.04195804  14.95804196],0
s5,1,0.025626,4.981086,[50 95] ; [ 30 104],[ 41.57706093 103.42293907] ; [38.42293907 95.57706093],0
r4,1,0.026982,4.89199,[133  18] ; [109  30],[126.00689655  24.99310345] ; [115.99310345  23.00689655],0
r3,1,0.035427,4.424487,[142   8] ; [121  17],[136.97916667  13.02083333] ; [126.02083333  11.97916667],0
s4,1,0.035441,4.423809,[ 27 123] ; [ 13 125],[ 20.83333333 129.16666667] ; [ 19.16666667 118.83333333],0
p10,1,0.050279,3.83212,[118  30] ; [94 41],[110.86925795  37.13074205] ; [101.13074205  33.86925795],0
p11,1,0.076516,3.137392,[121  30] ; [99 40],[114.55172414  36.44827586] ; [105.44827586  33.55172414],0
u3,1,0.083963,2.986475,[35 25] ; [26 35],[30.24793388 29.75206612] ; [30.75206612 30.24793388],0
r1,1,0.08611,2.94563,[115  35] ; [94 45],[108.47750865  41.52249135] ; [100.52249135  38.47750865],0
n2,1,0.096427,2.76366,[26  4] ; [25 11],[23.18181818  6.81818182] ; [27.81818182  8.18181818],0
p9,1,0.112698,2.515973,[121  28] ; [99 36],[115.42253521  33.57746479] ; [104.57746479  30.42253521],0
a4,1,0.112765,2.515037,[ 35 115] ; [44 95],[ 41.00346021 108.99653979] ; [ 37.99653979 101.00346021],0
a8,1,0.163012,1.946062,[ 28 117] ; [ 17 113],[ 23.72727273 121.27272727] ; [ 21.27272727 108.72727273],0
