Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000449,12.315965,[16  6] ; [11 30],[ 9.42857143 12.57142857] ; [17.57142857 23.42857143],1
s6,1,0.001087,10.672631,[13 10] ; [ 7 34],[ 7.1875 15.8125] ; [12.8125 28.1875],0
v4,1,0.001369,10.246552,[18  5] ; [15 26],[11.859375 11.140625] ; [21.140625 19.859375],0
d5,1,0.004589,8.034587,[19  4] ; [19 22],[13.65625  9.34375] ; [24.34375 16.65625],0
v1,1,0.012672,6.214268,[10 11] ; [ 7 33],[ 5.85245902 15.14754098] ; [11.14754098 28.85245902],0
p11,1,0.017368,5.658804,[11 12] ; [ 8 33],[ 6.828125 16.171875] ; [12.171875 28.828125],0
d4,1,0.026889,4.897942,[18  4] ; [22 19],[13.96825397  8.03174603] ; [26.03174603 14.96825397],0
d1,1,0.032017,4.597587,[13 10] ; [12 29],[ 8.984375 14.015625] ; [16.015625 24.984375],0
s8,1,0.032463,4.573877,[ 4 19] ; [ 1 40],[ 1.796875 21.203125] ; [ 3.203125 37.796875],0
b5,1,0.033378,4.526307,[18  5] ; [21 20],[14.015625  8.984375] ; [24.984375 16.015625],0
n3,1,0.038104,4.300395,[8 3] ; [ 8 15],[5.17647059 5.82352941] ; [10.82352941 12.17647059],0
d3,1,0.044237,4.047497,[15  8] ; [16 25],[11.140625 11.859375] ; [19.859375 21.140625],0
v3,1,0.072848,3.217663,[ 7 16] ; [ 5 36],[ 4.3125 18.6875] ; [ 7.6875 33.3125],0
p2,1,0.082011,3.024598,[13 10] ; [14 27],[ 9.703125 13.296875] ; [17.296875 23.703125],0
a7,1,0.086573,2.936973,[13  9] ; [15 26],[ 9.77777778 12.22222222] ; [18.22222222 22.77777778],0
u2,1,0.090969,2.857143,[5 4] ; [ 5 16],[3. 6.] ; [ 7. 14.],0
u3,1,0.109443,2.562245,[4 6] ; [ 3 18],[2.25806452 7.74193548] ; [ 4.74193548 16.25806452],0
n6,1,0.110303,2.549881,[14  9] ; [16 24],[10.95238095 12.04761905] ; [19.04761905 20.95238095],0
p6,1,0.173459,1.852792,[ 5 17] ; [ 4 36],[ 3.19354839 18.80645161] ; [ 5.80645161 34.19354839],0
n5,1,0.177264,1.820414,[10 13] ; [25 16],[12.578125 10.421875] ; [22.421875 18.578125],0
s4,1,0.177439,1.818946,[ 2 21] ; [ 9 32],[ 3.953125 19.046875] ; [ 7.046875 33.953125],0
p4,1,0.264772,1.243633,[ 8 15] ; [ 9 32],[ 6.109375 16.890625] ; [10.890625 30.109375],0
n2,1,0.273344,1.199887,[6 5] ; [ 8 15],[4.52941176 6.47058824] ; [ 9.47058824 13.52941176],0
n1,1,0.320294,0.987747,[2 9] ; [ 8 15],[3.23529412 7.76470588] ; [ 6.76470588 16.23529412],0
s2,1,0.322294,0.979615,[ 7 16] ; [ 8 33],[ 5.390625 17.609375] ; [ 9.609375 31.390625],0
r2,1,0.331789,0.941902,[13  9] ; [18 21],[11.18032787 10.81967213] ; [19.81967213 19.18032787],0
b2,1,0.377282,0.779539,[ 3 10] ; [10 17],[4.225 8.775] ; [ 8.775 18.225],0
b3,1,0.377282,0.779539,[ 3 10] ; [10 17],[4.225 8.775] ; [ 8.775 18.225],0
a5,1,0.434481,0.610817,[13 10] ; [19 22],[11.5 11.5] ; [20.5 20.5],0
b4,1,0.434481,0.610817,[13 10] ; [19 22],[11.5 11.5] ; [20.5 20.5],0
p7,1,0.512878,0.428192,[ 5 18] ; [12 29],[ 6.109375 16.890625] ; [10.890625 30.109375],0
u1,1,0.544924,0.36649,[ 2 21] ; [ 2 39],[ 1.4375 21.5625] ; [ 2.5625 38.4375],0
s7,1,0.658566,0.19527,[ 5 16] ; [ 7 30],[ 4.34482759 16.65517241] ; [ 7.65517241 29.34482759],0
a8,1,0.664266,0.188383,[ 1 20] ; [ 3 36],[ 1.4 19.6] ; [ 2.6 36.4],0
s1,1,0.666912,0.185235,[ 2 21] ; [ 5 36],[ 2.515625 20.484375] ; [ 4.484375 36.515625],0
a1,1,0.6701,0.181485,[ 3 20] ; [ 7 34],[ 3.59375 19.40625] ; [ 6.40625 34.59375],0
p12,1,0.673675,0.177334,[ 1 22] ; [ 1 40],[ 0.71875 22.28125] ; [ 1.28125 39.71875],0
p9,1,0.674584,0.176286,[ 6 16] ; [ 9 31],[ 5.32258065 16.67741935] ; [ 9.67741935 30.32258065],0
a6,1,0.683381,0.166344,[13 10] ; [21 20],[12.21875 10.78125] ; [21.78125 19.21875],0
a3,1,0.689576,0.159545,[13 10] ; [20 19],[12.24193548 10.75806452] ; [20.75806452 18.24193548],0
r1,1,0.707838,0.140446,[ 6 17] ; [ 9 32],[ 5.390625 17.609375] ; [ 9.609375 31.390625],0
s3,1,0.711326,0.136957,[ 7 16] ; [14 26],[ 7.66666667 15.33333333] ; [13.33333333 26.66666667],0
d2,1,0.75592,0.096623,[ 9 13] ; [18 22],[ 9.58064516 12.41935484] ; [17.41935484 22.58064516],0
b1,1,0.855317,0.033247,[14  9] ; [24 17],[13.65625  9.34375] ; [24.34375 16.65625],0
n4,1,0.875556,0.024525,[13 10] ; [24 17],[13.296875  9.703125] ; [23.703125 17.296875],0
s5,1,0.884048,0.021269,[ 3 19] ; [ 6 34],[ 3.19354839 18.80645161] ; [ 5.80645161 34.19354839],0
p1,1,0.888936,0.019502,[ 2 21] ; [ 4 37],[ 2.15625 20.84375] ; [ 3.84375 37.15625],0
a2,1,0.921562,0.009696,[ 3 20] ; [ 5 36],[ 2.875 20.125] ; [ 5.125 35.875],0
p3,1,0.94369,0.004989,[ 5 17] ; [ 9 32],[ 4.88888889 17.11111111] ; [ 9.11111111 31.88888889],0
a4,1,0.986097,0.000304,[ 8 15] ; [14 26],[ 8.03174603 14.96825397] ; [13.96825397 26.03174603],0
p8,1,0.99127,0.00012,[ 4 19] ; [ 7 33],[ 4.01587302 18.98412698] ; [ 6.98412698 33.01587302],0
