Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6e-06,20.350539,[15 72] ; [19 13],[24.85714286 62.14285714] ; [ 9.14285714 22.85714286],1
p4,1,2.1e-05,18.090624,[15 73] ; [18 14],[24.2 63.8] ; [ 8.8 23.2],1
p8,1,0.000102,15.103639,[14 76] ; [16 16],[22.13114754 67.86885246] ; [ 7.86885246 24.13114754],1
n6,1,0.006616,7.374309,[51 39] ; [26  5],[57.27272727 32.72727273] ; [19.72727273 11.27272727],0
v2,1,0.010664,6.520454,[28 56] ; [19 13],[34.03448276 49.96551724] ; [12.96551724 19.03448276],0
p6,1,0.01165,6.363381,[ 7 82] ; [ 8 24],[11.03305785 77.96694215] ; [ 3.96694215 28.03305785],0
s6,1,0.015361,5.874576,[26 63] ; [17 15],[31.62809917 57.37190083] ; [11.37190083 20.62809917],0
p11,1,0.015828,5.821925,[40 51] ; [22 10],[45.8699187 45.1300813] ; [16.1300813 15.8699187],0
n4,1,0.018512,5.547063,[49 41] ; [25  7],[54.59016393 35.40983607] ; [19.40983607 12.59016393],0
p5,1,0.02093,5.332631,[ 2 88] ; [ 4 28],[ 4.42622951 85.57377049] ; [ 1.57377049 30.42622951],0
s3,1,0.023822,5.107574,[20 68] ; [14 18],[24.93333333 63.06666667] ; [ 9.06666667 22.93333333],0
r4,1,0.025377,4.998005,[54 37] ; [26  6],[59.18699187 31.81300813] ; [20.81300813 11.18699187],0
r3,1,0.039815,4.225756,[62 28] ; [28  4],[66.39344262 23.60655738] ; [23.60655738  8.39344262],0
n3,1,0.070795,3.264482,[19 17] ; [7 1],[21.27272727 14.72727273] ; [4.72727273 3.27272727],0
p10,1,0.072604,3.22314,[36 52] ; [19 13],[40.33333333 47.66666667] ; [14.66666667 17.33333333],0
a2,1,0.08729,2.923654,[13 78] ; [ 1 31],[10.35772358 80.64227642] ; [ 3.64227642 28.35772358],0
n5,1,0.09619,2.7676,[52 37] ; [24  8],[55.90082645 33.09917355] ; [20.09917355 11.90082645],0
d2,1,0.104407,2.636896,[38 52] ; [ 8 23],[34.21487603 55.78512397] ; [11.78512397 19.21487603],0
s2,1,0.107796,2.586245,[18 71] ; [11 21],[21.33057851 67.66942149] ; [ 7.66942149 24.33057851],0
d1,1,0.113681,2.502282,[37 54] ; [ 8 24],[33.29268293 57.70731707] ; [11.70731707 20.29268293],0
d3,1,0.114514,2.490788,[46 45] ; [11 21],[42.17073171 48.82926829] ; [14.82926829 17.17073171],0
a8,1,0.128979,2.304747,[ 6 81] ; [ 5 26],[ 8.11016949 78.88983051] ; [ 2.88983051 28.11016949],0
b4,1,0.140763,2.169601,[46 45] ; [21 11],[49.56910569 41.43089431] ; [17.43089431 14.56910569],0
n2,1,0.145417,2.119682,[23 15] ; [7 1],[24.7826087 13.2173913] ; [5.2173913 2.7826087],0
