Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,35.401904,[33  4] ; [ 4 23],[21.390625 15.609375] ; [15.609375 11.390625],1
u1,1,0.000269,13.272717,[17 21] ; [ 1 26],[10.52307692 27.47692308] ; [ 7.47692308 19.52307692],1
a2,1,0.000517,12.052254,[16 22] ; [ 1 26],[ 9.93846154 28.06153846] ; [ 7.06153846 19.93846154],1
a4,1,0.000733,11.404469,[26 12] ; [ 7 20],[19.29230769 18.70769231] ; [13.70769231 13.29230769],1
a5,1,0.001907,9.636669,[32  6] ; [13 14],[26.30769231 11.69230769] ; [18.69230769  8.30769231],0
n6,1,0.012195,6.282305,[33  4] ; [17 10],[28.90625  8.09375] ; [21.09375  5.90625],0
d3,1,0.012723,6.207225,[30  7] ; [14 13],[25.4375 11.5625] ; [18.5625  8.4375],0
s4,1,0.050035,3.84028,[ 6 32] ; [10 17],[ 9.35384615 28.64615385] ; [ 6.64615385 20.35384615],0
s5,1,0.053326,3.733662,[ 9 28] ; [12 13],[12.53225806 24.46774194] ; [ 8.46774194 16.53225806],0
b2,1,0.061388,3.49948,[15 14] ; [ 5 15],[11.83673469 17.16326531] ; [ 8.16326531 11.83673469],0
b3,1,0.061388,3.49948,[15 14] ; [ 5 15],[11.83673469 17.16326531] ; [ 8.16326531 11.83673469],0
n2,1,0.080824,3.048259,[8 6] ; [9 1],[9.91666667 4.08333333] ; [7.08333333 2.91666667],0
v2,1,0.08279,3.009265,[23 15] ; [10 16],[19.59375 18.40625] ; [13.40625 12.59375],0
a3,1,0.085468,2.957722,[30  8] ; [16 11],[26.89230769 11.10769231] ; [19.10769231  7.89230769],0
p9,1,0.091995,2.839106,[23 13] ; [11 15],[19.74193548 16.25806452] ; [14.25806452 11.74193548],0
b5,1,0.142753,2.148031,[23 15] ; [21  6],[25.72307692 12.27692308] ; [18.27692308  8.72307692],0
r2,1,0.179482,1.801907,[35  1] ; [24  3],[33.71428571  2.28571429] ; [25.28571429  1.71428571],0
p8,1,0.18641,1.745762,[17 20] ; [ 8 19],[14.453125 22.546875] ; [10.546875 16.453125],0
r3,1,0.189853,1.718759,[36  2] ; [23  4],[34.49230769  3.50769231] ; [24.50769231  2.49230769],0
a6,1,0.203147,1.619605,[25 12] ; [14 13],[22.546875 14.453125] ; [16.453125 10.546875],0
n5,1,0.248524,1.331582,[27 10] ; [16 11],[24.859375 12.140625] ; [18.140625  8.859375],0
r1,1,0.266905,1.232585,[30  8] ; [18  9],[28.06153846  9.93846154] ; [19.93846154  7.06153846],0
s8,1,0.284666,1.144679,[22 16] ; [12 15],[19.87692308 18.12307692] ; [14.12307692 12.87692308],0
b4,1,0.322077,0.980495,[27 11] ; [16 11],[25.13846154 12.86153846] ; [17.86153846  9.13846154],0
n1,1,0.327187,0.96,[7 7] ; [7 3],[8.16666667 5.83333333] ; [5.83333333 4.16666667],0
n3,1,0.327187,0.96,[7 7] ; [7 3],[8.16666667 5.83333333] ; [5.83333333 4.16666667],0
n4,1,0.340335,0.909169,[31  6] ; [20  7],[29.484375  7.515625] ; [21.515625  5.484375],0
p3,1,0.4033,0.698465,[13 25] ; [12 15],[14.61538462 23.38461538] ; [10.38461538 16.61538462],0
b1,1,0.437299,0.60336,[16 22] ; [14 13],[17.53846154 20.46153846] ; [12.46153846 14.53846154],0
p4,1,0.437299,0.60336,[22 16] ; [13 14],[20.46153846 17.53846154] ; [14.53846154 12.46153846],0
p1,1,0.461118,0.54318,[ 5 33] ; [ 2 25],[ 4.09230769 33.90769231] ; [ 2.90769231 24.09230769],0
p7,1,0.462382,0.540123,[14 22] ; [13 14],[15.42857143 20.57142857] ; [11.57142857 15.42857143],0
r4,1,0.510078,0.433907,[32  6] ; [21  6],[30.98461538  7.01538462] ; [22.01538462  4.98461538],0
s2,1,0.544796,0.366723,[24 14] ; [19  8],[25.13846154 12.86153846] ; [17.86153846  9.13846154],0
u3,1,0.598802,0.276807,[6 2] ; [7 4],[5.47368421 2.52631579] ; [7.52631579 3.47368421],0
s3,1,0.661098,0.192192,[27 10] ; [21  6],[27.75  9.25] ; [20.25  6.75],0
v4,1,0.668588,0.183258,[34  4] ; [25  2],[34.49230769  3.50769231] ; [24.50769231  2.49230769],0
p11,1,0.72162,0.126946,[20 18] ; [13 14],[19.29230769 18.70769231] ; [13.70769231 13.29230769],0
v3,1,0.773091,0.083137,[13 21] ; [ 9 17],[12.46666667 21.53333333] ; [ 9.53333333 16.46666667],0
p6,1,0.776633,0.080491,[15 22] ; [10 17],[14.453125 22.546875] ; [10.546875 16.453125],0
a7,1,0.814324,0.055155,[25 13] ; [17 10],[24.55384615 13.44615385] ; [17.44615385  9.55384615],0
a8,1,0.849518,0.035999,[ 7 25] ; [ 6 19],[ 7.29824561 24.70175439] ; [ 5.70175439 19.29824561],0
p2,1,0.866741,0.028157,[26 12] ; [19  8],[26.30769231 11.69230769] ; [18.69230769  8.30769231],0
v1,1,0.884319,0.021169,[18 18] ; [13 14],[17.71428571 18.28571429] ; [13.28571429 13.71428571],0
s6,1,0.910002,0.012777,[30  8] ; [21  6],[29.81538462  8.18461538] ; [21.18461538  5.81538462],0
u2,1,0.913906,0.011688,[5 3] ; [6 4],[4.88888889 3.11111111] ; [6.11111111 3.88888889],0
p5,1,0.940255,0.005617,[ 4 34] ; [ 3 24],[ 4.09230769 33.90769231] ; [ 2.90769231 24.09230769],0
s1,1,0.942077,0.005279,[ 3 35] ; [ 2 25],[ 2.92307692 35.07692308] ; [ 2.07692308 24.92307692],0
