Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000169,14.148082,[ 7 97] ; [ 9 18],[12.70229008 91.29770992] ; [ 3.29770992 23.70229008],1
s6,1,0.001718,9.828299,[25 78] ; [15 12],[31.69230769 71.30769231] ; [ 8.30769231 18.69230769],0
p3,1,0.004132,8.224742,[27 75] ; [15 12],[33.20930233 68.79069767] ; [ 8.79069767 18.20930233],0
p5,1,0.017705,5.625075,[ 5 98] ; [ 5 22],[ 7.92307692 95.07692308] ; [ 2.07692308 24.92307692],0
v1,1,0.018892,5.511528,[25 78] ; [12 13],[29.7734375 73.2265625] ; [ 7.2265625 17.7734375],0
p4,1,0.020242,5.390915,[32 70] ; [15 12],[37.1627907 64.8372093] ; [ 9.8372093 17.1627907],0
p11,1,0.022835,5.181043,[60 44] ; [22  5],[65.09923664 38.90076336] ; [16.90076336 10.09923664],0
p8,1,0.040809,4.183944,[31 70] ; [14 13],[35.5078125 65.4921875] ; [ 9.4921875 17.5078125],0
v3,1,0.048006,3.909774,[24 80] ; [11 15],[28. 76.] ; [ 7. 19.],0
b5,1,0.05161,3.788354,[64 40] ; [11 16],[59.54198473 44.45801527] ; [15.45801527 11.54198473],0
d4,1,0.055594,3.664185,[60 44] ; [21  6],[64.30534351 39.69465649] ; [16.69465649 10.30534351],0
b1,1,0.085531,2.956534,[50 54] ; [ 8 19],[46.04580153 57.95419847] ; [11.95419847 15.04580153],0
p6,1,0.095435,2.780215,[20 79] ; [ 9 16],[23.15322581 75.84677419] ; [ 5.84677419 19.15322581],0
a3,1,0.112905,2.513082,[55 48] ; [19  8],[58.63076923 44.36923077] ; [15.36923077 11.63076923],0
n1,1,0.122823,2.380952,[12 24] ; [8 6],[14.4 21.6] ; [5.6 8.4],0
p9,1,0.131094,2.279501,[66 35] ; [21  5],[69.18897638 31.81102362] ; [17.81102362  8.18897638],0
p10,1,0.137115,2.210045,[53 47] ; [18  8],[56.34920635 43.65079365] ; [14.65079365 11.34920635],0
a5,1,0.137777,2.202617,[45 59] ; [16 11],[48.42748092 55.57251908] ; [12.57251908 14.42748092],0
n6,1,0.143579,2.139176,[69 34] ; [22  5],[72.1 30.9] ; [18.9  8.1],0
p2,1,0.17254,1.860735,[61 41] ; [20  7],[64.04651163 37.95348837] ; [16.95348837 10.04651163],0
r3,1,0.184134,1.763938,[75 28] ; [23  4],[77.64615385 25.35384615] ; [20.35384615  6.64615385],0
u3,1,0.191848,1.703369,[13 35] ; [4 4],[14.57142857 33.42857143] ; [2.42857143 5.57142857],0
n2,1,0.202463,1.624517,[22 15] ; [11  3],[23.94117647 13.05882353] ; [9.05882353 4.94117647],0
d5,1,0.226273,1.464139,[64 40] ; [20  7],[66.6870229 37.3129771] ; [17.3129771  9.6870229],0
r2,1,0.227967,1.453499,[73 28] ; [21  4],[75.34920635 25.65079365] ; [18.65079365  6.34920635],0
a6,1,0.229349,1.444895,[52 52] ; [17 10],[54.77862595 49.22137405] ; [14.22137405 12.77862595],0
s5,1,0.245926,1.346301,[ 8 93] ; [ 4 22],[ 9.54330709 91.45669291] ; [ 2.45669291 23.54330709],0
p12,1,0.259216,1.272938,[  3 100] ; [ 2 24],[ 3.99224806 99.00775194] ; [ 1.00775194 24.99224806],0
v2,1,0.307535,1.041231,[31 71] ; [11 16],[33.20930233 68.79069767] ; [ 8.79069767 18.20930233],0
a2,1,0.340059,0.910209,[ 9 95] ; [ 4 23],[10.32061069 93.67938931] ; [ 2.67938931 24.32061069],0
p7,1,0.367041,0.813656,[43 59] ; [14 13],[45.06976744 56.93023256] ; [11.93023256 15.06976744],0
n4,1,0.396076,0.720208,[64 40] ; [19  8],[65.89312977 38.10687023] ; [17.10687023  9.89312977],0
d3,1,0.407311,0.686635,[48 55] ; [15 12],[49.91538462 53.08461538] ; [13.08461538 13.91538462],0
u1,1,0.430293,0.622032,[  4 100] ; [ 2 25],[ 4.76335878 99.23664122] ; [ 1.23664122 25.76335878],0
d1,1,0.432644,0.615716,[34 70] ; [11 16],[35.72519084 68.27480916] ; [ 9.27480916 17.72519084],0
n3,1,0.441502,0.592375,[25 12] ; [11  3],[26.11764706 10.88235294] ; [9.88235294 4.11764706],0
r4,1,0.488615,0.479574,[50 54] ; [15 12],[51.60305344 52.39694656] ; [13.39694656 13.60305344],0
u2,1,0.502716,0.449198,[18 30] ; [4 4],[18.85714286 29.14285714] ; [3.14285714 4.85714286],0
p1,1,0.537774,0.379681,[11 93] ; [ 4 23],[11.90839695 92.09160305] ; [ 3.09160305 23.90839695],0
a1,1,0.558364,0.342544,[ 7 97] ; [ 1 26],[ 6.35114504 97.64885496] ; [ 1.64885496 25.35114504],0
a8,1,0.579682,0.30675,[ 8 91] ; [ 3 23],[ 8.712 90.288] ; [ 2.288 23.712],0
b2,1,0.605107,0.267361,[23 33] ; [10 11],[24. 32.] ; [ 9. 12.],0
b3,1,0.605107,0.267361,[23 33] ; [10 11],[24. 32.] ; [ 9. 12.],0
a4,1,0.623178,0.241426,[33 70] ; [10 17],[34.06923077 68.93076923] ; [ 8.93076923 18.06923077],0
a7,1,0.678195,0.172164,[57 47] ; [16 11],[57.95419847 46.04580153] ; [15.04580153 11.95419847],0
v4,1,0.69004,0.159042,[77 27] ; [21  6],[77.80152672 26.19847328] ; [20.19847328  6.80152672],0
s4,1,0.749792,0.101706,[13 91] ; [ 4 23],[13.49618321 90.50381679] ; [ 3.50381679 23.49618321],0
b4,1,0.78357,0.075443,[57 47] ; [14 13],[56.36641221 47.63358779] ; [14.63358779 12.36641221],0
s1,1,0.799766,0.064338,[ 5 98] ; [ 1 26],[ 4.75384615 98.24615385] ; [ 1.24615385 25.75384615],0
d2,1,0.822833,0.050132,[44 58] ; [11 16],[43.48837209 58.51162791] ; [11.51162791 15.48837209],0
s3,1,0.900457,0.015646,[25 76] ; [ 7 20],[25.25 75.75] ; [ 6.75 20.25],0
n5,1,0.949555,0.004003,[68 35] ; [18  9],[68.13846154 34.86153846] ; [17.86153846  9.13846154],0
