Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,39.29986,[ 7 44] ; [70 34],[25.33548387 25.66451613] ; [51.66451613 52.33548387],1
r1,1,0.0,26.28644,[23 27] ; [88 15],[36.2745098 13.7254902] ; [74.7254902 28.2745098],1
s5,1,1e-06,24.415466,[ 3 47] ; [47 55],[16.44736842 33.55263158] ; [33.55263158 68.44736842],1
r4,1,5e-06,21.01482,[31 20] ; [95  9],[41.45806452  9.54193548] ; [84.54193548 19.45806452],1
s3,1,1.7e-05,18.545977,[13 37] ; [65 38],[25.49019608 24.50980392] ; [52.50980392 50.49019608],1
s8,1,4.5e-05,16.664319,[ 9 42] ; [54 50],[20.72903226 30.27096774] ; [42.27096774 61.72903226],1
s7,1,6.7e-05,15.897347,[12 37] ; [56 38],[23.3006993 25.6993007] ; [44.6993007 49.3006993],1
v1,1,0.002632,9.046735,[12 38] ; [51 52],[20.58823529 29.41176471] ; [42.41176471 60.58823529],0
r3,1,0.005174,7.817755,[38 13] ; [94  9],[43.71428571  7.28571429] ; [88.28571429 14.71428571],0
r2,1,0.006437,7.423687,[40  8] ; [100   4],[44.21052632  3.78947368] ; [95.78947368  8.21052632],0
p10,1,0.008645,6.894806,[22 28] ; [67 34],[29.47019868 20.52980132] ; [59.52980132 41.47019868],0
u3,1,0.009026,6.817631,[ 5 15] ; [21 13],[ 9.62962963 10.37037037] ; [16.37037037 17.62962963],0
d4,1,0.012715,6.20834,[33 18] ; [86 18],[39.15483871 11.84516129] ; [79.84516129 24.15483871],0
d5,1,0.013388,6.117058,[33 17] ; [87 17],[38.96103896 11.03896104] ; [81.03896104 22.96103896],0
u2,1,0.013739,6.071332,[ 3 17] ; [16 17],[ 7.16981132 12.83018868] ; [11.83018868 21.16981132],0
p4,1,0.017878,5.608101,[18 31] ; [59 44],[24.82236842 24.17763158] ; [52.17763158 50.82236842],0
p9,1,0.028023,4.826628,[25 22] ; [73 29],[30.91275168 16.08724832] ; [67.08724832 34.91275168],0
a4,1,0.03875,4.271805,[15 35] ; [49 54],[20.91503268 29.08496732] ; [43.08496732 59.91503268],0
p5,1,0.04179,4.143682,[ 1 50] ; [12 91],[ 4.30519481 46.69480519] ; [ 8.69480519 94.30519481],0
a7,1,0.056856,3.626812,[30 20] ; [78 26],[35.06493506 14.93506494] ; [72.93506494 31.06493506],0
v2,1,0.081701,3.030737,[18 32] ; [52 50],[23.02631579 26.97368421] ; [46.97368421 55.02631579],0
p3,1,0.087279,2.923861,[15 36] ; [45 58],[19.87012987 31.12987013] ; [40.12987013 62.87012987],0
u1,1,0.093946,2.80543,[ 6 45] ; [24 80],[ 9.87096774 41.12903226] ; [20.12903226 83.87096774],0
s4,1,0.107153,2.595714,[ 7 44] ; [26 78],[10.85806452 40.14193548] ; [22.14193548 81.85806452],0
b4,1,0.111483,2.533077,[23 28] ; [61 43],[27.63870968 23.36129032] ; [56.36129032 47.63870968],0
a5,1,0.128892,2.305795,[29 22] ; [72 32],[33.23225806 17.76774194] ; [67.76774194 36.23225806],0
d2,1,0.136592,2.215938,[21 29] ; [57 47],[25.32467532 24.67532468] ; [52.67532468 51.32467532],0
s1,1,0.144913,2.125,[ 1 50] ; [ 8 94],[ 3. 48.] ; [ 6. 96.],0
p2,1,0.165477,1.923447,[31 20] ; [74 29],[34.77272727 16.22727273] ; [70.22727273 32.77272727],0
b1,1,0.172054,1.864957,[22 29] ; [57 47],[25.99354839 25.00645161] ; [53.00645161 50.99354839],0
v3,1,0.257585,1.281689,[14 37] ; [37 64],[17.11184211 33.88815789] ; [33.88815789 67.11184211],0
v4,1,0.358002,0.844891,[46  5] ; [98  6],[47.38064516  3.61935484] ; [96.61935484  7.38064516],0
b5,1,0.359367,0.840104,[38 13] ; [70 34],[35.53548387 15.46451613] ; [72.46451613 31.53548387],0
d3,1,0.373515,0.791937,[30 20] ; [70 34],[32.46753247 17.53246753] ; [67.53246753 36.46753247],0
n3,1,0.399381,0.710189,[8 7] ; [25 13],[9.33962264 5.66037736] ; [23.66037736 14.33962264],0
d1,1,0.428556,0.626735,[25 26] ; [58 46],[27.30967742 23.69032258] ; [55.69032258 48.30967742],0
n4,1,0.429727,0.623562,[34 17] ; [75 28],[36.0974026 14.9025974] ; [72.9025974 30.0974026],0
a8,1,0.452206,0.565116,[ 3 41] ; [10 82],[ 4.20588235 39.79411765] ; [ 8.79411765 83.20588235],0
n5,1,0.485364,0.486788,[34 17] ; [75 29],[35.86451613 15.13548387] ; [73.13548387 30.86451613],0
p7,1,0.489847,0.476863,[23 27] ; [53 49],[25. 25.] ; [51. 51.],0
b2,1,0.492377,0.471328,[10 17] ; [15 36],[ 8.65384615 18.34615385] ; [16.34615385 34.65384615],0
b3,1,0.492377,0.471328,[10 17] ; [15 36],[ 8.65384615 18.34615385] ; [16.34615385 34.65384615],0
a6,1,0.557969,0.343233,[30 21] ; [56 48],[28.29677419 22.70322581] ; [57.70322581 46.29677419],0
p6,1,0.608267,0.262706,[14 35] ; [34 70],[15.37254902 33.62745098] ; [32.62745098 71.37254902],0
a3,1,0.650952,0.204702,[31 18] ; [69 34],[32.23684211 16.76315789] ; [67.76315789 35.23684211],0
p8,1,0.684427,0.165185,[18 32] ; [34 70],[16.88311688 33.11688312] ; [35.11688312 68.88311688],0
p12,1,0.733229,0.116167,[ 1 50] ; [  3 101],[ 1.31612903 49.68387097] ; [  2.68387097 101.31612903],0
n2,1,0.767445,0.087449,[12  4] ; [27 11],[11.55555556  4.44444444] ; [27.44444444 10.55555556],0
n1,1,0.896885,0.016795,[7 8] ; [18 19],[7.21153846 7.78846154] ; [17.78846154 19.21153846],0
a2,1,0.938392,0.005974,[11 40] ; [23 81],[11.18709677 39.81290323] ; [22.81290323 81.18709677],0
