Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,33.468332,[130  93] ; [ 44 112],[102.37994723 120.62005277] ; [71.62005277 84.37994723],1
v2,1,0.0,29.404238,[165  62] ; [69 84],[139.78421053  87.21578947] ; [94.21578947 58.78421053],1
n5,1,2.8e-05,17.551301,[193  35] ; [105  53],[176.02072539  51.97927461] ; [121.97927461  36.02072539],1
p4,1,0.000249,13.418397,[179  49] ; [97 61],[163.02590674  64.97409326] ; [112.97409326  45.02590674],1
p9,1,0.000381,12.621576,[211  16] ; [128  30],[199.87792208  27.12207792] ; [139.12207792  18.87792208],1
p6,1,0.000641,11.65441,[118 107] ; [ 55 103],[101.63185379 123.36814621] ; [71.36814621 86.63185379],1
s8,1,0.000715,11.449583,[124 102] ; [59 99],[107.703125 118.296875] ; [75.296875 82.703125],1
b2,1,0.001081,10.68298,[71 81] ; [22 65],[59.14644351 92.85355649] ; [33.85355649 53.14644351],0
b3,1,0.001081,10.68298,[71 81] ; [22 65],[59.14644351 92.85355649] ; [33.85355649 53.14644351],0
a5,1,0.001335,10.293804,[189  40] ; [109  50],[175.8814433  53.1185567] ; [122.1185567  36.8814433],0
n1,1,0.001702,9.846527,[20 14] ; [ 7 26],[13.70149254 20.29850746] ; [13.29850746 19.70149254],0
a3,1,0.001874,9.669463,[175  51] ; [100  59],[161.42857143  64.57142857] ; [113.57142857  45.42857143],0
d1,1,0.002044,9.509537,[151  78] ; [80 79],[136.33762887  92.66237113] ; [94.66237113 64.33762887],0
p10,1,0.002962,8.830947,[204  23] ; [124  33],[193.89583333  33.10416667] ; [134.10416667  22.89583333],0
s7,1,0.003774,8.389316,[119  97] ; [60 91],[105.35149864 110.64850136] ; [73.64850136 77.35149864],0
n4,1,0.00421,8.190986,[193  36] ; [115  44],[181.78350515  47.21649485] ; [126.21649485  32.78350515],0
n2,1,0.004252,8.173077,[31  3] ; [21 13],[26.  8.] ; [26.  8.],0
s5,1,0.005571,7.684208,[ 90 135] ; [ 41 115],[ 77.36220472 147.63779528] ; [ 53.63779528 102.36220472],0
d4,1,0.007028,7.265916,[198  29] ; [122  37],[188.1865285  38.8134715] ; [131.8134715  27.1865285],0
r1,1,0.014675,5.955075,[196  31] ; [122  37],[187.01036269  39.98963731] ; [130.98963731  28.01036269],0
p2,1,0.014688,5.953482,[212  17] ; [134  24],[204.73901809  24.26098191] ; [141.26098191  16.73901809],0
r2,1,0.024607,5.051328,[218   7] ; [143  13],[213.18897638  11.81102362] ; [147.81102362   8.18897638],0
r4,1,0.027175,4.87968,[216  13] ; [140  19],[210.11340206  18.88659794] ; [145.88659794  13.11340206],0
a4,1,0.027445,4.86257,[104 123] ; [ 55 104],[ 93.50518135 133.49481865] ; [65.49481865 93.50518135],0
n6,1,0.03058,4.676373,[202  24] ; [129  29],[194.80729167  31.19270833] ; [136.19270833  21.80729167],0
p12,1,0.0315,4.625526,[ 30 199] ; [ 10 148],[ 23.66925065 205.33074935] ; [ 16.33074935 141.66925065],0
a2,1,0.037431,4.330687,[ 56 173] ; [ 25 134],[ 47.80670103 181.19329897] ; [ 33.19329897 125.80670103],0
v4,1,0.038274,4.292803,[222   5] ; [147  10],[218.1328125   8.8671875] ; [150.8671875   6.1328125],0
s6,1,0.038292,4.291997,[156  70] ; [91 64],[146.5144357  79.4855643] ; [100.4855643  54.5144357],0
d3,1,0.041408,4.159254,[167  61] ; [101  58],[157.89147287  70.10852713] ; [110.10852713  48.89147287],0
u4,1,0.043573,4.073017,[  9 220] ; [  1 158],[  5.90206186 223.09793814] ; [  4.09793814 154.90206186],0
p11,1,0.049852,3.846441,[201  28] ; [128  31],[194.17783505  34.82216495] ; [134.82216495  24.17783505],0
d5,1,0.055903,3.654956,[188  39] ; [119  40],[180.54145078  46.45854922] ; [126.45854922  32.54145078],0
p7,1,0.069426,3.296542,[188  38] ; [118  38],[181.03664921  44.96335079] ; [124.96335079  31.03664921],0
p5,1,0.095461,2.779783,[ 47 182] ; [ 22 136],[ 40.82945736 188.17054264] ; [ 28.17054264 129.82945736],0
d2,1,0.118047,2.443041,[113 115] ; [66 93],[105.45736434 122.54263566] ; [73.54263566 85.45736434],0
b5,1,0.11836,2.438889,[135  94] ; [81 78],[127.48453608 101.51546392] ; [88.51546392 70.48453608],0
b4,1,0.123121,2.377166,[139  90] ; [84 75],[131.61597938  97.38402062] ; [91.38402062 67.61597938],0
p3,1,0.12715,2.326963,[146  82] ; [89 69],[138.80829016  89.19170984] ; [96.19170984 61.80829016],0
