Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3e-06,22.004675,[84  8] ; [37 25],[72.28571429 19.71428571] ; [48.71428571 13.28571429],1
p9,1,1.7e-05,18.537809,[70 20] ; [26 34],[57.6 32.4] ; [38.4 21.6],1
p4,1,1.9e-05,18.262575,[56 35] ; [16 45],[43.10526316 47.89473684] ; [28.89473684 32.10526316],1
r3,1,4.5e-05,16.642297,[87  5] ; [43 18],[78.16993464 13.83006536] ; [51.83006536  9.16993464],1
p7,1,4.5e-05,16.640009,[57 33] ; [18 43],[44.70198675 45.29801325] ; [30.29801325 30.70198675],1
s6,1,0.000114,14.884687,[67 22] ; [27 34],[55.77333333 33.22666667] ; [38.22666667 22.77333333],1
p10,1,0.000169,14.142963,[59 31] ; [21 40],[47.68211921 42.31788079] ; [32.31788079 28.68211921],1
r1,1,0.000233,13.547547,[78 12] ; [37 24],[68.54304636 21.45695364] ; [46.45695364 14.54304636],1
v4,1,0.000252,13.394369,[87  5] ; [45 16],[79.37254902 12.62745098] ; [52.62745098  8.37254902],1
n6,1,0.000808,11.222918,[71 18] ; [33 28],[61.70666667 27.29333333] ; [42.29333333 18.70666667],1
p6,1,0.001092,10.665307,[37 52] ; [10 51],[27.88666667 61.11333333] ; [19.11333333 41.88666667],0
r2,1,0.001695,9.853453,[90  1] ; [51  8],[85.54  5.46] ; [55.46  3.54],0
p8,1,0.001837,9.7052,[38 52] ; [11 50],[29.20529801 60.79470199] ; [19.79470199 41.20529801],0
p3,1,0.002551,9.103426,[45 47] ; [15 46],[36.07843137 55.92156863] ; [23.92156863 37.07843137],0
v1,1,0.008221,6.984638,[48 44] ; [19 43],[40.02597403 51.97402597] ; [26.97402597 35.02597403],0
s2,1,0.008491,6.926948,[52 39] ; [22 40],[44.0130719 46.9869281] ; [29.9869281 32.0130719],0
s7,1,0.008993,6.824289,[48 39] ; [18 37],[40.43661972 46.56338028] ; [25.56338028 29.43661972],0
s8,1,0.014874,5.931368,[40 51] ; [15 46],[32.92763158 58.07236842] ; [22.07236842 38.92763158],0
n4,1,0.020759,5.346936,[69 21] ; [36 25],[62.58278146 27.41721854] ; [42.41721854 18.58278146],0
a1,1,0.022691,5.192038,[ 3 89] ; [ 8 54],[ 6.57142857 85.42857143] ; [ 4.42857143 57.57142857],0
a7,1,0.038901,4.265171,[74 18] ; [40 21],[68.54901961 23.45098039] ; [45.45098039 15.54901961],0
s5,1,0.099137,2.719367,[34 50] ; [16 43],[29.37062937 54.62937063] ; [20.62937063 38.37062937],0
b4,1,0.114189,2.495263,[52 40] ; [27 35],[47.19480519 44.80519481] ; [31.80519481 30.19480519],0
u2,1,0.128872,2.306043,[7 9] ; [ 2 10],[ 5.14285714 10.85714286] ; [3.85714286 8.14285714],0
s3,1,0.129042,2.303991,[51 40] ; [27 35],[46.39215686 44.60784314] ; [31.60784314 30.39215686],0
b5,1,0.151185,2.060256,[61 31] ; [34 28],[56.75324675 35.24675325] ; [38.24675325 23.75324675],0
p1,1,0.190496,1.713774,[ 5 86] ; [ 7 55],[ 7.1372549 83.8627451] ; [ 4.8627451 57.1372549],0
v2,1,0.22848,1.450298,[49 40] ; [27 33],[45.39597315 43.60402685] ; [30.60402685 29.39597315],0
n5,1,0.246203,1.344725,[60 30] ; [35 26],[56.62251656 33.37748344] ; [38.37748344 22.62251656],0
d5,1,0.269637,1.218593,[80 12] ; [49 12],[77.56862745 14.43137255] ; [51.43137255  9.56862745],0
u1,1,0.286886,1.134179,[23 69] ; [11 51],[20.31168831 71.68831169] ; [13.68831169 48.31168831],0
u3,1,0.298698,1.08,[8 7] ; [4 8],[6.66666667 8.33333333] ; [5.33333333 6.66666667],0
