Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.002245,9.337268,[ 18 121] ; [13 25],[ 24.34463277 114.65536723] ; [ 6.65536723 31.34463277],0
p6,1,0.004323,8.142843,[ 22 113] ; [14 23],[ 28.25581395 106.74418605] ; [ 7.74418605 29.25581395],0
s3,1,0.005051,7.86125,[44 90] ; [22 16],[51.41860465 82.58139535] ; [14.58139535 23.41860465],0
s6,1,0.007859,7.065216,[50 87] ; [23 15],[57.14857143 79.85142857] ; [15.85142857 22.14857143],0
n4,1,0.010264,6.588533,[42 97] ; [20 18],[48.68926554 90.31073446] ; [13.31073446 24.68926554],0
a2,1,0.020412,5.376295,[ 11 128] ; [ 8 30],[ 14.92090395 124.07909605] ; [ 4.07909605 33.92090395],0
a3,1,0.02177,5.264054,[73 65] ; [28 10],[79.19318182 58.80681818] ; [21.80681818 16.19318182],0
d5,1,0.022576,5.200836,[94 44] ; [33  5],[99.57954545 38.42045455] ; [27.42045455 10.57954545],0
s2,1,0.026481,4.924325,[ 36 102] ; [17 21],[41.55681818 96.44318182] ; [11.44318182 26.55681818],0
d3,1,0.05551,3.666686,[86 52] ; [30  8],[90.95454545 47.04545455] ; [25.04545455 12.95454545],0
u2,1,0.056943,3.62426,[31 34] ; [8 2],[33.8 31.2] ; [5.2 4.8],0
u3,1,0.063008,3.456383,[31 33] ; [8 2],[33.72972973 30.27027027] ; [5.27027027 4.72972973],0
d2,1,0.07196,3.237737,[44 95] ; [18 20],[48.68926554 90.31073446] ; [13.31073446 24.68926554],0
s5,1,0.073251,3.208623,[ 27 108] ; [12 23],[ 30.97058824 104.02941176] ; [ 8.02941176 26.97058824],0
b5,1,0.090511,2.865267,[87 52] ; [18 20],[82.45762712 56.54237288] ; [22.54237288 15.45762712],0
n1,1,0.111079,2.538796,[ 9 37] ; [5 7],[11.10344828 34.89655172] ; [2.89655172 9.10344828],0
r3,1,0.120064,2.416482,[124  15] ; [37  1],[126.43502825  12.56497175] ; [34.56497175  3.43502825],0
p3,1,0.124159,2.364055,[40 98] ; [16 22],[43.90909091 94.09090909] ; [12.09090909 25.90909091],0
d1,1,0.125125,2.351973,[61 78] ; [22 16],[65.18079096 73.81920904] ; [17.81920904 20.18079096],0
a4,1,0.1756,1.83447,[ 39 100] ; [15 23],[42.40677966 96.59322034] ; [11.59322034 26.40677966],0
r1,1,0.224086,1.478014,[91 47] ; [29  9],[94.09090909 43.90909091] ; [25.90909091 12.09090909],0
b3,1,0.230045,1.440581,[16 49] ; [ 9 15],[18.25842697 46.74157303] ; [ 6.74157303 17.25842697],0
b2,1,0.230045,1.440581,[16 49] ; [ 9 15],[18.25842697 46.74157303] ; [ 6.74157303 17.25842697],0
v1,1,0.244963,1.351802,[43 94] ; [15 21],[45.93063584 91.06936416] ; [12.06936416 23.93063584],0
d4,1,0.247886,1.335176,[109  30] ; [33  5],[111.51412429  27.48587571] ; [30.48587571  7.51412429],0
v4,1,0.248586,1.331234,[121  16] ; [30  7],[118.8908046  18.1091954] ; [32.1091954  4.8908046],0
a8,1,0.264188,1.24668,[  3 127] ; [ 2 31],[  3.98773006 126.01226994] ; [ 1.01226994 31.98773006],0
r4,1,0.300132,1.073609,[102  37] ; [31  7],[104.44632768  34.55367232] ; [28.55367232  9.44632768],0
n2,1,0.338509,0.916071,[27 18] ; [9 3],[28.42105263 16.57894737] ; [7.57894737 4.42105263],0
a5,1,0.350001,0.873454,[76 63] ; [24 14],[78.53107345 60.46892655] ; [21.46892655 16.53107345],0
p11,1,0.368204,0.809715,[84 55] ; [26 12],[86.38418079 52.61581921] ; [23.61581921 14.38418079],0
p4,1,0.383096,0.760742,[51 87] ; [17 21],[53.31818182 84.68181818] ; [14.68181818 23.31818182],0
p10,1,0.39709,0.717121,[76 61] ; [24 14],[78.28571429 58.71428571] ; [21.71428571 16.28571429],0
b4,1,0.402191,0.701765,[81 58] ; [25 13],[83.24293785 55.75706215] ; [22.75706215 15.24293785],0
p7,1,0.416814,0.65928,[66 72] ; [21 17],[68.21590909 69.78409091] ; [18.78409091 19.21590909],0
p1,1,0.428272,0.627504,[  8 129] ; [ 1 37],[  7.04571429 129.95428571] ; [ 1.95428571 36.04571429],0
v3,1,0.457244,0.552632,[ 30 103] ; [10 25],[ 31.66666667 101.33333333] ; [ 8.33333333 26.66666667],0
r2,1,0.466754,0.52965,[120  17] ; [34  3],[121.25287356  15.74712644] ; [32.74712644  4.25287356],0
n6,1,0.54735,0.362086,[84 55] ; [25 13],[85.59887006 53.40112994] ; [23.40112994 14.59887006],0
u1,1,0.62833,0.234332,[  8 131] ; [ 3 35],[  8.63841808 130.36158192] ; [ 2.36158192 35.63841808],0
b1,1,0.657972,0.195997,[53 86] ; [13 25],[51.83050847 87.16949153] ; [14.16949153 23.83050847],0
a7,1,0.746594,0.104416,[98 40] ; [28 10],[98.79545455 39.20454545] ; [27.20454545 10.79545455],0
p5,1,0.765487,0.088973,[  5 133] ; [ 1 37],[  4.70454545 133.29545455] ; [ 1.29545455 36.70454545],0
p2,1,0.776202,0.080811,[97 40] ; [26 12],[96.29142857 40.70857143] ; [26.70857143 11.29142857],0
s1,1,0.803419,0.061964,[  6 133] ; [ 2 36],[  6.28248588 132.71751412] ; [ 1.71751412 36.28248588],0
v2,1,0.89102,0.018773,[65 69] ; [17 19],[64.63529412 69.36470588] ; [17.36470588 18.63529412],0
p9,1,0.925363,0.008776,[87 51] ; [23 13],[87.24137931 50.75862069] ; [22.75862069 13.24137931],0
p8,1,0.939754,0.005712,[55 83] ; [15 22],[55.2 82.8] ; [14.8 22.2],0
n3,1,0.947759,0.004293,[33 13] ; [8 3],[33.0877193 12.9122807] ; [7.9122807 3.0877193],0
a6,1,0.991562,0.000112,[84 55] ; [23 15],[84.02824859 54.97175141] ; [22.97175141 15.02824859],0
