Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.9e-05,18.296581,[27 48] ; [24  5],[36.77884615 38.22115385] ; [14.22115385 14.77884615],1
p12,1,0.007152,7.234473,[ 1 78] ; [ 4 26],[ 3.62385321 75.37614679] ; [ 1.37614679 28.62385321],0
b1,1,0.00794,7.047047,[32 48] ; [ 4 26],[26.18181818 53.81818182] ; [ 9.81818182 20.18181818],0
a7,1,0.009441,6.737444,[52 28] ; [27  3],[57.45454545 22.54545455] ; [21.54545455  8.45454545],0
a2,1,0.009754,6.679317,[ 8 72] ; [ 9 21],[12.36363636 67.63636364] ; [ 4.63636364 25.36363636],0
u1,1,0.010479,6.551516,[ 5 75] ; [ 7 23],[ 8.72727273 71.27272727] ; [ 3.27272727 26.72727273],0
s6,1,0.012786,6.198436,[56 23] ; [28  2],[60.88073394 18.11926606] ; [23.11926606  6.88073394],0
n6,1,0.028587,4.792307,[42 38] ; [22  7],[46.97247706 33.02752294] ; [17.02752294 11.97247706],0
p8,1,0.036503,4.373429,[29 48] ; [18 12],[33.82242991 43.17757009] ; [13.17757009 16.82242991],0
d3,1,0.037995,4.305255,[47 33] ; [24  6],[51.63636364 28.36363636] ; [19.36363636 10.63636364],0
b4,1,0.048514,3.892097,[42 38] ; [22  8],[46.54545455 33.45454545] ; [17.45454545 12.54545455],0
r4,1,0.055173,3.676852,[62 18] ; [28  2],[65.45454545 14.54545455] ; [24.54545455  5.45454545],0
u2,1,0.064989,3.405253,[16 16] ; [9 2],[18.60465116 13.39534884] ; [6.39534884 4.60465116],0
d5,1,0.103178,2.655714,[51 29] ; [24  6],[54.54545455 25.45454545] ; [20.45454545  9.54545455],0
v1,1,0.112905,2.513077,[31 47] ; [17 13],[34.66666667 43.33333333] ; [13.33333333 16.66666667],0
r1,1,0.117854,2.445606,[54 25] ; [25  5],[57.25688073 21.74311927] ; [21.74311927  8.25688073],0
n1,1,0.12011,2.415883,[ 9 16] ; [ 2 13],[ 6.875 18.125] ; [ 4.125 10.875],0
a5,1,0.123849,2.367952,[43 37] ; [21  9],[46.54545455 33.45454545] ; [17.45454545 12.54545455],0
d1,1,0.128743,2.307597,[35 45] ; [18 12],[38.54545455 41.45454545] ; [14.45454545 15.54545455],0
d4,1,0.130641,2.28487,[61 18] ; [27  3],[63.77981651 15.22018349] ; [24.22018349  5.77981651],0
s4,1,0.16134,1.961619,[30 50] ; [ 7 23],[26.90909091 53.09090909] ; [10.09090909 19.90909091],0
s5,1,0.165582,1.922495,[28 48] ; [15 14],[31.12380952 44.87619048] ; [11.87619048 17.12380952],0
p2,1,0.239664,1.382567,[58 22] ; [25  5],[60.36363636 19.63636364] ; [22.63636364  7.36363636],0
v4,1,0.249767,1.324608,[71  8] ; [29  1],[72.47706422  6.52293578] ; [27.52293578  2.47706422],0
p6,1,0.250553,1.320218,[21 56] ; [ 5 25],[18.71028037 58.28971963] ; [ 7.28971963 22.71028037],0
a6,1,0.29239,1.108585,[53 27] ; [23  7],[55.27272727 24.72727273] ; [20.72727273  9.27272727],0
p5,1,0.305122,1.051674,[ 2 77] ; [ 2 28],[ 2.89908257 76.10091743] ; [ 1.10091743 28.89908257],0
u3,1,0.305507,1.05,[20 12] ; [8 2],[21.33333333 10.66666667] ; [6.66666667 3.33333333],0
