Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,290.367955,[290  35] ; [ 74 250],[182.28043143 142.71956857] ; [181.71956857 142.28043143],1
s6,1,0.0,127.983637,[283  41] ; [148 178],[214.83692308 109.16307692] ; [216.16307692 109.83692308],1
s7,1,0.0,124.0888,[217  94] ; [ 79 234],[147.52564103 163.47435897] ; [148.47435897 164.52564103],1
s8,1,0.0,82.013529,[196 130] ; [ 82 245],[138.78713629 187.21286371] ; [139.21286371 187.78713629],1
s5,1,0.0,50.002316,[138 178] ; [ 58 266],[ 96.775 219.225] ; [ 99.225 224.775],1
s4,1,2e-06,22.823098,[ 75 246] ; [ 31 296],[ 52.50925926 268.49074074] ; [ 53.49074074 273.50925926],1
u1,1,0.000109,14.974493,[ 84 243] ; [ 45 284],[ 64.30335366 262.69664634] ; [ 64.69664634 264.30335366],1
p9,1,0.000149,14.385817,[279  42] ; [246  81],[260.06944444  60.93055556] ; [264.93055556  62.06944444],1
p10,1,0.000435,12.374578,[274  50] ; [239  87],[255.71076923  68.28923077] ; [257.28923077  68.71076923],1
p6,1,0.000494,12.136536,[127 196] ; [ 86 239],[106.1712963 216.8287037] ; [106.8287037 218.1712963],1
d2,1,0.0005,12.1169,[180 145] ; [137 191],[157.77182236 167.22817764] ; [159.22817764 168.77182236],1
n5,1,0.001428,10.169419,[252  72] ; [217 109],[233.77846154  90.22153846] ; [235.22153846  90.77846154],0
d1,1,0.002273,9.314939,[217 110] ; [180 149],[197.89481707 129.10518293] ; [199.10518293 129.89481707],0
p12,1,0.004003,8.282263,[ 27 298] ; [ 10 315],[ 18.5 306.5] ; [ 18.5 306.5],0
a2,1,0.005056,7.859219,[101 226] ; [ 70 259],[ 85.23932927 241.76067073] ; [ 85.76067073 243.23932927],0
p4,1,0.007332,7.189713,[199 127] ; [165 161],[182. 144.] ; [182. 144.],0
