Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1.2e-05,19.216742,[ 5 44] ; [5 1],[ 8.90909091 40.09090909] ; [1.09090909 4.90909091],1
s7,1,0.00323,8.672514,[ 9 37] ; [4 1],[11.7254902 34.2745098] ; [1.2745098 3.7254902],0
p6,1,0.004174,8.206687,[ 4 44] ; [3 3],[ 6.22222222 41.77777778] ; [0.77777778 5.22222222],0
s6,1,0.005494,7.709167,[11 39] ; [4 1],[13.63636364 36.36363636] ; [1.36363636 3.63636364],0
p7,1,0.007631,7.118044,[ 9 41] ; [4 2],[11.60714286 38.39285714] ; [1.39285714 4.60714286],0
p10,1,0.021705,5.269274,[17 32] ; [5 1],[19.6 29.4] ; [2.4 3.6],0
s2,1,0.071068,3.258182,[ 9 41] ; [3 3],[10.71428571 39.28571429] ; [1.28571429 4.71428571],0
v2,1,0.0796,3.07306,[15 34] ; [4 2],[16.92727273 32.07272727] ; [2.07272727 3.92727273],0
r4,1,0.100045,2.70483,[10 40] ; [3 3],[11.60714286 38.39285714] ; [1.39285714 4.60714286],0
u3,1,0.116025,2.470175,[ 2 18] ; [1 1],[ 2.72727273 17.27272727] ; [0.27272727 1.72727273],0
p11,1,0.146126,2.112228,[18 32] ; [4 2],[19.64285714 30.35714286] ; [2.35714286 3.64285714],0
a2,1,0.158225,1.991111,[ 6 44] ; [2 4],[ 7.14285714 42.85714286] ; [0.85714286 5.14285714],0
a8,1,0.166681,1.912542,[ 6 43] ; [2 4],[ 7.12727273 41.87272727] ; [0.87272727 5.12727273],0
v1,1,0.185396,1.753827,[12 37] ; [3 3],[13.36363636 35.63636364] ; [1.63636364 4.36363636],0
a7,1,0.212317,1.555556,[20 30] ; [4 2],[21.42857143 28.57142857] ; [2.57142857 3.42857143],0
p9,1,0.245278,1.35,[20 28] ; [4 2],[21.33333333 26.66666667] ; [2.66666667 3.33333333],0
d5,1,0.302776,1.061926,[31 19] ; [5 1],[32.14285714 17.85714286] ; [3.85714286 2.14285714],0
u1,1,0.337744,0.918974,[ 3 47] ; [1 5],[ 3.57142857 46.42857143] ; [0.42857143 5.57142857],0
b4,1,0.344601,0.893239,[32 18] ; [5 1],[33.03571429 16.96428571] ; [3.96428571 2.03571429],0
s3,1,0.398987,0.711377,[16 33] ; [3 3],[16.92727273 32.07272727] ; [2.07272727 3.92727273],0
b2,1,0.427392,0.629899,[13 21] ; [1 4],[12.20512821 21.79487179] ; [1.79487179 3.20512821],0
b3,1,0.427392,0.629899,[13 21] ; [1 4],[12.20512821 21.79487179] ; [1.79487179 3.20512821],0
b5,1,0.440109,0.595998,[25 25] ; [4 2],[25.89285714 24.10714286] ; [3.10714286 2.89285714],0
p3,1,0.45199,0.565657,[10 40] ; [2 4],[10.71428571 39.28571429] ; [1.28571429 4.71428571],0
p2,1,0.461944,0.541181,[17 32] ; [3 3],[17.81818182 31.18181818] ; [2.18181818 3.81818182],0
d2,1,0.468716,0.525,[24 25] ; [2 4],[23.16363636 25.83636364] ; [2.83636364 3.16363636],0
d3,1,0.496078,0.463316,[24 26] ; [2 4],[23.21428571 26.78571429] ; [2.78571429 3.21428571],0
r1,1,0.503286,0.448,[18 32] ; [3 3],[18.75 31.25] ; [2.25 3.75],0
a5,1,0.55536,0.347802,[27 23] ; [4 2],[27.67857143 22.32142857] ; [3.32142857 2.67857143],0
a4,1,0.5963,0.280612,[19 30] ; [3 3],[19.6 29.4] ; [2.4 3.6],0
r2,1,0.597411,0.278919,[26 21] ; [4 2],[26.60377358 20.39622642] ; [3.39622642 2.60377358],0
p4,1,0.617859,0.248889,[12 38] ; [2 4],[12.5 37.5] ; [1.5 4.5],0
d1,1,0.617859,0.248889,[22 28] ; [2 4],[21.42857143 28.57142857] ; [2.57142857 3.42857143],0
b1,1,0.752044,0.099822,[30 20] ; [4 2],[30.35714286 19.64285714] ; [3.64285714 2.35714286],0
a3,1,0.795645,0.067074,[30 19] ; [4 2],[30.29090909 18.70909091] ; [3.70909091 2.29090909],0
a6,1,0.852729,0.034462,[23 27] ; [3 3],[23.21428571 26.78571429] ; [2.78571429 3.21428571],0
p1,1,0.859993,0.031111,[ 7 43] ; [1 5],[ 7.14285714 42.85714286] ; [0.85714286 5.14285714],0
d4,1,0.947315,0.004366,[34 16] ; [4 2],[33.92857143 16.07142857] ; [4.07142857 1.92857143],0
