Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,7e-06,20.24642,[99  9] ; [27 17],[89.52631579 18.47368421] ; [36.47368421  7.52631579],1
r4,1,0.00014,14.504682,[85 23] ; [22 24],[75.03896104 32.96103896] ; [31.96103896 14.03896104],1
r3,1,0.000546,11.950821,[95 12] ; [30 16],[87.41830065 19.58169935] ; [37.58169935  8.41830065],1
p11,1,0.000653,11.617338,[82 26] ; [22 24],[72.93506494 35.06493506] ; [31.06493506 14.93506494],1
n4,1,0.002767,8.954969,[74 33] ; [20 26],[65.73856209 41.26143791] ; [28.26143791 17.73856209],0
s8,1,0.007101,7.247306,[34 74] ; [ 5 41],[27.35064935 80.64935065] ; [11.64935065 34.35064935],0
p4,1,0.007833,7.071258,[51 56] ; [11 34],[43.64473684 63.35526316] ; [18.35526316 26.64473684],0
p2,1,0.011366,6.407184,[79 29] ; [24 22],[72.23376623 35.76623377] ; [30.76623377 15.23376623],0
r2,1,0.013267,6.13319,[93 15] ; [31 14],[87.52941176 20.47058824] ; [36.47058824  8.52941176],0
p10,1,0.014539,5.971532,[74 32] ; [22 23],[67.39072848 38.60927152] ; [28.60927152 16.39072848],0
s7,1,0.015328,5.878402,[38 66] ; [ 7 36],[31.83673469 72.16326531] ; [13.16326531 29.83673469],0
v2,1,0.015331,5.878051,[46 57] ; [10 33],[39.50684932 63.49315068] ; [16.49315068 26.50684932],0
p8,1,0.032336,4.580591,[51 56] ; [13 32],[45.05263158 61.94736842] ; [18.94736842 26.05263158],0
p9,1,0.040256,4.207049,[77 29] ; [25 20],[71.60264901 34.39735099] ; [30.39735099 14.60264901],0
p3,1,0.042465,4.116572,[39 69] ; [ 9 37],[33.66233766 74.33766234] ; [14.33766234 31.66233766],0
a1,1,0.044556,4.035376,[  2 106] ; [ 4 42],[  4.20779221 103.79220779] ; [ 1.79220779 44.20779221],0
v1,1,0.049215,3.868003,[50 55] ; [14 32],[44.50331126 60.49668874] ; [19.49668874 26.50331126],0
s6,1,0.076705,3.13336,[49 58] ; [14 32],[44.05882353 62.94117647] ; [18.94117647 27.05882353],0
a4,1,0.081967,3.025459,[17 89] ; [13 33],[20.92105263 85.07894737] ; [ 9.07894737 36.92105263],0
p6,1,0.08419,2.982096,[30 76] ; [ 7 39],[25.80263158 80.19736842] ; [11.19736842 34.80263158],0
n5,1,0.084577,2.974678,[75 32] ; [25 20],[70.39473684 36.60526316] ; [29.60526316 15.39473684],0
r1,1,0.085351,2.959934,[70 38] ; [23 23],[65.22077922 42.77922078] ; [27.77922078 18.22077922],0
a7,1,0.090529,2.864939,[63 45] ; [20 26],[58.20779221 49.79220779] ; [24.79220779 21.20779221],0
b4,1,0.139113,2.187743,[61 47] ; [20 26],[56.80519481 51.19480519] ; [24.19480519 21.80519481],0
a6,1,0.180437,1.794025,[62 46] ; [21 25],[58.20779221 49.79220779] ; [24.79220779 21.20779221],0
b1,1,0.190969,1.710127,[44 64] ; [24 22],[47.68831169 60.31168831] ; [20.31168831 25.68831169],0
p7,1,0.243791,1.358536,[58 48] ; [19 24],[54.77852349 51.22147651] ; [22.22147651 20.77852349],0
a5,1,0.284612,1.144936,[50 58] ; [17 29],[46.98701299 61.01298701] ; [20.01298701 25.98701299],0
b5,1,0.288784,1.12528,[64 44] ; [23 23],[61.01298701 46.98701299] ; [25.98701299 20.01298701],0
n1,1,0.315373,1.008037,[ 9 18] ; [10 11],[10.6875 16.3125] ; [ 8.3125 12.6875],0
s3,1,0.328516,0.954739,[48 57] ; [25 21],[50.7615894 54.2384106] ; [22.2384106 23.7615894],0
s1,1,0.347356,0.883092,[  5 100] ; [ 4 42],[ 6.25827815 98.74172185] ; [ 2.74172185 43.25827815],0
d3,1,0.365727,0.818131,[46 62] ; [16 30],[43.48051948 64.51948052] ; [18.51948052 27.48051948],0
u1,1,0.372777,0.794385,[  2 106] ; [ 2 44],[  2.80519481 105.19480519] ; [ 1.19480519 44.80519481],0
v3,1,0.408133,0.684232,[33 73] ; [11 34],[30.88741722 75.11258278] ; [13.11258278 31.88741722],0
a8,1,0.461041,0.543367,[10 90] ; [ 6 36],[11.26760563 88.73239437] ; [ 4.73239437 37.26760563],0
a2,1,0.480666,0.497352,[  8 100] ; [ 2 44],[  7.01298701 100.98701299] ; [ 2.98701299 43.01298701],0
d4,1,0.503045,0.448506,[52 56] ; [19 26],[50.11764706 57.88235294] ; [20.88235294 24.11764706],0
b2,1,0.534941,0.384998,[24 42] ; [ 8 19],[22.70967742 43.29032258] ; [ 9.29032258 17.70967742],0
b3,1,0.534941,0.384998,[24 42] ; [ 8 19],[22.70967742 43.29032258] ; [ 9.29032258 17.70967742],0
s2,1,0.586523,0.295806,[35 72] ; [13 33],[33.56862745 73.43137255] ; [14.43137255 31.56862745],0
p1,1,0.65298,0.202163,[12 96] ; [ 4 42],[11.22077922 96.77922078] ; [ 4.77922078 41.22077922],0
n3,1,0.740625,0.109578,[17  9] ; [14  6],[17.52173913  8.47826087] ; [13.47826087  6.52173913],0
s4,1,0.747532,0.103616,[12 95] ; [ 6 40],[12.58823529 94.41176471] ; [ 5.41176471 40.58823529],0
d1,1,0.757245,0.095543,[  6 102] ; [ 2 44],[  5.61038961 102.38961039] ; [ 2.38961039 43.61038961],0
u3,1,0.80191,0.062939,[21 31] ; [10 13],[21.49333333 30.50666667] ; [ 9.50666667 13.49333333],0
u2,1,0.827472,0.0475,[23 28] ; [11 12],[23.43243243 27.56756757] ; [10.56756757 12.43243243],0
d2,1,0.848046,0.036715,[22 86] ; [10 36],[22.44155844 85.55844156] ; [ 9.55844156 36.44155844],0
n2,1,0.866596,0.028219,[20  7] ; [16  5],[20.25  6.75] ; [15.75  5.25],0
a3,1,0.973881,0.001072,[55 52] ; [23 22],[54.90789474 52.09210526] ; [23.09210526 21.90789474],0
