Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n1,1,0.043659,4.069698,[4 1] ; [ 9 19],[1.96969697 3.03030303] ; [11.03030303 16.96969697],0
d4,1,0.045254,4.009156,[1 6] ; [80 71],[3.58860759 3.41139241] ; [77.41139241 73.58860759],0
p10,1,0.075403,3.161308,[3 4] ; [109  39],[5.05806452 1.94193548] ; [106.94193548  41.05806452],0
d3,1,0.085915,2.949304,[1 6] ; [72 80],[3.21383648 3.78616352] ; [69.78616352 82.21383648],0
b1,1,0.089708,2.879597,[5 2] ; [60 93],[2.84375 4.15625] ; [62.15625 90.84375],0
p8,1,0.095846,2.773333,[5 1] ; [73 77],[3. 3.] ; [75. 75.],0
v2,1,0.124343,2.361745,[1 5] ; [71 75],[2.84210526 3.15789474] ; [69.15789474 76.84210526],0
b4,1,0.130274,2.289232,[6 1] ; [87 66],[4.06875 2.93125] ; [88.93125 64.06875],0
a1,1,0.133507,2.251244,[1 6] ; [  5 148],[0.2625 6.7375] ; [  5.7375 147.2625],0
s1,1,0.202723,1.622647,[1 6] ; [  6 142],[0.31612903 6.68387097] ; [  6.68387097 141.31612903],0
p5,1,0.256265,1.288825,[2 5] ; [ 20 130],[0.98089172 6.01910828] ; [ 21.01910828 128.98089172],0
s3,1,0.377403,0.779143,[2 3] ; [89 60],[2.95454545 2.04545455] ; [88.04545455 60.95454545],0
a5,1,0.381352,0.766338,[5 2] ; [83 69],[3.87421384 3.12578616] ; [84.12578616 67.87421384],0
s8,1,0.384077,0.757611,[3 3] ; [ 50 102],[2.01265823 3.98734177] ; [ 50.98734177 101.01265823],0
p2,1,0.388649,0.743165,[4 3] ; [109  42],[5.00632911 1.99367089] ; [107.99367089  43.00632911],0
u2,1,0.411064,0.675722,[1 2] ; [43 32],[1.69230769 1.30769231] ; [42.30769231 32.69230769],0
p7,1,0.412848,0.670585,[3 4] ; [86 61],[4.04545455 2.95454545] ; [84.95454545 62.04545455],0
s5,1,0.431669,0.618329,[3 4] ; [ 42 103],[2.07236842 4.92763158] ; [ 42.92763158 102.07236842],0
a3,1,0.44161,0.592096,[4 2] ; [77 75],[3.07594937 2.92405063] ; [77.92405063 74.07594937],0
p9,1,0.456292,0.554974,[4 2] ; [119  31],[4.73076923 1.26923077] ; [118.26923077  31.73076923],0
d2,1,0.524909,0.404238,[1 6] ; [ 38 115],[1.70625 5.29375] ; [ 37.29375 115.70625],0
v3,1,0.530407,0.393612,[3 3] ; [56 94],[2.26923077 3.73076923] ; [56.73076923 93.26923077],0
v1,1,0.552586,0.352705,[4 3] ; [69 82],[3.23417722 3.76582278] ; [69.76582278 81.23417722],0
p11,1,0.562069,0.336134,[5 2] ; [123  30],[5.6 1.4] ; [122.4  30.6],0
b2,1,0.57725,0.310701,[2 2] ; [33 58],[1.47368421 2.52631579] ; [33.52631579 57.47368421],0
b3,1,0.57725,0.310701,[2 2] ; [33 58],[1.47368421 2.52631579] ; [33.52631579 57.47368421],0
s7,1,0.66067,0.192711,[2 4] ; [61 83],[2.52 3.48] ; [60.48 83.52],0
p12,1,0.663068,0.189818,[1 6] ; [ 14 136],[0.66878981 6.33121019] ; [ 14.33121019 135.66878981],0
a6,1,0.665271,0.187184,[4 3] ; [99 53],[4.53459119 2.46540881] ; [98.46540881 53.53459119],0
r1,1,0.699116,0.149393,[6 1] ; [122  31],[5.6 1.4] ; [122.4  30.6],0
a7,1,0.706428,0.141871,[5 2] ; [98 54],[4.53459119 2.46540881] ; [98.46540881 53.53459119],0
p6,1,0.757453,0.095374,[2 5] ; [51 98],[2.37820513 4.62179487] ; [50.62179487 98.37820513],0
s6,1,0.758133,0.094823,[4 2] ; [90 59],[3.63870968 2.36129032] ; [90.36129032 58.63870968],0
p4,1,0.764472,0.089768,[3 4] ; [72 76],[3.38709677 3.61290323] ; [71.61290323 76.38709677],0
n2,1,0.881208,0.022332,[4 1] ; [24  5],[4.11764706 0.88235294] ; [23.88235294  5.11764706],0
s2,1,0.91268,0.012025,[3 4] ; [67 82],[3.14102564 3.85897436] ; [66.85897436 82.14102564],0
p1,1,0.936803,0.006287,[1 6] ; [ 20 131],[0.93037975 6.06962025] ; [ 20.06962025 130.93037975],0
p3,1,0.952522,0.003545,[3 4] ; [63 88],[2.92405063 4.07594937] ; [63.07594937 87.92405063],0
b5,1,0.957045,0.002901,[4 3] ; [89 64],[4.06875 2.93125] ; [88.93125 64.06875],0
n3,1,1.0,0.0,[3 1] ; [21  7],[3. 1.] ; [21.  7.],0
