Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.03265,4.564043,[3 5] ; [ 2 25],[1.14285714 6.85714286] ; [ 3.85714286 23.14285714],0
d2,1,0.044449,4.039416,[7 2] ; [11 17],[4.37837838 4.62162162] ; [13.62162162 14.37837838],0
p5,1,0.048031,3.908891,[2 6] ; [ 1 28],[0.64864865 7.35135135] ; [ 2.35135135 26.64864865],0
s8,1,0.068058,3.329246,[2 7] ; [ 1 28],[0.71052632 8.28947368] ; [ 2.28947368 26.71052632],0
b3,1,0.094714,2.792367,[1 6] ; [11 11],[2.89655172 4.10344828] ; [ 9.10344828 12.89655172],0
b2,1,0.094714,2.792367,[1 6] ; [11 11],[2.89655172 4.10344828] ; [ 9.10344828 12.89655172],0
n1,1,0.095437,2.780183,[5 1] ; [6 8],[3.3 2.7] ; [7.7 6.3],0
p3,1,0.098486,2.729885,[3 6] ; [ 3 26],[1.42105263 7.57894737] ; [ 4.57894737 24.42105263],0
s1,1,0.098486,2.729885,[3 6] ; [ 3 26],[1.42105263 7.57894737] ; [ 4.57894737 24.42105263],0
a4,1,0.102992,2.658588,[6 3] ; [10 18],[3.89189189 5.10810811] ; [12.10810811 15.89189189],0
b1,1,0.166678,1.912574,[7 2] ; [15 14],[5.21052632 3.78947368] ; [16.78947368 12.21052632],0
a5,1,0.166678,1.912574,[7 2] ; [15 14],[5.21052632 3.78947368] ; [16.78947368 12.21052632],0
r1,1,0.182782,1.774859,[5 4] ; [ 9 20],[3.31578947 5.68421053] ; [10.68421053 18.31578947],0
s2,1,0.190614,1.712869,[2 7] ; [ 2 27],[0.94736842 8.05263158] ; [ 3.05263158 25.94736842],0
n6,1,0.198203,1.655568,[2 7] ; [13 15],[3.64864865 5.35135135] ; [11.35135135 16.64864865],0
d4,1,0.2255,1.469021,[7 2] ; [16 13],[5.44736842 3.55263158] ; [17.55263158 11.44736842],0
v3,1,0.235718,1.406021,[1 8] ; [ 9 20],[2.36842105 6.63157895] ; [ 7.63157895 21.36842105],0
n3,1,0.240575,1.377219,[3 3] ; [ 3 10],[1.89473684 4.10526316] ; [4.10526316 8.89473684],0
n5,1,0.309823,1.031429,[8 1] ; [21  8],[6.86842105 2.13157895] ; [22.13157895  6.86842105],0
s4,1,0.357126,0.847974,[2 7] ; [ 3 26],[1.18421053 7.81578947] ; [ 3.81578947 25.18421053],0
p9,1,0.385183,0.754095,[3 6] ; [ 5 21],[2.05714286 6.94285714] ; [ 5.94285714 20.05714286],0
a8,1,0.400814,0.705882,[1 8] ; [ 1 26],[0.5 8.5] ; [ 1.5 25.5],0
a3,1,0.451946,0.565767,[7 2] ; [18 10],[6.08108108 2.91891892] ; [18.91891892  9.08108108],0
b4,1,0.45494,0.558314,[4 5] ; [17 12],[4.97368421 4.02631579] ; [16.02631579 12.97368421],0
d1,1,0.45494,0.558314,[5 4] ; [12 17],[4.02631579 4.97368421] ; [12.97368421 16.02631579],0
p10,1,0.468981,0.524376,[3 6] ; [ 6 22],[2.18918919 6.81081081] ; [ 6.81081081 21.18918919],0
p7,1,0.473289,0.514286,[2 6] ; [ 4 24],[1.33333333 6.66666667] ; [ 4.66666667 23.33333333],0
n4,1,0.489399,0.477847,[7 2] ; [19 10],[6.15789474 2.84210526] ; [19.84210526  9.15789474],0
v4,1,0.541777,0.372257,[3 6] ; [13 16],[3.78947368 5.21052632] ; [12.21052632 16.78947368],0
p1,1,0.544634,0.367018,[2 7] ; [ 4 25],[1.42105263 7.57894737] ; [ 4.57894737 24.42105263],0
d3,1,0.573373,0.317071,[5 4] ; [13 16],[4.26315789 4.73684211] ; [13.73684211 15.26315789],0
a7,1,0.573373,0.317071,[5 4] ; [13 16],[4.26315789 4.73684211] ; [13.73684211 15.26315789],0
p8,1,0.600556,0.274158,[1 7] ; [ 6 23],[1.51351351 6.48648649] ; [ 5.48648649 23.51351351],0
a2,1,0.659505,0.194125,[1 8] ; [ 5 24],[1.42105263 7.57894737] ; [ 4.57894737 24.42105263],0
d5,1,0.666177,0.186107,[6 3] ; [17 12],[5.44736842 3.55263158] ; [17.55263158 11.44736842],0
b5,1,0.666177,0.186107,[3 6] ; [12 17],[3.55263158 5.44736842] ; [11.44736842 17.55263158],0
s5,1,0.682093,0.16778,[1 8] ; [ 2 27],[0.71052632 8.28947368] ; [ 2.28947368 26.71052632],0
s6,1,0.736319,0.113389,[2 7] ; [ 5 24],[1.65789474 7.34210526] ; [ 5.34210526 23.65789474],0
n2,1,0.768571,0.08658,[3 3] ; [6 8],[2.7 3.3] ; [6.3 7.7],0
p4,1,0.808514,0.05873,[1 8] ; [ 4 24],[1.21621622 7.78378378] ; [ 3.78378378 24.21621622],0
p11,1,0.83528,0.043237,[1 8] ; [ 4 25],[1.18421053 7.81578947] ; [ 3.81578947 25.18421053],0
v1,1,0.921519,0.009706,[2 7] ; [ 6 23],[1.89473684 7.10526316] ; [ 6.10526316 22.89473684],0
a1,1,0.921519,0.009706,[2 7] ; [ 6 23],[1.89473684 7.10526316] ; [ 6.10526316 22.89473684],0
a6,1,0.983888,0.000408,[5 4] ; [16 13],[4.97368421 4.02631579] ; [16.02631579 12.97368421],0
r2,1,1.0,0.0,[6 3] ; [18  9],[6. 3.] ; [18.  9.],0
