Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.133614,2.25,[5 1] ; [1 2],[4. 2.] ; [2. 1.],0
d2,1,0.133614,2.25,[5 1] ; [1 2],[4. 2.] ; [2. 1.],0
d3,1,0.133614,2.25,[5 1] ; [1 2],[4. 2.] ; [2. 1.],0
d4,1,0.133614,2.25,[5 1] ; [1 2],[4. 2.] ; [2. 1.],0
v2,1,0.133614,2.25,[1 5] ; [2 1],[2. 4.] ; [1. 2.],0
v3,1,0.133614,2.25,[1 5] ; [2 1],[2. 4.] ; [1. 2.],0
p3,1,0.342782,0.9,[4 2] ; [1 2],[3.33333333 2.66666667] ; [1.66666667 1.33333333],0
a4,1,0.342782,0.9,[4 2] ; [1 2],[3.33333333 2.66666667] ; [1.66666667 1.33333333],0
n1,1,0.427355,0.63,[4 1] ; [1 1],[3.57142857 1.42857143] ; [1.42857143 0.57142857],0
p7,1,0.465209,0.533333,[2 3] ; [2 1],[2.5 2.5] ; [1.5 1.5],0
s6,1,0.465209,0.533333,[3 2] ; [1 2],[2.5 2.5] ; [1.5 1.5],0
b4,1,0.57075,0.321429,[5 1] ; [2 1],[4.66666667 1.33333333] ; [2.33333333 0.66666667],0
r1,1,0.57075,0.321429,[5 1] ; [2 1],[4.66666667 1.33333333] ; [2.33333333 0.66666667],0
s2,1,0.57075,0.321429,[1 5] ; [1 2],[1.33333333 4.66666667] ; [0.66666667 2.33333333],0
s1,1,0.57075,0.321429,[1 5] ; [1 2],[1.33333333 4.66666667] ; [0.66666667 2.33333333],0
r2,1,0.57075,0.321429,[5 1] ; [2 1],[4.66666667 1.33333333] ; [2.33333333 0.66666667],0
u1,1,0.57075,0.321429,[1 5] ; [1 2],[1.33333333 4.66666667] ; [0.66666667 2.33333333],0
d5,1,0.57075,0.321429,[5 1] ; [2 1],[4.66666667 1.33333333] ; [2.33333333 0.66666667],0
a7,1,0.57075,0.321429,[5 1] ; [2 1],[4.66666667 1.33333333] ; [2.33333333 0.66666667],0
a6,1,0.57075,0.321429,[5 1] ; [2 1],[4.66666667 1.33333333] ; [2.33333333 0.66666667],0
p12,1,0.57075,0.321429,[1 5] ; [1 2],[1.33333333 4.66666667] ; [0.66666667 2.33333333],0
s5,1,0.635256,0.225,[3 3] ; [1 2],[2.66666667 3.33333333] ; [1.33333333 1.66666667],0
p2,1,0.635256,0.225,[3 3] ; [2 1],[3.33333333 2.66666667] ; [1.66666667 1.33333333],0
p4,1,0.635256,0.225,[3 3] ; [2 1],[3.33333333 2.66666667] ; [1.66666667 1.33333333],0
n6,1,0.67329,0.177778,[4 1] ; [2 1],[3.75 1.25] ; [2.25 0.75],0
n3,1,0.80915,0.058333,[2 3] ; [1 1],[2.14285714 2.85714286] ; [0.85714286 1.14285714],0
s7,1,0.850436,0.035556,[3 2] ; [2 1],[3.125 1.875] ; [1.875 1.125],0
b5,1,1.0,0.0,[4 2] ; [2 1],[4. 2.] ; [2. 1.],0
r4,1,1.0,0.0,[2 4] ; [1 2],[2. 4.] ; [1. 2.],0
p1,1,1.0,0.0,[2 4] ; [1 2],[2. 4.] ; [1. 2.],0
a3,1,1.0,0.0,[4 2] ; [2 1],[4. 2.] ; [2. 1.],0
a2,1,1.0,0.0,[2 4] ; [1 2],[2. 4.] ; [1. 2.],0
