Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,146.331145,[236  97] ; [ 15 128],[175.59453782 157.40546218] ; [75.40546218 67.59453782],1
d5,1,0.0,102.49696,[326   7] ; [93 50],[293.12394958  39.87605042] ; [125.87605042  17.12394958],1
d3,1,0.0,97.81106,[300  33] ; [70 73],[258.84453782  74.15546218] ; [111.15546218  31.84453782],1
a5,1,0.0,48.409478,[289  44] ; [83 60],[260.24369748  72.75630252] ; [111.75630252  31.24369748],1
a2,1,0.0,41.833484,[119 214] ; [ 10 133],[ 90.24579832 242.75420168] ; [ 38.75420168 104.24579832],1
a4,1,0.0,39.676533,[188 144] ; [ 36 107],[156.56421053 175.43578947] ; [67.43578947 75.56421053],1
u1,1,0.0,30.790302,[ 91 242] ; [  7 136],[ 68.55882353 264.44117647] ; [ 29.44117647 113.55882353],1
r2,1,7e-06,20.117194,[320   7] ; [123  17],[310.19486081  16.80513919] ; [132.80513919   7.19486081],1
a6,1,1e-05,19.495659,[249  83] ; [78 65],[228.55578947 103.44421053] ; [98.44421053 44.55578947],1
r4,1,4.8e-05,16.519147,[318  15] ; [121  22],[307.11554622  25.88445378] ; [131.88445378  11.11554622],1
a3,1,6.5e-05,15.960182,[276  55] ; [95 47],[259.62156448  71.37843552] ; [111.37843552  30.62156448],1
n4,1,8.9e-05,15.36532,[280  52] ; [98 45],[264.20210526  67.79789474] ; [113.79789474  29.20210526],1
p4,1,0.000314,12.985964,[249  82] ; [84 59],[232.53797468  98.46202532] ; [100.46202532  42.53797468],1
p10,1,0.001063,10.713855,[298  33] ; [112  30],[286.91331924  44.08668076] ; [123.08668076  18.91331924],0
r1,1,0.001908,9.636296,[289  41] ; [109  34],[277.6744186  52.3255814] ; [120.3255814  22.6744186],0
v4,1,0.003232,8.671844,[323   7] ; [130  11],[317.38853503  12.61146497] ; [135.61146497   5.38853503],0
s8,1,0.003286,8.641336,[177 154] ; [55 87],[162.35095137 168.64904863] ; [69.64904863 72.35095137],0
p9,1,0.007899,7.056298,[301  30] ; [117  25],[292.51162791  38.48837209] ; [125.48837209  16.51162791],0
a7,1,0.009967,6.640714,[254  79] ; [92 50],[242.56421053  90.43578947] ; [103.43578947  38.56421053],0
p1,1,0.028017,4.82701,[ 31 300] ; [  5 137],[ 25.19238901 305.80761099] ; [ 10.80761099 131.19238901],0
v3,1,0.038608,4.278051,[148 170] ; [51 90],[137.86928105 180.13071895] ; [61.13071895 79.86928105],0
v2,1,0.044453,4.039286,[208 114] ; [76 63],[198.36876356 123.63123644] ; [85.63123644 53.36876356],0
p3,1,0.048559,3.890538,[213 119] ; [78 65],[203.39368421 128.60631579] ; [87.60631579 55.39368421],0
p8,1,0.049331,3.86404,[232  96] ; [88 55],[222.84501062 105.15498938] ; [97.15498938 45.84501062],0
p11,1,0.09217,2.836061,[284  49] ; [113  30],[277.73319328  55.26680672] ; [119.26680672  23.73319328],0
r3,1,0.099063,2.720558,[323   7] ; [135   7],[320.21186441   9.78813559] ; [137.78813559   4.21186441],0
n5,1,0.114014,2.497684,[260  71] ; [102  40],[253.32346723  77.67653277] ; [108.67653277  33.32346723],0
b1,1,0.123992,2.366151,[124 209] ; [64 79],[131.5210084 201.4789916] ; [56.4789916 86.5210084],0
u4,1,0.161264,1.962336,[  9 323] ; [  1 142],[  6.98947368 325.01052632] ; [  3.01052632 139.98947368],0
p6,1,0.188994,1.72544,[167 161] ; [62 78],[160.4957265 167.5042735] ; [68.5042735 71.4957265],0
n6,1,0.19061,1.7129,[290  39] ; [118  23],[285.6  43.4] ; [122.4  18.6],0
s5,1,0.20003,1.642156,[134 188] ; [49 90],[127.82212581 194.17787419] ; [55.17787419 83.82212581],0
v1,1,0.20061,1.63793,[200 126] ; [77 63],[193.78111588 132.21888412] ; [83.21888412 56.78111588],0
n1,1,0.215036,1.537195,[13 38] ; [14 23],[15.64772727 35.35227273] ; [11.35227273 25.64772727],0
b4,1,0.224015,1.478464,[197 136] ; [76 67],[190.98529412 142.01470588] ; [82.01470588 60.98529412],0
n2,1,0.232999,1.422461,[38 14] ; [31  6],[40.31460674 11.68539326] ; [28.68539326  8.31460674],0
s4,1,0.264992,1.242491,[ 60 268] ; [ 20 122],[ 55.82978723 272.17021277] ; [ 24.17021277 117.82978723],0
p12,1,0.309731,1.031822,[ 30 300] ; [  9 134],[ 27.20930233 302.79069767] ; [ 11.79069767 131.20930233],0
b5,1,0.449295,0.57243,[201 132] ; [81 62],[197.28151261 135.71848739] ; [84.71848739 58.28151261],0
u2,1,0.455889,0.555969,[34 22] ; [24 21],[32.15841584 23.84158416] ; [25.84158416 19.15841584],0
s7,1,0.471721,0.517942,[177 144] ; [70 66],[173.49452954 147.50547046] ; [73.50547046 62.49452954],0
p2,1,0.486109,0.485128,[302  28] ; [128  15],[300.  30.] ; [130.  13.],0
s2,1,0.524221,0.405581,[183 146] ; [75 68],[179.83474576 149.16525424] ; [78.16525424 64.83474576],0
s1,1,0.650291,0.205534,[  9 321] ; [  5 138],[  9.76744186 320.23255814] ; [  4.23255814 138.76744186],0
b2,1,0.653071,0.20205,[ 88 127] ; [32 52],[ 86.28762542 128.71237458] ; [33.71237458 50.28762542],0
b3,1,0.653071,0.20205,[ 88 127] ; [32 52],[ 86.28762542 128.71237458] ; [33.71237458 50.28762542],0
n3,1,0.670288,0.181265,[40 12] ; [27 10],[39.14606742 12.85393258] ; [27.85393258  9.14606742],0
s6,1,0.728869,0.120153,[231  94] ; [101  38],[232.54310345  92.45689655] ; [99.45689655 39.54310345],0
u3,1,0.748993,0.102379,[34 23] ; [26 20],[33.2038835 23.7961165] ; [26.7961165 19.2038835],0
a1,1,0.780739,0.077482,[ 21 312] ; [ 10 133],[ 21.68697479 311.31302521] ; [  9.31302521 133.68697479],0
a8,1,0.807044,0.059654,[ 50 245] ; [ 24 110],[ 50.88578089 244.11421911] ; [ 23.11421911 110.88578089],0
