Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.002595,9.072663,[10  3] ; [ 3 12],[6.03571429 6.96428571] ; [6.96428571 8.03571429],0
v2,1,0.008657,6.892308,[9 4] ; [ 3 12],[5.57142857 7.42857143] ; [6.42857143 8.57142857],0
p7,1,0.009908,6.651312,[ 1 12] ; [8 7],[4.17857143 8.82142857] ; [ 4.82142857 10.17857143],0
a3,1,0.022801,5.18359,[12  1] ; [8 7],[9.28571429 3.71428571] ; [10.71428571  4.28571429],0
s7,1,0.032189,4.588426,[6 5] ; [ 2 12],[3.52 7.48] ; [4.48 9.52],0
r2,1,0.032981,4.546777,[9 2] ; [6 9],[6.34615385 4.65384615] ; [8.65384615 6.34615385],0
d3,1,0.048954,3.876923,[10  3] ; [6 9],[7.42857143 5.57142857] ; [8.57142857 6.42857143],0
s5,1,0.076309,3.141818,[4 8] ; [ 1 14],[2.22222222 9.77777778] ; [ 2.77777778 12.22222222],0
s4,1,0.096759,2.758172,[4 9] ; [ 1 14],[ 2.32142857 10.67857143] ; [ 2.67857143 12.32142857],0
p2,1,0.102069,2.672919,[ 3 10] ; [8 7],[5.10714286 7.89285714] ; [5.89285714 9.10714286],0
b1,1,0.121924,2.392426,[9 4] ; [6 9],[6.96428571 6.03571429] ; [8.03571429 6.96428571],0
a5,1,0.228871,1.447863,[9 4] ; [7 8],[7.42857143 5.57142857] ; [8.57142857 6.42857143],0
p11,1,0.274006,1.196581,[7 6] ; [ 5 10],[5.57142857 7.42857143] ; [6.42857143 8.57142857],0
n4,1,0.28315,1.151909,[6 7] ; [ 4 11],[4.64285714 8.35714286] ; [5.35714286 9.64285714],0
r3,1,0.338939,0.91444,[10  3] ; [9 6],[8.82142857 4.17857143] ; [10.17857143  4.82142857],0
b2,1,0.462527,0.539773,[6 5] ; [3 5],[5.21052632 5.78947368] ; [3.78947368 4.21052632],0
b3,1,0.462527,0.539773,[6 5] ; [3 5],[5.21052632 5.78947368] ; [3.78947368 4.21052632],0
a7,1,0.46376,0.536805,[6 7] ; [9 6],[6.96428571 6.03571429] ; [8.03571429 6.96428571],0
r1,1,0.46376,0.536805,[6 7] ; [9 6],[6.96428571 6.03571429] ; [8.03571429 6.96428571],0
s2,1,0.468084,0.526496,[ 2 11] ; [ 4 11],[ 2.78571429 10.21428571] ; [ 3.21428571 11.78571429],0
p9,1,0.483522,0.490909,[4 8] ; [7 8],[4.88888889 7.11111111] ; [6.11111111 8.88888889],0
b4,1,0.5051,0.444205,[8 5] ; [11  4],[8.82142857 4.17857143] ; [10.17857143  4.82142857],0
p10,1,0.549076,0.358974,[ 3 10] ; [ 5 10],[3.71428571 9.28571429] ; [ 4.28571429 10.71428571],0
p4,1,0.549076,0.358974,[ 3 10] ; [ 5 10],[3.71428571 9.28571429] ; [ 4.28571429 10.71428571],0
s1,1,0.630297,0.231658,[ 1 12] ; [ 2 13],[ 1.39285714 11.60714286] ; [ 1.60714286 13.39285714],0
v1,1,0.63749,0.222039,[3 9] ; [ 5 10],[3.55555556 8.44444444] ; [ 4.44444444 10.55555556],0
b5,1,0.704738,0.14359,[7 6] ; [7 8],[6.5 6.5] ; [7.5 7.5],0
s6,1,0.777607,0.079772,[5 8] ; [ 5 10],[4.64285714 8.35714286] ; [5.35714286 9.64285714],0
r4,1,0.777607,0.079772,[5 8] ; [ 5 10],[4.64285714 8.35714286] ; [5.35714286 9.64285714],0
v3,1,0.824653,0.049091,[ 2 10] ; [ 3 12],[2.22222222 9.77777778] ; [ 2.77777778 12.22222222],0
p3,1,0.826824,0.047863,[ 3 10] ; [ 4 11],[3.25 9.75] ; [ 3.75 11.25],0
p6,1,0.877059,0.023932,[ 2 11] ; [ 2 13],[ 1.85714286 11.14285714] ; [ 2.14285714 12.85714286],0
s3,1,0.882577,0.021816,[5 8] ; [5 9],[4.81481481 8.18518519] ; [5.18518519 8.81481481],0
a6,1,0.884799,0.020993,[4 9] ; [ 5 10],[4.17857143 8.82142857] ; [ 4.82142857 10.17857143],0
n6,1,0.884799,0.020993,[4 9] ; [ 5 10],[4.17857143 8.82142857] ; [ 4.82142857 10.17857143],0
n3,1,0.898195,0.016369,[5 2] ; [3 1],[5.09090909 1.90909091] ; [2.90909091 1.09090909],0
p1,1,0.916299,0.011045,[ 1 12] ; [ 1 14],[ 0.92857143 12.07142857] ; [ 1.07142857 13.92857143],0
a8,1,0.95656,0.002967,[ 1 12] ; [ 1 13],[ 0.96296296 12.03703704] ; [ 1.03703704 12.96296296],0
n2,1,1.0,0.0,[4 4] ; [2 2],[4. 4.] ; [2. 2.],0
