Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-06,22.463652,[11 25] ; [62 19],[22.46153846 13.53846154] ; [50.53846154 30.46153846],1
n6,1,0.000158,14.271169,[21 15] ; [72  9],[28.61538462  7.38461538] ; [64.38461538 16.61538462],1
u3,1,0.003005,8.804688,[15  1] ; [15 15],[10.43478261  5.56521739] ; [19.56521739 10.43478261],0
p11,1,0.004376,8.120608,[18 18] ; [62 19],[24.61538462 11.38461538] ; [55.38461538 25.61538462],0
p8,1,0.006255,7.475311,[10 25] ; [45 35],[16.73913043 18.26086957] ; [38.26086957 41.73913043],0
p4,1,0.022981,5.169925,[15 21] ; [52 29],[20.61538462 15.38461538] ; [46.38461538 34.61538462],0
d3,1,0.058426,3.581509,[29  6] ; [53 28],[24.74137931 10.25862069] ; [57.25862069 23.74137931],0
p7,1,0.066691,3.362648,[16 19] ; [50 28],[20.44247788 14.55752212] ; [45.55752212 32.44247788],0
r2,1,0.078719,3.091157,[34  1] ; [69 11],[31.34782609  3.65217391] ; [71.65217391  8.34782609],0
p2,1,0.079188,3.081481,[24 12] ; [66 15],[27.69230769  8.30769231] ; [62.30769231 18.69230769],0
s2,1,0.091291,2.851468,[28  7] ; [52 29],[24.13793103 10.86206897] ; [55.86206897 25.13793103],0
p3,1,0.14631,2.110303,[13 23] ; [41 40],[16.61538462 19.38461538] ; [37.38461538 43.61538462],0
d1,1,0.156181,2.010819,[22 14] ; [38 43],[18.46153846 17.53846154] ; [41.53846154 39.46153846],0
d4,1,0.175074,1.83895,[30  6] ; [58 23],[27.07692308  8.92307692] ; [60.92307692 20.07692308],0
b5,1,0.179507,1.801697,[26 10] ; [48 33],[22.76923077 13.23076923] ; [51.23076923 29.76923077],0
n1,1,0.180503,1.793478,[5 5] ; [ 6 17],[3.33333333 6.66666667] ; [ 7.66666667 15.33333333],0
u2,1,0.20192,1.628429,[9 7] ; [11 19],[6.95652174 9.04347826] ; [13.04347826 16.95652174],0
p9,1,0.235107,1.409697,[26  9] ; [67 13],[28.30434783  6.69565217] ; [64.69565217 15.30434783],0
p1,1,0.267562,1.229202,[ 5 31] ; [ 6 75],[ 3.38461538 32.61538462] ; [ 7.61538462 73.38461538],0
n2,1,0.279044,1.171739,[6 4] ; [18  5],[7.27272727 2.72727273] ; [16.72727273  6.27272727],0
n3,1,0.279044,1.171739,[6 4] ; [18  5],[7.27272727 2.72727273] ; [16.72727273  6.27272727],0
d5,1,0.304193,1.055723,[29  6] ; [60 21],[26.85344828  8.14655172] ; [62.14655172 18.85344828],0
