Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,6.2e-05,16.041667,[186  66] ; [30 33],[172.8  79.2] ; [43.2 19.8],1
v4,1,0.000371,12.673457,[250   3] ; [57  6],[245.7943038   7.2056962] ; [61.2056962  1.7943038],1
p10,1,0.000448,12.320996,[224  28] ; [45 18],[215.2  36.8] ; [53.8  9.2],1
p4,1,0.000652,11.621518,[210  43] ; [40 23],[200.15822785  52.84177215] ; [49.84177215 13.15822785],1
p9,1,0.001246,10.421111,[235  18] ; [50 13],[228.18037975  24.81962025] ; [56.81962025  6.18037975],0
p2,1,0.003573,8.488957,[231  23] ; [49 14],[224.3533123  29.6466877] ; [55.6466877  7.3533123],0
n6,1,0.00776,7.088071,[232  20] ; [50 12],[226.31847134  25.68152866] ; [55.68152866  6.31847134],0
d2,1,0.016384,5.761208,[126 127] ; [42 21],[134.50632911 118.49367089] ; [33.49367089 29.50632911],0
p7,1,0.019012,5.500395,[216  34] ; [46 16],[209.93589744  40.06410256] ; [52.06410256  9.93589744],0
p12,1,0.021323,5.300179,[ 34 218] ; [ 2 61],[ 28.8 223.2] ; [ 7.2 55.8],0
n4,1,0.024675,5.04652,[219  35] ; [47 16],[213.13564669  40.86435331] ; [52.86435331 10.13564669],0
n5,1,0.030403,4.686379,[211  43] ; [44 18],[204.96835443  49.03164557] ; [50.03164557 11.96835443],0
v1,1,0.040683,4.189152,[162  88] ; [32 31],[154.95207668  95.04792332] ; [39.04792332 23.95207668],0
b5,1,0.064758,3.411138,[145 109] ; [44 19],[151.4384858 102.5615142] ; [37.5615142 25.4384858],0
b1,1,0.069573,3.293076,[101 153] ; [33 30],[107.36908517 146.63091483] ; [26.63091483 36.36908517],0
p5,1,0.076843,3.130448,[ 53 201] ; [ 7 56],[ 48.07570978 205.92429022] ; [11.92429022 51.07570978],0
s1,1,0.090689,2.862104,[  8 243] ; [ 5 58],[ 10.39171975 240.60828025] ; [ 2.60828025 60.39171975],0
r4,1,0.187269,1.738975,[241  13] ; [57  6],[238.77602524  15.22397476] ; [59.22397476  3.77602524],0
u1,1,0.189138,1.724319,[ 53 201] ; [18 45],[ 56.88958991 197.11041009] ; [14.11041009 48.88958991],0
v3,1,0.19556,1.675224,[108 140] ; [21 40],[103.53398058 144.46601942] ; [25.46601942 35.53398058],0
d4,1,0.247517,1.337264,[215  37] ; [50 13],[212.  40.] ; [53. 10.],0
s8,1,0.258953,1.274345,[146 106] ; [31 31],[142.05095541 109.94904459] ; [34.94904459 27.05095541],0
s7,1,0.272979,1.201716,[150  95] ; [40 18],[153.63036304  91.36963696] ; [36.36963696 21.63036304],0
n3,1,0.281443,1.160109,[33 14] ; [15  3],[34.70769231 12.29230769] ; [13.29230769  4.70769231],0
a2,1,0.291721,1.111661,[ 64 190] ; [20 43],[ 67.30599369 186.69400631] ; [16.69400631 46.30599369],0
n1,1,0.346727,0.885399,[20 27] ; [10  8],[21.69230769 25.30769231] ; [8.30769231 9.69230769],0
b4,1,0.365242,0.819789,[153 101] ; [34 29],[149.83596215 104.16403785] ; [37.16403785 25.83596215],0
r3,1,0.404317,0.695449,[246   7] ; [59  3],[244.96825397   8.03174603] ; [60.03174603  1.96825397],0
a4,1,0.413733,0.668047,[126 127] ; [35 28],[128.90189873 124.09810127] ; [32.09810127 30.90189873],0
u4,1,0.414835,0.664901,[  7 247] ; [ 3 60],[  8.0126183 245.9873817] ; [ 1.9873817 61.0126183],0
s4,1,0.432106,0.617155,[ 48 200] ; [15 48],[ 50.23794212 197.76205788] ; [12.76205788 50.23794212],0
a1,1,0.447259,0.577589,[ 19 235] ; [ 3 60],[ 17.62776025 236.37223975] ; [ 4.37223975 58.62776025],0
d5,1,0.47187,0.517594,[209  43] ; [49 13],[207.05732484  44.94267516] ; [50.94267516 11.05732484],0
s6,1,0.474088,0.512431,[188  59] ; [43 17],[185.8534202  61.1465798] ; [45.1465798 14.8534202],0
s3,1,0.502719,0.449192,[155  96] ; [36 27],[152.67834395  98.32165605] ; [38.32165605 24.67834395],0
a5,1,0.577511,0.310276,[194  60] ; [46 17],[192.30283912  61.69716088] ; [47.69716088 15.30283912],0
a7,1,0.580702,0.305102,[183  70] ; [47 15],[184.73015873  68.26984127] ; [45.26984127 16.73015873],0
p3,1,0.58119,0.304316,[166  87] ; [39 24],[164.12974684  88.87025316] ; [40.87025316 22.12974684],0
b2,1,0.602157,0.271756,[81 90] ; [14 19],[79.63235294 91.36764706] ; [15.36764706 17.63235294],0
b3,1,0.602157,0.271756,[81 90] ; [14 19],[79.63235294 91.36764706] ; [15.36764706 17.63235294],0
s2,1,0.603783,0.269327,[151 101] ; [40 23],[152.8  99.2] ; [38.2 24.8],0
d3,1,0.670945,0.180498,[184  69] ; [46 15],[185.31847134  67.68152866] ; [44.68152866 16.31847134],0
p1,1,0.680466,0.169602,[ 38 216] ; [ 8 54],[ 36.97468354 217.02531646] ; [ 9.02531646 52.97468354],0
a3,1,0.731777,0.117486,[189  64] ; [45 17],[187.94285714  65.05714286] ; [46.05714286 15.94285714],0
a8,1,0.80982,0.057917,[ 33 199] ; [ 7 47],[ 32.44755245 199.55244755] ; [ 7.55244755 46.44755245],0
a6,1,0.812746,0.056115,[164  88] ; [42 21],[164.8  87.2] ; [41.2 21.8],0
n2,1,0.818225,0.052821,[36 12] ; [13  5],[35.63636364 12.36363636] ; [13.36363636  4.63636364],0
u2,1,0.839692,0.04092,[38 27] ; [11  7],[38.37349398 26.62650602] ; [10.62650602  7.37349398],0
s5,1,0.848341,0.036571,[107 135] ; [26 31],[107.64548495 134.35451505] ; [25.35451505 31.64548495],0
u3,1,0.878731,0.02328,[41 24] ; [11  7],[40.72289157 24.27710843] ; [11.27710843  6.72289157],0
r1,1,0.904292,0.014458,[208  46] ; [52 11],[208.32807571  45.67192429] ; [51.67192429 11.32807571],0
d1,1,0.939286,0.005802,[164  90] ; [41 22],[164.25867508  89.74132492] ; [40.74132492 22.25867508],0
v2,1,0.98382,0.000411,[146 102] ; [37 26],[145.92926045 102.07073955] ; [37.07073955 25.92926045],0
