Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,4e-06,21.191649,[76 21] ; [11 21],[65.41860465 31.58139535] ; [21.58139535 10.41860465],1
r1,1,6.5e-05,15.943484,[81 16] ; [16 17],[72.37692308 24.62307692] ; [24.62307692  8.37692308],1
a4,1,0.000106,15.031241,[49 48] ; [ 4 29],[39.54615385 57.45384615] ; [13.45384615 19.54615385],1
v2,1,0.000627,11.694028,[64 31] ; [11 22],[55.6640625 39.3359375] ; [19.3359375 13.6640625],1
a6,1,0.012264,6.272318,[75 22] ; [18 15],[69.39230769 27.60769231] ; [23.60769231  9.39230769],0
r2,1,0.020195,5.394984,[92  5] ; [27  6],[88.79230769  8.20769231] ; [30.20769231  2.79230769],0
d2,1,0.029163,4.757981,[44 52] ; [ 8 25],[38.69767442 57.30232558] ; [13.30232558 19.69767442],0
v1,1,0.03965,4.232804,[59 37] ; [13 19],[54. 42.] ; [18. 14.],0
p11,1,0.042386,4.119723,[83 14] ; [23 10],[79.09230769 17.90769231] ; [26.90769231  6.09230769],0
r4,1,0.069933,3.28459,[86 11] ; [25  8],[82.82307692 14.17692308] ; [28.17692308  4.82307692],0
n5,1,0.082022,3.024369,[74 23] ; [20 13],[70.13846154 26.86153846] ; [23.86153846  9.13846154],0
p9,1,0.08672,2.934239,[81 16] ; [23 10],[77.6 19.4] ; [26.4  6.6],0
u3,1,0.090512,2.86525,[14  7] ; [ 9 13],[11.23255814  9.76744186] ; [11.76744186 10.23255814],0
v4,1,0.098663,2.727017,[93  4] ; [29  4],[91.03076923  5.96923077] ; [30.96923077  2.03076923],0
d4,1,0.105468,2.620848,[78 19] ; [22 11],[74.61538462 22.38461538] ; [25.38461538  7.61538462],0
u1,1,0.107292,2.593661,[17 80] ; [ 2 31],[14.17692308 82.82307692] ; [ 4.82307692 28.17692308],0
p10,1,0.118059,2.442887,[80 17] ; [23 10],[76.85384615 20.14615385] ; [26.14615385  6.85384615],0
b1,1,0.131206,2.278179,[47 50] ; [11 22],[43.27692308 53.72307692] ; [14.72307692 18.27692308],0
s8,1,0.15753,1.99778,[30 67] ; [ 6 27],[26.86153846 70.13846154] ; [ 9.13846154 23.86153846],0
b3,1,0.159864,1.97551,[29 34] ; [ 6 15],[26.25 36.75] ; [ 8.75 12.25],0
b2,1,0.159864,1.97551,[29 34] ; [ 6 15],[26.25 36.75] ; [ 8.75 12.25],0
s5,1,0.169565,1.886788,[19 76] ; [ 3 29],[16.45669291 78.54330709] ; [ 5.54330709 26.45669291],0
v3,1,0.169645,1.886078,[44 51] ; [10 21],[40.71428571 54.28571429] ; [13.28571429 17.71428571],0
d3,1,0.186424,1.745656,[68 29] ; [19 14],[64.91538462 32.08461538] ; [22.08461538 10.91538462],0
d5,1,0.201527,1.631273,[78 19] ; [23 10],[75.36153846 21.63846154] ; [25.63846154  7.36153846],0
d1,1,0.309748,1.031749,[54 43] ; [15 18],[51.48461538 45.51538462] ; [17.51538462 15.48461538],0
p1,1,0.313957,1.013955,[11 86] ; [ 6 27],[12.68461538 84.31538462] ; [ 4.31538462 28.68461538],0
n4,1,0.321743,0.981847,[81 16] ; [25  8],[79.09230769 17.90769231] ; [26.90769231  6.09230769],0
s4,1,0.381847,0.764746,[ 7 90] ; [ 4 29],[ 8.20769231 88.79230769] ; [ 2.79230769 30.20769231],0
s3,1,0.411577,0.674239,[26 71] ; [11 21],[27.82170543 69.17829457] ; [ 9.17829457 22.82170543],0
b4,1,0.412845,0.670593,[55 42] ; [16 17],[52.97692308 44.02307692] ; [18.02307692 14.97692308],0
p2,1,0.446826,0.578691,[82 15] ; [26  7],[80.58461538 16.41538462] ; [27.41538462  5.58461538],0
u2,1,0.450913,0.568356,[11 10] ; [ 9 13],[ 9.76744186 11.23255814] ; [10.23255814 11.76744186],0
p7,1,0.452311,0.564855,[74 23] ; [23 10],[72.37692308 24.62307692] ; [24.62307692  8.37692308],0
p6,1,0.45866,0.549164,[37 59] ; [10 22],[35.25 60.75] ; [11.75 20.25],0
p5,1,0.493015,0.46994,[10 87] ; [ 2 30],[ 9.02325581 87.97674419] ; [ 2.97674419 29.02325581],0
n2,1,0.493963,0.467882,[11  5] ; [5 1],[11.63636364  4.36363636] ; [4.36363636 1.63636364],0
p8,1,0.516107,0.421666,[62 35] ; [19 14],[60.43846154 36.56153846] ; [20.56153846 12.43846154],0
n6,1,0.554583,0.349171,[77 19] ; [28  5],[78.13953488 17.86046512] ; [26.86046512  6.13953488],0
r3,1,0.638194,0.221111,[88  9] ; [29  4],[87.3  9.7] ; [29.7  3.3],0
a8,1,0.714127,0.13419,[ 9 74] ; [ 4 26],[ 9.54867257 73.45132743] ; [ 3.45132743 26.54867257],0
a7,1,0.772951,0.083242,[73 24] ; [24  9],[72.37692308 24.62307692] ; [24.62307692  8.37692308],0
s7,1,0.91932,0.01026,[29 61] ; [10 22],[28.7704918 61.2295082] ; [10.2295082 21.7704918],0
n1,1,0.925558,0.00873,[ 5 11] ; [2 4],[ 5.09090909 10.90909091] ; [1.90909091 4.09090909],0
s2,1,0.957897,0.002787,[21 76] ; [ 7 26],[20.89230769 76.10769231] ; [ 7.10769231 25.89230769],0
p4,1,0.964923,0.001934,[68 29] ; [23 10],[67.9 29.1] ; [23.1  9.9],0
s1,1,0.985676,0.000322,[ 3 94] ; [ 1 32],[ 2.98461538 94.01538462] ; [ 1.01538462 31.98461538],0
b5,1,0.992547,8.7e-05,[53 44] ; [18 15],[52.97692308 44.02307692] ; [18.02307692 14.97692308],0
