Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.3e-05,18.959768,[21 26] ; [47  8],[31.33333333 15.66666667] ; [36.66666667 18.33333333],1
n6,1,0.00398,8.292814,[21 26] ; [40 15],[28.10784314 18.89215686] ; [32.89215686 22.10784314],0
d4,1,0.019991,5.412646,[40  7] ; [35 19],[34.9009901 12.0990099] ; [40.0990099 13.9009901],0
r3,1,0.019991,5.412646,[40  7] ; [35 19],[34.9009901 12.0990099] ; [40.0990099 13.9009901],0
a1,1,0.027524,4.857628,[ 1 46] ; [ 8 47],[ 4.14705882 42.85294118] ; [ 4.85294118 50.14705882],0
d2,1,0.029134,4.759699,[19 28] ; [33 20],[24.44 22.56] ; [27.56 25.44],0
p1,1,0.053552,3.7266,[ 2 44] ; [ 9 46],[ 5.00990099 40.99009901] ; [ 5.99009901 49.00990099],0
v2,1,0.063461,3.444545,[21 25] ; [15 39],[16.56 29.44] ; [19.44 34.56],0
s8,1,0.078421,3.097333,[ 5 42] ; [13 41],[ 8.37623762 38.62376238] ; [ 9.62376238 44.37623762],0
a6,1,0.099546,2.712802,[25 22] ; [38 17],[29.02941176 17.97058824] ; [33.97058824 21.02941176],0
d5,1,0.104086,2.641787,[39  8] ; [38 17],[35.48039216 11.51960784] ; [41.51960784 13.48039216],0
r2,1,0.143498,2.140046,[35 11] ; [48  7],[37.8019802  8.1980198] ; [45.1980198  9.8019802],0
u2,1,0.156646,2.00631,[9 8] ; [ 6 14],[ 6.89189189 10.10810811] ; [ 8.10810811 11.89189189],0
u1,1,0.157118,2.001746,[ 4 43] ; [10 45],[ 6.45098039 40.54901961] ; [ 7.54901961 47.45098039],0
s3,1,0.174804,1.841255,[12 34] ; [21 33],[15.18 30.82] ; [17.82 36.18],0
n1,1,0.215613,1.533333,[ 6 17] ; [10 13],[ 8. 15.] ; [ 8. 15.],0
n3,1,0.221603,1.493958,[13  8] ; [10 13],[10.97727273 10.02272727] ; [12.02272727 10.97727273],0
u3,1,0.253605,1.303337,[10  7] ; [ 8 12],[8.27027027 8.72972973] ; [ 9.72972973 10.27027027],0
b2,1,0.294345,1.099639,[ 8 20] ; [16 23],[10.02985075 17.97014925] ; [13.97014925 25.02985075],0
b3,1,0.294345,1.099639,[ 8 20] ; [16 23],[10.02985075 17.97014925] ; [13.97014925 25.02985075],0
r1,1,0.426625,0.631992,[35 12] ; [37 18],[33.17647059 13.82352941] ; [38.82352941 16.17647059],0
v4,1,0.434081,0.61188,[35 11] ; [38 17],[33.24752475 12.75247525] ; [39.75247525 15.24752475],0
b5,1,0.4359,0.607053,[22 25] ; [30 25],[23.96078431 23.03921569] ; [28.03921569 26.96078431],0
p11,1,0.443318,0.58768,[17 30] ; [24 31],[18.89215686 28.10784314] ; [22.10784314 32.89215686],0
s5,1,0.446408,0.579757,[ 7 40] ; [11 42],[ 8.46 38.54] ; [ 9.54 43.46],0
a2,1,0.447499,0.576979,[ 9 38] ; [14 41],[10.59803922 36.40196078] ; [12.40196078 42.59803922],0
v1,1,0.470919,0.519818,[15 32] ; [14 41],[13.3627451 33.6372549] ; [15.6372549 39.3627451],0
s6,1,0.488241,0.480401,[16 31] ; [22 32],[17.68316832 29.31683168] ; [20.31683168 33.68316832],0
n2,1,0.491407,0.473443,[11 11] ; [15 10],[12.17021277  9.82978723] ; [13.82978723 11.17021277],0
p3,1,0.509193,0.435724,[11 35] ; [10 44],[ 9.66 36.34] ; [11.34 42.66],0
s2,1,0.512692,0.428568,[10 37] ; [14 38],[11.39393939 35.60606061] ; [12.60606061 39.39393939],0
p10,1,0.582413,0.30235,[ 6 41] ; [ 9 45],[ 6.98019802 40.01980198] ; [ 8.01980198 45.98019802],0
a4,1,0.705788,0.14252,[20 27] ; [25 29],[20.94059406 26.05940594] ; [24.05940594 29.94059406],0
d3,1,0.743417,0.107146,[28 19] ; [31 24],[27.18627451 19.81372549] ; [31.81372549 23.18627451],0
p8,1,0.744121,0.106538,[ 5 42] ; [ 7 48],[ 5.52941176 41.47058824] ; [ 6.47058824 48.52941176],0
v3,1,0.746622,0.104391,[12 31] ; [17 38],[12.7244898 30.2755102] ; [16.2755102 38.7244898],0
a7,1,0.778464,0.079141,[30 17] ; [33 21],[29.31683168 17.68316832] ; [33.68316832 20.31683168],0
a5,1,0.817042,0.053523,[28 19] ; [34 21],[28.56862745 18.43137255] ; [33.43137255 21.56862745],0
b1,1,0.818109,0.05289,[25 22] ; [28 27],[24.42156863 22.57843137] ; [28.57843137 26.42156863],0
p4,1,0.823809,0.049572,[14 33] ; [15 39],[13.4950495 33.5049505] ; [15.5049505 38.4950495],0
s1,1,0.837744,0.041935,[ 4 43] ; [ 4 50],[ 3.72277228 43.27722772] ; [ 4.27722772 49.72277228],0
d1,1,0.842543,0.039458,[24 23] ; [27 28],[23.5 23.5] ; [27.5 27.5],0
p6,1,0.857824,0.032093,[ 3 43] ; [ 3 50],[ 2.78787879 43.21212121] ; [ 3.21212121 49.78787879],0
r4,1,0.860681,0.030803,[29 18] ; [33 22],[28.56862745 18.43137255] ; [33.43137255 21.56862745],0
s7,1,0.877289,0.023841,[10 30] ; [14 39],[10.32258065 29.67741935] ; [13.67741935 39.32258065],0
p2,1,0.886722,0.020293,[19 28] ; [23 32],[19.35294118 27.64705882] ; [22.64705882 32.35294118],0
a3,1,0.917886,0.010629,[30 17] ; [35 19],[30.24752475 16.75247525] ; [34.75247525 19.24752475],0
b4,1,0.983842,0.00041,[30 17] ; [35 20],[29.95098039 17.04901961] ; [35.04901961 19.95098039],0
s4,1,0.995744,2.8e-05,[ 8 39] ; [ 9 44],[ 7.99 39.01] ; [ 9.01 43.99],0
