Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,2e-06,22.519404,[ 6 40] ; [32 22],[17.48 28.52] ; [20.52 33.48],1
a3,1,8e-06,19.822778,[17 28] ; [44 10],[27.72727273 17.27272727] ; [33.27272727 20.72727273],1
d5,1,2.4e-05,17.839238,[20 26] ; [46  9],[30.05940594 15.94059406] ; [35.94059406 19.05940594],1
d2,1,0.000952,10.918672,[11 34] ; [31 23],[19.09090909 25.90909091] ; [22.90909091 31.09090909],1
d1,1,0.007801,7.078605,[13 33] ; [30 25],[19.58415842 26.41584158] ; [23.41584158 31.58415842],0
a6,1,0.021069,5.321055,[17 29] ; [33 22],[22.77227723 23.22772277] ; [27.22772277 27.77227723],0
s7,1,0.023715,5.115381,[ 7 37] ; [18 31],[11.82795699 32.17204301] ; [13.17204301 35.82795699],0
u1,1,0.050488,3.825167,[ 1 45] ; [ 7 48],[ 3.64356436 42.35643564] ; [ 4.35643564 50.64356436],0
d3,1,0.07668,3.133903,[19 26] ; [33 22],[23.4 21.6] ; [28.6 26.4],0
d4,1,0.078374,3.098304,[27 18] ; [42 13],[31.05 13.95] ; [37.95 17.05],0
a8,1,0.08644,2.93946,[ 1 43] ; [ 6 47],[ 3.17525773 40.82474227] ; [ 3.82474227 49.17525773],0
p9,1,0.092266,2.834393,[20 25] ; [32 20],[24.12371134 20.87628866] ; [27.87628866 24.12371134],0
n4,1,0.098127,2.735724,[25 21] ; [38 16],[28.98 17.02] ; [34.02 19.98],0
s8,1,0.111608,2.531298,[ 4 42] ; [11 44],[ 6.83168317 39.16831683] ; [ 8.16831683 46.83168317],0
a7,1,0.113648,2.502748,[17 28] ; [29 25],[20.90909091 24.09090909] ; [25.09090909 28.90909091],0
p4,1,0.168897,1.892702,[ 8 38] ; [16 39],[10.93069307 35.06930693] ; [13.06930693 41.93069307],0
v4,1,0.194085,1.686331,[29 17] ; [26 26],[25.81632653 20.18367347] ; [29.18367347 22.81632653],0
p11,1,0.204675,1.608695,[16 30] ; [26 29],[19.12871287 26.87128713] ; [22.87128713 32.12871287],0
