Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,69.537417,[38 78] ; [173  46],[73.06268657 42.93731343] ; [137.93731343  81.06268657],1
a5,1,0.0,25.540766,[51 66] ; [159  63],[72.47787611 44.52212389] ; [137.52212389  84.47787611],1
a4,1,2.2e-05,17.979303,[26 91] ; [101 120],[43.96153846 73.03846154] ; [ 83.03846154 137.96153846],1
n6,1,4.2e-05,16.764951,[74 43] ; [183  37],[89.22551929 27.77448071] ; [167.77448071  52.22551929],1
s7,1,8e-05,15.557087,[25 85] ; [ 97 118],[41.29230769 68.70769231] ; [ 80.70769231 134.29230769],1
a2,1,0.000493,12.143639,[  8 109] ; [ 48 174],[19.32743363 97.67256637] ; [ 36.67256637 185.32743363],1
p3,1,0.000532,11.999416,[28 89] ; [ 95 126],[42.57692308 74.42307692] ; [ 80.42307692 140.57692308],1
a3,1,0.001951,9.59475,[57 60] ; [146  75],[70.26923077 46.73076923] ; [132.73076923  88.26923077],0
r1,1,0.003681,8.434762,[66 50] ; [161  61],[77.90532544 38.09467456] ; [149.09467456  72.90532544],0
d5,1,0.004814,7.9482,[75 41] ; [175  47],[85.79881657 30.20118343] ; [164.20118343  57.79881657],0
p9,1,0.005783,7.616682,[71 44] ; [166  52],[81.84684685 33.15315315] ; [155.15315315  62.84684685],0
p10,1,0.007027,7.266068,[67 49] ; [159  61],[78.02380952 37.97619048] ; [147.97619048  72.02380952],0
s3,1,0.009542,6.718459,[47 70] ; [121  99],[58.3264095 58.6735905] ; [109.6735905 110.3264095],0
d2,1,0.013584,6.091476,[40 77] ; [106 114],[50.6884273 66.3115727] ; [ 95.3115727 124.6884273],0
d1,1,0.015069,5.908366,[47 70] ; [120 102],[57.63716814 59.36283186] ; [109.36283186 112.63716814],0
p4,1,0.015085,5.906487,[45 71] ; [117 105],[55.59763314 60.40236686] ; [106.40236686 115.59763314],0
s6,1,0.030397,4.686696,[54 63] ; [127  90],[63.40419162 53.59580838] ; [117.59580838  99.40419162],0
u1,1,0.031166,4.643793,[  8 109] ; [ 33 189],[ 14.15044248 102.84955752] ; [ 26.84955752 195.15044248],0
r4,1,0.033301,4.530259,[83 34] ; [180  42],[90.7699115 26.2300885] ; [172.2300885  49.7699115],0
a8,1,0.033688,4.510471,[  6 103] ; [ 28 184],[11.54517134 97.45482866] ; [ 22.45482866 189.54517134],0
p5,1,0.034578,4.465896,[  3 113] ; [ 19 203],[  7.55029586 108.44970414] ; [ 14.44970414 207.55029586],0
p11,1,0.035788,4.407181,[73 44] ; [163  59],[81.45132743 35.54867257] ; [154.54867257  67.45132743],0
p1,1,0.04104,4.174362,[  4 113] ; [ 21 199],[  8.67952522 108.32047478] ; [ 16.32047478 203.67952522],0
d4,1,0.045477,4.000874,[80 36] ; [175  47],[87.5147929 28.4852071] ; [167.4852071  54.5147929],0
r2,1,0.060365,3.527336,[96 21] ; [193  23],[101.54054054  15.45945946] ; [187.45945946  28.54054054],0
p12,1,0.070434,3.272884,[  1 116] ; [ 10 211],[  3.80769231 113.19230769] ; [  7.19230769 213.80769231],0
b5,1,0.102938,2.659428,[73 44] ; [118 104],[65.92035398 51.07964602] ; [125.07964602  96.92035398],0
s8,1,0.158667,1.986884,[28 89] ; [ 69 152],[33.57692308 83.42307692] ; [ 63.42307692 157.57692308],0
p2,1,0.169721,1.885403,[82 35] ; [170  51],[87.23076923 29.76923077] ; [164.76923077  56.23076923],0
a6,1,0.187377,1.738119,[69 48] ; [147  75],[74.54867257 42.45132743] ; [141.45132743  80.54867257],0
s4,1,0.18752,1.736993,[28 89] ; [ 39 179],[23.4 93.6] ; [ 43.6 174.4],0
b3,1,0.1946,1.682441,[12 43] ; [40 88],[15.6284153 39.3715847] ; [36.3715847 91.6284153],0
b2,1,0.1946,1.682441,[12 43] ; [40 88],[15.6284153 39.3715847] ; [36.3715847 91.6284153],0
p8,1,0.250308,1.321585,[44 71] ; [ 99 122],[48.94345238 66.05654762] ; [ 94.05654762 126.94345238],0
u3,1,0.255519,1.292872,[31 28] ; [32 43],[27.73880597 31.26119403] ; [35.26119403 39.73880597],0
p7,1,0.27103,1.211528,[56 57] ; [123  97],[60.74174174 52.25825826] ; [118.25825826 101.74174174],0
p6,1,0.272404,1.204602,[29 88] ; [ 67 153],[33.32937685 83.67062315] ; [ 62.67062315 157.32937685],0
s2,1,0.348476,0.879,[43 73] ; [ 94 128],[47.01775148 68.98224852] ; [ 89.98224852 132.01775148],0
s5,1,0.361672,0.832078,[25 90] ; [ 56 157],[28.39939024 86.60060976] ; [ 52.60060976 160.39939024],0
b4,1,0.37186,0.797439,[61 56] ; [127  95],[64.88495575 52.11504425] ; [123.11504425  98.88495575],0
u2,1,0.426454,0.632462,[27 32] ; [39 35],[29.27819549 29.72180451] ; [36.72180451 37.27819549],0
n1,1,0.5008,0.453242,[15 33] ; [25 42],[16.69565217 31.30434783] ; [23.30434783 43.69565217],0
s1,1,0.508001,0.438182,[  4 113] ; [ 11 210],[  5.19230769 111.80769231] ; [  9.80769231 211.19230769],0
n2,1,0.524742,0.404563,[28 20] ; [43 24],[29.63478261 18.36521739] ; [41.36521739 25.63478261],0
v2,1,0.616535,0.250767,[30 83] ; [ 63 153],[31.94224924 81.05775076] ; [ 61.05775076 154.94224924],0
n3,1,0.737834,0.112039,[32 16] ; [42 24],[31.15789474 16.84210526] ; [42.84210526 23.15789474],0
b1,1,0.770494,0.085105,[52 65] ; [ 95 127],[50.73451327 66.26548673] ; [ 96.26548673 125.73451327],0
v4,1,0.77119,0.084575,[100  16] ; [193  28],[100.85459941  15.14540059] ; [192.14540059  28.85459941],0
d3,1,0.876052,0.024329,[73 42] ; [139  83],[72.34421365 42.65578635] ; [139.65578635  82.34421365],0
r3,1,0.899122,0.016071,[101  16] ; [191  29],[101.3768546  15.6231454] ; [190.6231454  29.3768546],0
a7,1,0.915127,0.011358,[78 38] ; [148  74],[77.56213018 38.43786982] ; [148.43786982  73.56213018],0
a1,1,0.921674,0.009668,[  5 112] ; [ 10 212],[  5.17699115 111.82300885] ; [  9.82300885 212.17699115],0
