Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000967,10.890152,[ 6 18] ; [30 15],[12.52173913 11.47826087] ; [23.47826087 21.52173913],1
r1,1,0.018366,5.560928,[12 12] ; [35 10],[16.34782609  7.65217391] ; [30.65217391 14.34782609],0
n1,1,0.048741,3.884266,[2 6] ; [9 4],[4.19047619 3.80952381] ; [6.80952381 6.19047619],0
s4,1,0.097725,2.742291,[ 8 16] ; [ 7 37],[ 5.29411765 18.70588235] ; [ 9.70588235 34.29411765],0
a4,1,0.10771,2.5875,[ 5 19] ; [18 27],[ 8. 16.] ; [15. 30.],0
p11,1,0.113935,2.498772,[ 7 17] ; [22 23],[10.08695652 13.91304348] ; [18.91304348 26.08695652],0
b5,1,0.159276,1.981088,[13 11] ; [32 13],[15.65217391  8.34782609] ; [29.34782609 15.65217391],0
b1,1,0.176672,1.825397,[12 12] ; [30 15],[14.60869565  9.39130435] ; [27.39130435 17.60869565],0
v3,1,0.220332,1.502207,[ 4 18] ; [14 29],[ 6.09230769 15.90769231] ; [11.90769231 31.09230769],0
n6,1,0.225327,1.470116,[14 10] ; [32 12],[16.23529412  7.76470588] ; [29.76470588 14.23529412],0
a1,1,0.235796,1.405556,[ 2 22] ; [ 1 44],[ 1.04347826 22.95652174] ; [ 1.95652174 43.04347826],0
d1,1,0.285216,1.142069,[ 8 16] ; [21 24],[10.08695652 13.91304348] ; [18.91304348 26.08695652],0
d2,1,0.285216,1.142069,[ 8 16] ; [21 24],[10.08695652 13.91304348] ; [18.91304348 26.08695652],0
s1,1,0.329534,0.950728,[ 1 23] ; [ 5 40],[ 2.08695652 21.91304348] ; [ 3.91304348 41.08695652],0
d4,1,0.362676,0.828605,[19  5] ; [31 14],[17.39130435  6.60869565] ; [32.60869565 12.39130435],0
p8,1,0.365218,0.81987,[12 12] ; [17 27],[10.23529412 13.76470588] ; [18.76470588 25.23529412],0
s7,1,0.381877,0.764652,[ 7 16] ; [17 24],[ 8.625 14.375] ; [15.375 25.625],0
s6,1,0.385193,0.754063,[16  8] ; [24 19],[14.32835821  9.67164179] ; [25.67164179 17.32835821],0
a2,1,0.396205,0.719815,[ 2 22] ; [ 7 38],[ 3.13043478 20.86956522] ; [ 5.86956522 39.13043478],0
r4,1,0.477396,0.504805,[18  6] ; [37  8],[19.13043478  4.86956522] ; [35.86956522  9.13043478],0
s8,1,0.506184,0.441948,[ 7 17] ; [16 27],[ 8.23880597 15.76119403] ; [14.76119403 28.23880597],0
d3,1,0.536171,0.382683,[12 12] ; [26 19],[13.2173913 10.7826087] ; [24.7826087 20.2173913],0
r3,1,0.536662,0.381762,[22  2] ; [39  6],[21.2173913  2.7826087] ; [39.7826087  5.2173913],0
p7,1,0.577799,0.309806,[15  9] ; [25 20],[13.91304348 10.08695652] ; [26.08695652 18.91304348],0
p6,1,0.582069,0.302901,[ 7 16] ; [16 27],[ 8.01515152 14.98484848] ; [14.98484848 28.01515152],0
a7,1,0.617832,0.248927,[14 10] ; [29 16],[14.95652174  9.04347826] ; [28.04347826 16.95652174],0
p1,1,0.63608,0.223906,[ 3 21] ; [ 4 41],[ 2.43478261 21.56521739] ; [ 4.56521739 40.43478261],0
s2,1,0.647217,0.209427,[12 12] ; [19 24],[11.10447761 12.89552239] ; [19.89552239 23.10447761],0
s5,1,0.669936,0.181677,[ 6 17] ; [ 9 33],[ 5.30769231 17.69230769] ; [ 9.69230769 32.30769231],0
a6,1,0.676202,0.174433,[13 11] ; [22 23],[12.17391304 11.82608696] ; [22.82608696 22.17391304],0
d5,1,0.702357,0.146032,[16  8] ; [32 13],[16.69565217  7.30434783] ; [31.30434783 13.69565217],0
s3,1,0.719692,0.128788,[12 12] ; [24 20],[12.70588235 11.29411765] ; [23.29411765 20.70588235],0
p4,1,0.729261,0.119792,[15  9] ; [30 15],[15.65217391  8.34782609] ; [29.34782609 15.65217391],0
a5,1,0.752572,0.099383,[14 10] ; [28 17],[14.60869565  9.39130435] ; [27.39130435 17.60869565],0
u3,1,0.75706,0.095694,[7 4] ; [11  8],[6.6 4.4] ; [11.4  7.6],0
a3,1,0.773199,0.083056,[13 11] ; [26 19],[13.56521739 10.43478261] ; [25.43478261 19.56521739],0
n3,1,0.776258,0.080769,[6 2] ; [9 4],[5.71428571 2.28571429] ; [9.28571429 3.71428571],0
p9,1,0.802676,0.062443,[ 8 16] ; [16 28],[ 8.47058824 15.52941176] ; [15.52941176 28.47058824],0
b4,1,0.8394,0.041071,[15  9] ; [27 18],[14.60869565  9.39130435] ; [27.39130435 17.60869565],0
v2,1,0.839568,0.040984,[10 13] ; [18 26],[ 9.6119403 13.3880597] ; [18.3880597 25.6119403],0
r2,1,0.863728,0.029457,[21  3] ; [40  5],[21.2173913  2.7826087] ; [39.7826087  5.2173913],0
v4,1,0.863728,0.029457,[21  3] ; [40  5],[21.2173913  2.7826087] ; [39.7826087  5.2173913],0
b3,1,0.939225,0.005813,[ 5 10] ; [10 19],[5.11363636 9.88636364] ; [ 9.88636364 19.11363636],0
b2,1,0.939225,0.005813,[ 5 10] ; [10 19],[5.11363636 9.88636364] ; [ 9.88636364 19.11363636],0
u2,1,0.954001,0.003327,[4 6] ; [ 7 11],[3.92857143 6.07142857] ; [ 7.07142857 10.92857143],0
v1,1,0.964483,0.001983,[10 14] ; [19 26],[10.08695652 13.91304348] ; [18.91304348 26.08695652],0
p2,1,0.980675,0.000587,[17  7] ; [32 13],[17.04347826  6.95652174] ; [31.95652174 13.04347826],0
