Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,29.396988,[ 21 130] ; [60 82],[ 41.7440273 109.2559727] ; [ 39.2559727 102.7440273],1
v1,1,1e-06,25.166767,[ 48 105] ; [88 58],[69.59197324 83.40802676] ; [66.40802676 79.59197324],1
r1,1,4.2e-05,16.789451,[90 62] ; [119  28],[106.24749164  45.75250836] ; [102.75250836  44.24749164],1
r3,1,0.000834,11.163882,[123  29] ; [137   9],[132.61744966  19.38255034] ; [127.38255034  18.61744966],1
d3,1,0.001032,10.769105,[80 71] ; [105  42],[93.74161074 57.25838926] ; [91.25838926 55.74161074],0
d4,1,0.001511,10.065507,[105  48] ; [123  23],[116.66889632  36.33110368] ; [111.33110368  34.66889632],0
p10,1,0.002159,9.409331,[89 61] ; [111  35],[101.35135135  48.64864865] ; [98.64864865 47.35135135],0
d1,1,0.003825,8.364854,[65 88] ; [87 60],[77.52 75.48] ; [74.48 72.52],0
p7,1,0.004285,8.158897,[66 85] ; [88 58],[78.2962963 72.7037037] ; [75.7037037 70.2962963],0
p3,1,0.005267,7.785365,[ 44 108] ; [65 81],[55.59731544 96.40268456] ; [53.40268456 92.59731544],0
r4,1,0.013101,6.155457,[111  42] ; [124  23],[119.85  33.15] ; [115.15  31.85],0
p4,1,0.013497,6.102747,[59 93] ; [77 68],[69.6026936 82.3973064] ; [66.3973064 78.6026936],0
d5,1,0.01547,5.862183,[107  45] ; [121  26],[115.90635452  36.09364548] ; [112.09364548  34.90635452],0
p2,1,0.021553,5.281519,[101  50] ; [115  31],[109.81818182  41.18181818] ; [106.18181818  39.81818182],0
v4,1,0.022759,5.186807,[130  23] ; [137  10],[136.17  16.83] ; [130.83  16.17],0
p11,1,0.025198,5.010204,[102  51] ; [115  32],[110.67  42.33] ; [106.33  40.67],0
p9,1,0.025821,4.967935,[100  50] ; [115  32],[108.58585859  41.41414141] ; [106.41414141  40.58585859],0
a3,1,0.032908,4.550585,[83 69] ; [98 49],[92.01337793 59.98662207] ; [88.98662207 58.01337793],0
n2,1,0.065425,3.394225,[28 23] ; [24  8],[31.95180723 19.04819277] ; [20.04819277 11.95180723],0
p8,1,0.068028,3.329979,[61 91] ; [73 71],[68.81081081 83.18918919] ; [65.18918919 78.81081081],0
n3,1,0.071959,3.237766,[27 21] ; [25  8],[30.81481481 17.18518519] ; [21.18518519 11.81481481],0
a4,1,0.076667,3.134183,[54 98] ; [67 80],[61.51170569 90.48829431] ; [59.48829431 87.51170569],0
r2,1,0.099172,2.718812,[128  23] ; [132  13],[132.63513514  18.36486486] ; [127.36486486  17.63513514],0
s1,1,0.102803,2.661512,[  7 145] ; [  2 144],[  4.59060403 147.40939597] ; [  4.40939597 141.59060403],0
u1,1,0.138536,2.194149,[ 11 142] ; [ 18 129],[ 14.79 138.21] ; [ 14.21 132.79],0
n4,1,0.141565,2.160864,[96 57] ; [104  43],[102.  51.] ; [98. 49.],0
a5,1,0.144851,2.125651,[95 58] ; [103  44],[100.98  52.02] ; [97.02 49.98],0
s6,1,0.177786,1.816035,[ 47 102] ; [57 89],[52.52881356 96.47118644] ; [51.47118644 94.52881356],0
s5,1,0.211157,1.563474,[ 22 125] ; [ 30 116],[ 26.0887372 120.9112628] ; [ 25.9112628 120.0887372],0
n6,1,0.221347,1.49562,[113  39] ; [118  29],[117.43143813  34.56856187] ; [113.56856187  33.43143813],0
b5,1,0.269343,1.220089,[99 54] ; [86 61],[94.35 58.65] ; [90.65 56.35],0
a2,1,0.35023,0.872625,[ 22 131] ; [ 27 120],[ 24.99 128.01] ; [ 24.01 122.99],0
u2,1,0.385523,0.753015,[34 36] ; [19 28],[31.70940171 38.29059829] ; [21.29059829 25.70940171],0
b1,1,0.430403,0.621737,[63 90] ; [54 93],[59.67 93.33] ; [57.33 89.67],0
a7,1,0.446356,0.579889,[101  51] ; [103  43],[104.05369128  47.94630872] ; [99.94630872 46.05369128],0
p5,1,0.448146,0.575336,[  9 143] ; [ 12 135],[ 10.67558528 141.32441472] ; [ 10.32441472 136.67558528],0
b2,1,0.508809,0.436516,[30 56] ; [25 58],[27.98816568 58.01183432] ; [27.01183432 55.98816568],0
b3,1,0.508809,0.436516,[30 56] ; [25 58],[27.98816568 58.01183432] ; [27.01183432 55.98816568],0
u3,1,0.532535,0.389551,[35 34] ; [22 27],[33.33050847 35.66949153] ; [23.66949153 25.33050847],0
u4,1,0.538424,0.378468,[  1 152] ; [  2 145],[  1.53 151.47] ; [  1.47 145.53],0
