Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,48.037524,[105   3] ; [4 7],[98.92436975  9.07563025] ; [10.07563025  0.92436975],1
r3,1,1e-06,24.637664,[103   4] ; [6 5],[98.83898305  8.16101695] ; [10.16101695  0.83898305],1
n6,1,0.000116,14.855967,[101   7] ; [7 5],[97.2 10.8] ; [10.8  1.2],1
p9,1,0.000189,13.938982,[91 13] ; [6 7],[86.22222222 17.77777778] ; [10.77777778  2.22222222],1
r2,1,0.000806,11.22807,[105   3] ; [9 3],[102.6   5.4] ; [11.4  0.6],1
p7,1,0.002875,8.884837,[72 33] ; [3 9],[67.30769231 37.69230769] ; [7.69230769 4.30769231],0
s6,1,0.00313,8.730016,[95 10] ; [8 5],[91.65254237 13.34745763] ; [11.34745763  1.65254237],0
p10,1,0.004544,8.052507,[90 17] ; [6 6],[86.31932773 20.68067227] ; [9.68067227 2.31932773],0
n3,1,0.011507,6.385216,[24  5] ; [1 3],[21.96969697  7.03030303] ; [3.03030303 0.96969697],0
r1,1,0.01254,6.232926,[89 18] ; [7 6],[85.6 21.4] ; [10.4  2.6],0
p4,1,0.022711,5.19051,[68 39] ; [4 9],[64.2 42.8] ; [7.8 5.2],0
p8,1,0.024216,5.079116,[54 52] ; [ 2 10],[50.30508475 55.69491525] ; [5.69491525 6.30508475],0
p3,1,0.031535,4.623619,[59 49] ; [ 3 10],[55.33884298 52.66115702] ; [6.66115702 6.33884298],0
v3,1,0.075476,3.159722,[35 70] ; [ 1 11],[32.30769231 72.69230769] ; [3.69230769 8.30769231],0
d4,1,0.076282,3.14239,[87 21] ; [7 5],[84.6 23.4] ; [9.4 2.6],0
p6,1,0.0851,2.964698,[43 65] ; [ 2 11],[40.16528926 67.83471074] ; [4.83471074 8.16528926],0
a5,1,0.088138,2.908049,[82 26] ; [7 6],[79.43801653 28.56198347] ; [9.56198347 3.43801653],0
a3,1,0.091701,2.844256,[75 33] ; [6 7],[72.29752066 35.70247934] ; [8.70247934 4.29752066],0
s7,1,0.10276,2.662173,[67 35] ; [5 7],[64.42105263 37.57894737] ; [7.57894737 4.42105263],0
u3,1,0.121762,2.394508,[20 13] ; [2 5],[18.15 14.85] ; [3.85 3.15],0
p1,1,0.133433,2.252103,[11 96] ; [3 9],[12.58823529 94.41176471] ; [ 1.41176471 10.58823529],0
b2,1,0.133715,2.248831,[24 37] ; [ 2 10],[21.7260274 39.2739726] ; [4.2739726 7.7260274],0
b3,1,0.133715,2.248831,[24 37] ; [ 2 10],[21.7260274 39.2739726] ; [4.2739726 7.7260274],0
a7,1,0.15012,2.071031,[76 32] ; [6 6],[73.8 34.2] ; [8.2 3.8],0
p2,1,0.188772,1.727178,[89 19] ; [8 4],[87.3 20.7] ; [9.7 2.3],0
b4,1,0.240179,1.379542,[65 43] ; [10  3],[66.94214876 41.05785124] ; [8.05785124 4.94214876],0
d2,1,0.273055,1.201335,[54 54] ; [8 4],[55.8 52.2] ; [6.2 5.8],0
s2,1,0.331724,0.942155,[65 43] ; [6 7],[63.37190083 44.62809917] ; [7.62809917 5.37190083],0
d3,1,0.35895,0.841563,[72 36] ; [7 6],[70.51239669 37.48760331] ; [8.48760331 4.51239669],0
p5,1,0.453137,0.562793,[18 90] ; [ 1 11],[17.1 90.9] ; [ 1.9 10.1],0
n2,1,0.457789,0.551295,[22  7] ; [3 2],[21.32352941  7.67647059] ; [3.67647059 1.32352941],0
n4,1,0.467191,0.528613,[77 31] ; [8 5],[75.8677686 32.1322314] ; [9.1322314 3.8677686],0
d1,1,0.52011,0.413675,[60 48] ; [6 7],[58.90909091 49.09090909] ; [7.09090909 5.90909091],0
b1,1,0.527262,0.399665,[43 65] ; [4 9],[41.95041322 66.04958678] ; [5.04958678 7.95041322],0
a4,1,0.562565,0.335282,[49 59] ; [7 6],[49.98347107 58.01652893] ; [6.01652893 6.98347107],0
b5,1,0.591972,0.287274,[50 58] ; [5 8],[49.09090909 58.90909091] ; [5.90909091 7.09090909],0
n1,1,0.7903,0.070714,[13 15] ; [2 3],[12.72727273 15.27272727] ; [2.27272727 2.72727273],0
p11,1,0.824069,0.049424,[80 28] ; [10  3],[80.33057851 27.66942149] ; [9.66942149 3.33057851],0
n5,1,0.8433,0.039075,[75 33] ; [8 4],[74.7 33.3] ; [8.3 3.7],0
a6,1,0.867813,0.027701,[69 39] ; [8 5],[68.72727273 39.27272727] ; [8.27272727 4.72727273],0
a1,1,0.868167,0.027552,[  7 101] ; [ 1 12],[  7.14049587 100.85950413] ; [ 0.85950413 12.14049587],0
a8,1,0.899244,0.016032,[10 87] ; [ 1 10],[ 9.87962963 87.12037037] ; [1.12037037 9.87962963],0
d5,1,0.93658,0.006331,[82 26] ; [10  3],[82.11570248 25.88429752] ; [9.88429752 3.11570248],0
s4,1,0.965695,0.00185,[32 74] ; [4 9],[32.06722689 73.93277311] ; [3.93277311 9.06722689],0
s3,1,0.991967,0.000101,[66 41] ; [8 5],[65.98333333 41.01666667] ; [8.01666667 4.98333333],0
v2,1,0.996048,2.5e-05,[49 57] ; [6 7],[48.99159664 57.00840336] ; [6.00840336 6.99159664],0
u2,1,1.0,0.0,[16 16] ; [3 3],[16. 16.] ; [3. 3.],0
