Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1.2e-05,19.236181,[28 21] ; [137  22],[38.87019231 10.12980769] ; [126.12980769  32.87019231],1
p11,1,1.3e-05,19.067029,[27 23] ; [135  26],[38.38862559 11.61137441] ; [123.61137441  37.38862559],1
r3,1,7.2e-05,15.76025,[41  9] ; [156   4],[46.9047619  3.0952381] ; [150.0952381   9.9047619],1
p9,1,0.000211,13.732563,[29 20] ; [133  25],[38.34782609 10.65217391] ; [123.65217391  34.34782609],1
p2,1,0.000224,13.618688,[28 21] ; [133  28],[37.56666667 11.43333333] ; [123.43333333  37.56666667],1
d1,1,0.000243,13.465001,[19 31] ; [108  53],[30.09478673 19.90521327] ; [96.90521327 64.09478673],1
b1,1,0.000299,13.078563,[29 21] ; [ 48 113],[18.2464455 31.7535545] ; [ 58.7535545 102.2464455],1
d4,1,0.000859,11.109,[34 16] ; [141  19],[41.66666667  8.33333333] ; [133.33333333  26.66666667],1
r1,1,0.000876,11.071915,[35 15] ; [143  17],[42.38095238  7.61904762] ; [135.61904762  24.38095238],1
p8,1,0.001985,9.563104,[13 37] ; [81 78],[22.48803828 27.51196172] ; [71.51196172 87.48803828],0
s1,1,0.002595,9.072643,[ 5 44] ; [  2 155],[ 1.66504854 47.33495146] ; [  5.33495146 151.66504854],0
v4,1,0.003831,8.362216,[43  7] ; [155   5],[47.14285714  2.85714286] ; [150.85714286   9.14285714],0
p7,1,0.006437,7.423815,[18 30] ; [94 63],[26.22439024 21.77560976] ; [85.77560976 71.22439024],0
r4,1,0.006747,7.339136,[39 11] ; [148  13],[44.31279621  5.68720379] ; [142.68720379  18.31279621],0
r2,1,0.01445,5.982278,[44  6] ; [154   5],[47.36842105  2.63157895] ; [150.63157895   8.36842105],0
a7,1,0.0319,4.603842,[30 20] ; [121  39],[35.95238095 14.04761905] ; [115.04761905  44.95238095],0
d5,1,0.047185,3.938773,[36 14] ; [136  25],[40.75829384  9.24170616] ; [131.24170616  29.75829384],0
n6,1,0.048268,3.900632,[38 12] ; [140  20],[42.38095238  7.61904762] ; [135.61904762  24.38095238],0
s8,1,0.052228,3.768447,[17 33] ; [79 80],[22.96650718 27.03349282] ; [73.03349282 85.96650718],0
s7,1,0.080669,3.051378,[17 29] ; [79 74],[22.19095477 23.80904523] ; [73.80904523 79.19095477],0
n5,1,0.081663,3.031489,[34 16] ; [127  32],[38.51674641 11.48325359] ; [122.48325359  36.51674641],0
v1,1,0.099346,2.716018,[25 24] ; [102  57],[29.91826923 19.08173077] ; [97.08173077 61.91826923],0
n1,1,0.104999,2.627917,[5 6] ; [ 7 27],[2.93333333 8.06666667] ; [ 9.06666667 24.93333333],0
p4,1,0.141415,2.162495,[20 29] ; [84 75],[24.5 24.5] ; [79.5 79.5],0
a4,1,0.153452,2.037601,[18 32] ; [76 84],[22.38095238 27.61904762] ; [71.61904762 88.38095238],0
p1,1,0.157766,1.995506,[ 7 43] ; [ 12 149],[ 4.50236967 45.49763033] ; [ 14.49763033 146.50236967],0
a2,1,0.183957,1.765361,[ 9 41] ; [ 44 117],[12.55924171 37.44075829] ; [ 40.44075829 120.55924171],0
a3,1,0.198988,1.649783,[34 16] ; [124  37],[37.44075829 12.55924171] ; [120.55924171  40.44075829],0
a8,1,0.201145,1.634043,[ 4 44] ; [ 22 118],[ 6.63829787 41.36170213] ; [ 19.36170213 120.63829787],0
b5,1,0.20582,1.600589,[33 17] ; [90 71],[29.14691943 20.85308057] ; [93.85308057 67.14691943],0
d3,1,0.207166,1.591124,[31 19] ; [115  46],[34.5971564 15.4028436] ; [111.4028436  49.5971564],0
s4,1,0.219375,1.508457,[ 9 41] ; [ 18 141],[ 6.45933014 43.54066986] ; [ 20.54066986 138.45933014],0
u3,1,0.240696,1.37651,[11  5] ; [19 18],[9.05660377 6.94339623] ; [20.94339623 16.05660377],0
p3,1,0.265473,1.239989,[19 30] ; [77 84],[22.4 26.6] ; [73.6 87.4],0
b4,1,0.265735,1.238631,[26 24] ; [98 63],[29.38388626 20.61611374] ; [94.61611374 66.38388626],0
a5,1,0.273892,1.197148,[34 16] ; [122  39],[36.96682464 13.03317536] ; [119.03317536  41.96682464],0
s3,1,0.279941,1.167379,[25 25] ; [91 64],[28.29268293 21.70731707] ; [87.70731707 67.29268293],0
s5,1,0.280829,1.163074,[13 37] ; [ 54 104],[16.10576923 33.89423077] ; [ 50.89423077 107.10576923],0
p12,1,0.322864,0.977308,[ 2 48] ; [ 13 147],[ 3.57142857 46.42857143] ; [ 11.42857143 148.57142857],0
n3,1,0.323879,0.973217,[10  2] ; [24 11],[8.68085106 3.31914894] ; [25.31914894  9.68085106],0
s6,1,0.445124,0.583037,[35 15] ; [100  56],[32.76699029 17.23300971] ; [102.23300971  53.76699029],0
p5,1,0.458645,0.549199,[ 6 43] ; [ 14 147],[ 4.66666667 44.33333333] ; [ 15.33333333 145.66666667],0
n2,1,0.46088,0.543758,[9 4] ; [27  7],[9.95744681 3.04255319] ; [26.04255319  7.95744681],0
d2,1,0.526666,0.40082,[24 26] ; [85 75],[25.95238095 24.04761905] ; [83.04761905 76.95238095],0
a1,1,0.535869,0.383249,[ 4 46] ; [  9 152],[ 3.08056872 46.91943128] ; [  9.91943128 151.08056872],0
u2,1,0.639914,0.218855,[10  6] ; [20 16],[9.23076923 6.76923077] ; [20.76923077 15.23076923],0
n4,1,0.709094,0.139183,[40 10] ; [124  36],[39.04761905 10.95238095] ; [124.95238095  35.04761905],0
s2,1,0.754832,0.097515,[25 25] ; [83 75],[25.96153846 24.03846154] ; [82.03846154 75.96153846],0
a6,1,0.75883,0.094259,[33 17] ; [110  51],[33.88625592 16.11374408] ; [109.11374408  51.88625592],0
b2,1,0.840457,0.040525,[13 24] ; [37 63],[13.50364964 23.49635036] ; [36.49635036 63.50364964],0
b3,1,0.840457,0.040525,[13 24] ; [37 63],[13.50364964 23.49635036] ; [36.49635036 63.50364964],0
u1,1,0.898234,0.016356,[ 8 42] ; [ 27 134],[ 8.29383886 41.70616114] ; [ 26.70616114 134.29383886],0
