Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,110.577258,[ 9 38] ; [287  44],[36.8042328 10.1957672] ; [259.1957672  71.8042328],1
r3,1,0.0,77.866196,[22 24] ; [308  22],[40.37234043  5.62765957] ; [289.62765957  40.37234043],1
r2,1,0.0,66.632831,[23 21] ; [309  21],[39.05882353  4.94117647] ; [292.94117647  37.05882353],1
r1,1,0.0,29.626088,[18 29] ; [251  77],[33.71466667 13.28533333] ; [235.28533333  92.71466667],1
s6,1,0.0,29.344087,[ 9 38] ; [201 128],[26.25 20.75] ; [183.75 145.25],1
p2,1,0.0,27.135684,[14 33] ; [227 103],[30.04509284 16.95490716] ; [210.95490716 119.04509284],1
p9,1,0.0,25.890137,[17 28] ; [243  82],[31.62162162 13.37837838] ; [228.37837838  96.62162162],1
p10,1,3e-06,21.612765,[16 30] ; [227  99],[30.0483871 15.9516129] ; [212.9516129 113.0483871],1
n6,1,1.3e-05,19.048058,[22 24] ; [257  73],[34.13297872 11.86702128] ; [244.86702128  85.13297872],1
s8,1,8.6e-05,15.416351,[ 3 44] ; [115 216],[14.67195767 32.32804233] ; [103.32804233 227.67195767],1
u3,1,9.2e-05,15.300029,[ 2 17] ; [60 41],[9.81666667 9.18333333] ; [52.18333333 48.81666667],1
p11,1,0.000125,14.716914,[19 28] ; [228 103],[30.71164021 16.28835979] ; [216.28835979 114.71164021],1
a7,1,0.000478,12.201333,[20 27] ; [226 104],[30.66843501 16.33156499] ; [215.33156499 114.66843501],1
s2,1,0.000607,11.7535,[ 9 38] ; [149 178],[19.85561497 27.14438503] ; [138.14438503 188.85561497],1
p1,1,0.000965,10.89385,[ 7 40] ; [ 12 318],[ 2.36870027 44.63129973] ; [ 16.63129973 313.36870027],1
p4,1,0.001911,9.632815,[ 7 40] ; [125 204],[16.5 30.5] ; [115.5 213.5],0
u2,1,0.002228,9.351201,[ 3 16] ; [53 45],[9.09401709 9.90598291] ; [46.90598291 51.09401709],0
a6,1,0.002865,8.891585,[21 26] ; [221 109],[30.16976127 16.83023873] ; [211.83023873 118.16976127],0
s3,1,0.003172,8.70556,[14 32] ; [176 152],[23.36898396 22.63101604] ; [166.63101604 161.36898396],0
n3,1,0.004047,8.262463,[ 9 12] ; [79 27],[14.5511811  6.4488189] ; [73.4488189 32.5511811],0
v1,1,0.004101,8.238471,[10 36] ; [140 178],[18.95604396 27.04395604] ; [131.04395604 186.95604396],0
a1,1,0.004521,8.061639,[ 7 40] ; [ 15 316],[ 2.73544974 44.26455026] ; [ 19.26455026 311.73544974],0
v2,1,0.00483,7.942002,[12 34] ; [151 162],[20.88579387 25.11420613] ; [142.11420613 170.88579387],0
p7,1,0.005767,7.621662,[ 7 40] ; [114 211],[15.28763441 31.71236559] ; [105.71236559 219.28763441],0
n2,1,0.006403,7.433174,[10 12] ; [80 27],[15.34883721  6.65116279] ; [74.65116279 32.34883721],0
v3,1,0.014576,5.967067,[ 8 39] ; [109 203],[15.31754875 31.68245125] ; [101.68245125 210.31754875],0
p3,1,0.015869,5.817282,[ 7 40] ; [106 224],[14.08753316 32.91246684] ; [ 98.91246684 231.08753316],0
b1,1,0.016071,5.795113,[27 20] ; [129 202],[19.3968254 27.6031746] ; [136.6031746 194.3968254],0
d5,1,0.017765,5.61918,[29 18] ; [256  74],[35.53050398 11.46949602] ; [249.46949602  80.53050398],0
d3,1,0.021189,5.31118,[22 25] ; [212 118],[29.17241379 17.82758621] ; [204.82758621 125.17241379],0
b5,1,0.025443,4.993479,[22 25] ; [211 120],[28.97089947 18.02910053] ; [204.02910053 126.97089947],0
a2,1,0.030979,4.654122,[ 4 43] ; [ 73 258],[ 9.57407407 37.42592593] ; [ 67.42592593 263.57407407],0
a5,1,0.043217,4.086881,[24 23] ; [219 112],[30.21428571 16.78571429] ; [212.78571429 118.21428571],0
s5,1,0.057921,3.595925,[ 6 40] ; [ 83 238],[11.15531335 34.84468665] ; [ 77.84468665 243.15531335],0
s7,1,0.082894,3.007217,[10 33] ; [116 200],[15.09192201 27.90807799] ; [110.90807799 205.09192201],0
u1,1,0.116799,2.459731,[ 3 44] ; [ 49 282],[ 6.46560847 40.53439153] ; [ 45.53439153 285.46560847],0
n1,1,0.13089,2.281918,[11 11] ; [35 71],[ 7.90625 14.09375] ; [38.09375 67.90625],0
d4,1,0.190093,1.716895,[33 14] ; [259  70],[36.5 10.5] ; [255.5  73.5],0
a3,1,0.244208,1.35614,[28 18] ; [229 101],[31.44148936 14.55851064] ; [225.55851064 104.44148936],0
d1,1,0.275211,1.190589,[20 27] ; [169 162],[23.5 23.5] ; [165.5 165.5],0
a4,1,0.313674,1.015143,[16 30] ; [141 190],[19.15649867 26.84350133] ; [137.84350133 193.15649867],0
p5,1,0.354102,0.858702,[ 1 46] ; [ 17 308],[ 2.27419355 44.72580645] ; [ 15.72580645 309.27419355],0
s4,1,0.380862,0.767916,[ 6 41] ; [ 59 270],[ 8.125 38.875] ; [ 56.875 272.125],0
b4,1,0.398349,0.713305,[31 16] ; [197 134],[28.34920635 18.65079365] ; [199.65079365 131.34920635],0
n4,1,0.503468,0.447619,[34 13] ; [222 107],[32. 15.] ; [224. 105.],0
s1,1,0.521005,0.411902,[ 3 44] ; [ 14 312],[ 2.14209115 44.85790885] ; [ 14.85790885 311.14209115],0
a8,1,0.555678,0.347244,[ 7 39] ; [ 37 268],[ 5.76638177 40.23361823] ; [ 38.23361823 266.76638177],0
b2,1,0.589698,0.290816,[12 20] ; [ 64 132],[10.66666667 21.33333333] ; [ 65.33333333 130.66666667],0
b3,1,0.589698,0.290816,[12 20] ; [ 64 132],[10.66666667 21.33333333] ; [ 65.33333333 130.66666667],0
d2,1,0.93003,0.00771,[21 25] ; [152 176],[21.27807487 24.72192513] ; [151.72192513 176.27807487],0
n5,1,0.945243,0.004717,[31 16] ; [218 110],[31.208 15.792] ; [217.792 110.208],0
u4,1,0.995428,3.3e-05,[ 1 46] ; [  7 324],[ 0.99470899 46.00529101] ; [  7.00529101 323.99470899],0
