Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2.1e-05,18.075712,[11  3] ; [ 8 37],[4.50847458 9.49152542] ; [14.49152542 30.50847458],1
s2,1,0.000682,11.538258,[10  4] ; [10 35],[4.74576271 9.25423729] ; [15.25423729 29.74576271],1
s3,1,0.000744,11.375646,[12  2] ; [15 29],[6.51724138 7.48275862] ; [20.48275862 23.51724138],1
s8,1,0.001005,10.81854,[6 8] ; [ 3 42],[ 2.13559322 11.86440678] ; [ 6.86440678 38.13559322],0
v1,1,0.001673,9.877875,[9 5] ; [ 9 36],[4.27118644 9.72881356] ; [13.72881356 31.27118644],0
s4,1,0.001991,9.557931,[ 4 10] ; [ 1 44],[ 1.18644068 12.81355932] ; [ 3.81355932 41.18644068],0
s5,1,0.015423,5.867479,[4 8] ; [ 3 40],[ 1.52727273 10.47272727] ; [ 5.47272727 37.52727273],0
a5,1,0.021345,5.298405,[12  2] ; [23 22],[8.30508475 5.69491525] ; [26.69491525 18.30508475],0
v2,1,0.021617,5.276312,[8 4] ; [13 30],[4.58181818 7.41818182] ; [16.41818182 26.58181818],0
d1,1,0.026234,4.940532,[9 5] ; [14 31],[5.45762712 8.54237288] ; [17.54237288 27.45762712],0
a3,1,0.050061,3.839426,[12  2] ; [25 19],[8.93103448 5.06896552] ; [28.06896552 15.93103448],0
p7,1,0.071928,3.238466,[6 7] ; [ 9 34],[3.48214286 9.51785714] ; [11.51785714 31.48214286],0
n3,1,0.081054,3.043636,[8 3] ; [ 8 12],[5.67741935 5.32258065] ; [10.32258065  9.67741935],0
a2,1,0.112541,2.518166,[ 4 10] ; [ 5 40],[ 2.13559322 11.86440678] ; [ 6.86440678 38.13559322],0
r2,1,0.115686,2.47477,[13  1] ; [32 12],[10.86206897  3.13793103] ; [34.13793103  9.86206897],0
p3,1,0.121417,2.398946,[ 4 10] ; [ 5 39],[ 2.17241379 11.82758621] ; [ 6.82758621 37.17241379],0
v4,1,0.123053,2.378029,[11  3] ; [25 20],[8.54237288 5.45762712] ; [27.45762712 17.54237288],0
p9,1,0.126687,2.332635,[9 5] ; [18 26],[6.51724138 7.48275862] ; [20.48275862 23.51724138],0
d4,1,0.129697,2.29613,[11  2] ; [28 17],[8.74137931 4.25862069] ; [30.25862069 14.74137931],0
p11,1,0.145023,2.123832,[7 7] ; [13 32],[4.74576271 9.25423729] ; [15.25423729 29.74576271],0
r4,1,0.148792,2.084593,[9 5] ; [19 26],[6.6440678 7.3559322] ; [21.3559322 23.6440678],0
d5,1,0.165372,1.924404,[10  3] ; [25 20],[7.84482759 5.15517241] ; [27.15517241 17.84482759],0
p8,1,0.195135,1.678414,[ 1 13] ; [10 34],[ 2.65517241 11.34482759] ; [ 8.34482759 35.65517241],0
r3,1,0.204985,1.606498,[11  3] ; [27 18],[9.01694915 4.98305085] ; [28.98305085 16.01694915],0
p6,1,0.229875,1.441637,[ 3 11] ; [ 4 39],[ 1.71929825 12.28070175] ; [ 5.28070175 37.71929825],0
v3,1,0.266636,1.233974,[4 7] ; [ 9 35],[2.6 8.4] ; [10.4 33.6],0
p10,1,0.285281,1.141758,[7 7] ; [15 29],[5.31034483 8.68965517] ; [16.68965517 27.31034483],0
b1,1,0.313669,1.015162,[9 5] ; [22 23],[7.3559322 6.6440678] ; [23.6440678 21.3559322],0
a8,1,0.324732,0.969791,[ 3 11] ; [ 5 40],[ 1.89830508 12.10169492] ; [ 6.10169492 38.89830508],0
a4,1,0.333148,0.936621,[7 7] ; [16 29],[5.45762712 8.54237288] ; [17.54237288 27.45762712],0
n1,1,0.371949,0.797143,[6 4] ; [ 9 12],[4.83870968 5.16129032] ; [10.16129032 10.83870968],0
u1,1,0.374264,0.78946,[ 1 13] ; [ 1 44],[ 0.47457627 13.52542373] ; [ 1.52542373 43.47457627],0
n4,1,0.40599,0.690513,[8 6] ; [20 25],[6.6440678 7.3559322] ; [21.3559322 23.6440678],0
d3,1,0.457902,0.551019,[7 6] ; [19 26],[5.82758621 7.17241379] ; [20.17241379 24.82758621],0
d2,1,0.457902,0.551019,[7 6] ; [19 26],[5.82758621 7.17241379] ; [20.17241379 24.82758621],0
p4,1,0.497051,0.461227,[ 2 12] ; [10 34],[ 2.89655172 11.10344828] ; [ 9.10344828 34.89655172],0
b3,1,0.503445,0.447667,[5 5] ; [11 18],[4.1025641 5.8974359] ; [11.8974359 17.1025641],0
b2,1,0.503445,0.447667,[5 5] ; [11 18],[4.1025641 5.8974359] ; [11.8974359 17.1025641],0
a6,1,0.506754,0.440764,[8 5] ; [23 22],[6.94827586 6.05172414] ; [24.05172414 20.94827586],0
s1,1,0.515947,0.421987,[ 1 13] ; [ 6 38],[ 1.68965517 12.31034483] ; [ 5.31034483 38.68965517],0
b4,1,0.589535,0.291071,[8 6] ; [22 23],[7.11864407 6.88135593] ; [22.88135593 22.11864407],0
a7,1,0.693056,0.155797,[8 6] ; [23 22],[7.3559322 6.6440678] ; [23.6440678 21.3559322],0
b5,1,0.715567,0.13278,[7 7] ; [20 25],[6.40677966 7.59322034] ; [20.59322034 24.40677966],0
p1,1,0.748362,0.102913,[ 2 12] ; [ 5 40],[ 1.66101695 12.33898305] ; [ 5.33898305 39.66101695],0
n5,1,0.766486,0.088194,[7 7] ; [20 24],[6.51724138 7.48275862] ; [20.48275862 23.51724138],0
u2,1,0.892295,0.018333,[1 1] ; [11  9],[1.09090909 0.90909091] ; [10.90909091  9.09090909],0
r1,1,0.916792,0.010915,[8 6] ; [25 20],[7.83050847 6.16949153] ; [25.16949153 19.83050847],0
u3,1,1.0,0.0,[1 1] ; [10 10],[1. 1.] ; [10. 10.],0
