Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.004663,8.005671,[24 24] ; [24 68],[16.45714286 31.54285714] ; [31.54285714 60.45714286],0
r4,1,0.019698,5.438502,[37 11] ; [84  8],[41.48571429  6.51428571] ; [79.51428571 12.48571429],0
p9,1,0.031135,4.645476,[33 15] ; [76 14],[37.91304348 10.08695652] ; [71.08695652 18.91304348],0
p10,1,0.038453,4.284881,[30 18] ; [71 19],[35.13043478 12.86956522] ; [65.86956522 24.13043478],0
a7,1,0.039784,4.227053,[31 17] ; [74 18],[36. 12.] ; [69. 23.],0
u1,1,0.067696,3.33803,[ 3 45] ; [16 76],[ 6.51428571 41.48571429] ; [12.48571429 79.51428571],0
p3,1,0.070679,3.267171,[27 21] ; [37 55],[21.94285714 26.05714286] ; [42.05714286 49.94285714],0
b3,1,0.076399,3.139891,[12 17] ; [11 38],[ 8.55128205 20.44871795] ; [14.44871795 34.55128205],0
b2,1,0.076399,3.139891,[12 17] ; [11 38],[ 8.55128205 20.44871795] ; [14.44871795 34.55128205],0
r2,1,0.076575,3.136141,[41  7] ; [84  5],[43.79562044  4.20437956] ; [81.20437956  7.79562044],0
v4,1,0.078709,3.091356,[42  6] ; [87  4],[44.54676259  3.45323741] ; [84.45323741  6.54676259],0
a4,1,0.098682,2.726722,[14 34] ; [40 52],[18.51428571 29.48571429] ; [35.48571429 56.51428571],0
u2,1,0.112498,2.518776,[17  4] ; [18 12],[14.41176471  6.58823529] ; [20.58823529  9.41176471],0
p1,1,0.145741,2.116276,[ 6 42] ; [ 5 86],[ 3.79856115 44.20143885] ; [ 7.20143885 83.79856115],0
a3,1,0.159886,1.975302,[26 22] ; [61 31],[29.82857143 18.17142857] ; [57.17142857 34.82857143],0
u3,1,0.174125,1.847063,[17  4] ; [19 11],[14.82352941  6.17647059] ; [21.17647059  8.82352941],0
r3,1,0.217357,1.521739,[45  3] ; [90  2],[46.28571429  1.71428571] ; [88.71428571  3.28571429],0
p11,1,0.232258,1.426979,[28 20] ; [63 29],[31.2 16.8] ; [59.8 32.2],0
n4,1,0.244335,1.355407,[15 33] ; [38 54],[18.17142857 29.82857143] ; [34.82857143 57.17142857],0
p4,1,0.285377,1.141304,[27 21] ; [43 49],[24. 24.] ; [46. 46.],0
n1,1,0.314296,1.012535,[ 7 12] ; [ 6 20],[ 5.48888889 13.51111111] ; [ 7.51111111 18.48888889],0
a1,1,0.334875,0.929952,[ 4 44] ; [ 4 88],[ 2.74285714 45.25714286] ; [ 5.25714286 86.74285714],0
n3,1,0.341097,0.906303,[13  6] ; [21  5],[14.35555556  4.64444444] ; [19.64444444  6.35555556],0
s1,1,0.352703,0.863707,[ 1 47] ; [ 5 87],[ 2.05714286 45.94285714] ; [ 3.94285714 88.05714286],0
d1,1,0.354867,0.855978,[30 18] ; [50 42],[27.42857143 20.57142857] ; [52.57142857 39.42857143],0
s2,1,0.363219,0.826733,[27 21] ; [59 33],[29.48571429 18.51428571] ; [56.51428571 35.48571429],0
v1,1,0.430422,0.621684,[22 25] ; [35 53],[19.84444444 27.15555556] ; [37.15555556 50.84444444],0
d5,1,0.431554,0.618638,[37 11] ; [76 16],[38.74285714  9.25714286] ; [74.25714286 17.74285714],0
n2,1,0.466608,0.529996,[15  4] ; [18  8],[13.93333333  5.06666667] ; [19.06666667  6.93333333],0
b4,1,0.490127,0.476248,[29 19] ; [61 31],[30.85714286 17.14285714] ; [59.14285714 32.85714286],0
p6,1,0.495336,0.464914,[12 35] ; [28 62],[13.72262774 33.27737226] ; [26.27737226 63.72262774],0
d3,1,0.499611,0.455763,[34 14] ; [70 22],[35.65714286 12.34285714] ; [68.34285714 23.65714286],0
r1,1,0.530556,0.393327,[34 13] ; [71 21],[35.50359712 11.49640288] ; [69.49640288 22.50359712],0
v2,1,0.538912,0.377561,[21 22] ; [48 40],[22.64885496 20.35114504] ; [46.35114504 41.64885496],0
a8,1,0.553648,0.350823,[ 2 42] ; [ 6 77],[ 2.77165354 41.22834646] ; [ 5.22834646 77.77165354],0
s4,1,0.58596,0.296699,[12 36] ; [27 65],[13.37142857 34.62857143] ; [25.62857143 66.37142857],0
p5,1,0.587293,0.294591,[ 2 45] ; [ 6 86],[ 2.70503597 44.29496403] ; [ 5.29496403 86.70503597],0
s3,1,0.611226,0.258394,[33 15] ; [58 32],[31.65217391 16.34782609] ; [59.34782609 30.65217391],0
s8,1,0.624719,0.239291,[24 24] ; [42 50],[22.62857143 25.37142857] ; [43.37142857 48.62857143],0
p2,1,0.707283,0.141006,[35 13] ; [69 22],[35.91366906 12.08633094] ; [68.08633094 22.91366906],0
p12,1,0.74383,0.106789,[ 2 46] ; [ 5 87],[ 2.4 45.6] ; [ 4.6 87.4],0
s5,1,0.745572,0.105289,[17 27] ; [37 52],[17.86466165 26.13533835] ; [36.13533835 52.86466165],0
p7,1,0.749539,0.101919,[25 22] ; [51 40],[25.88405797 21.11594203] ; [50.11594203 40.88405797],0
a5,1,0.802855,0.062327,[34 14] ; [67 25],[34.62857143 13.37142857] ; [66.37142857 25.62857143],0
v3,1,0.820649,0.051397,[14 31] ; [26 63],[13.43283582 31.56716418] ; [26.56716418 62.43283582],0
p8,1,0.892484,0.018269,[21 26] ; [40 52],[20.62589928 26.37410072] ; [40.37410072 51.62589928],0
