Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,106.511631,[167 233] ; [228  52],[232.35294118 167.64705882] ; [162.64705882 117.35294118],1
v1,1,0.0,32.94065,[193 210] ; [196  84],[229.52708638 173.47291362] ; [159.47291362 120.52708638],1
p12,1,6.4e-05,15.969539,[ 22 390] ; [ 40 243],[ 36.75395683 375.24604317] ; [ 25.24604317 257.75395683],1
s8,1,0.000118,14.827737,[171 244] ; [157 123],[195.85611511 219.14388489] ; [132.14388489 147.85611511],1
a1,1,0.000141,14.489091,[ 10 405] ; [ 25 259],[ 20.77968526 394.22031474] ; [ 14.22031474 269.77968526],1
n5,1,0.000284,13.1725,[299 112] ; [239  44],[318.61383285  92.38616715] ; [219.38616715  63.61383285],1
s7,1,0.000602,11.768767,[186 214] ; [162 108],[207.76119403 192.23880597] ; [140.23880597 129.76119403],1
p5,1,0.000644,11.645186,[ 37 376] ; [ 50 233],[ 51.625 361.375] ; [ 35.375 247.625],1
p3,1,0.000653,11.619703,[198 217] ; [171 110],[220.02155172 194.97844828] ; [148.97844828 132.02155172],1
n4,1,0.000677,11.55111,[306 107] ; [241  43],[324.11908178  88.88091822] ; [222.88091822  61.11908178],1
d1,1,0.001694,9.854189,[230 185] ; [191  93],[249.94992847 165.05007153] ; [171.05007153 112.94992847],0
p7,1,0.00291,8.863035,[247 156] ; [201  77],[265.11600587 137.88399413] ; [182.88399413  95.11600587],0
p8,1,0.00314,8.724351,[209 201] ; [174 105],[227.91001451 182.08998549] ; [155.08998549 123.91001451],0
a3,1,0.007465,7.157449,[289 124] ; [223  59],[304.25323741 108.74676259] ; [207.74676259  74.25323741],0
p1,1,0.007478,7.154399,[ 28 386] ; [ 36 247],[ 38.0143472 375.9856528] ; [ 25.9856528 257.0143472],0
s4,1,0.014147,6.019767,[ 85 325] ; [ 38 244],[ 72.87572254 337.12427746] ; [ 50.12427746 231.87572254],0
a5,1,0.014719,5.949744,[298 117] ; [227  57],[311.69527897 103.30472103] ; [213.30472103  70.69527897],0
n6,1,0.020036,5.408762,[349  65] ; [254  27],[359.1971223  54.8028777] ; [243.8028777  37.1971223],0
d2,1,0.024459,5.061759,[185 229] ; [151 132],[199.57532281 214.42467719] ; [136.42467719 146.57532281],0
u1,1,0.030383,4.687481,[ 64 351] ; [ 62 222],[ 74.80686695 340.19313305] ; [ 51.19313305 232.80686695],0
u4,1,0.068679,3.314318,[  5 410] ; [  9 275],[  8.31187411 406.68812589] ; [  5.68812589 278.31187411],0
r1,1,0.069268,3.300271,[327  85] ; [240  43],[336.12086331  75.87913669] ; [230.87913669  52.12086331],0
p4,1,0.072499,3.225504,[241 172] ; [183  98],[252.32276657 160.67723343] ; [171.67723343 109.32276657],0
p10,1,0.076748,3.132451,[370  44] ; [264  19],[376.57962697  37.42037303] ; [257.42037303  25.57962697],0
s2,1,0.086739,2.933871,[210 203] ; [162 120],[221.05899281 191.94100719] ; [150.94100719 131.05899281],0
a2,1,0.103068,2.657416,[ 93 322] ; [ 79 205],[102.11731044 312.88268956] ; [ 69.88268956 214.11731044],0
p6,1,0.1196,2.42255,[155 255] ; [122 157],[164.83309144 245.16690856] ; [112.16690856 166.83309144],0
d5,1,0.136041,2.222176,[331  83] ; [238  44],[338.45689655  75.54310345] ; [230.54310345  51.45689655],0
d3,1,0.139798,2.180185,[279 134] ; [206  77],[287.79454023 125.20545977] ; [197.20545977  85.79454023],0
b2,1,0.141594,2.160545,[ 87 155] ; [ 77 102],[ 94.27078385 147.72921615] ; [ 69.72921615 109.27078385],0
b3,1,0.141594,2.160545,[ 87 155] ; [ 77 102],[ 94.27078385 147.72921615] ; [ 69.72921615 109.27078385],0
s5,1,0.148533,2.087256,[138 260] ; [110 164],[146.88095238 251.11904762] ; [101.11904762 172.88095238],0
v4,1,0.152935,2.042732,[400  15] ; [277   5],[403.09182209  11.90817791] ; [273.90817791   8.09182209],0
