Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.00029,13.134759,[39  3] ; [4 5],[35.41176471  6.58823529] ; [7.58823529 1.41176471],1
s5,1,0.001052,10.734578,[27 13] ; [1 9],[22.4 17.6] ; [5.6 4.4],0
s2,1,0.003217,8.680031,[29 12] ; [2 8],[24.92156863 16.07843137] ; [6.07843137 3.92156863],0
n6,1,0.008693,6.884927,[34  8] ; [4 6],[30.69230769 11.30769231] ; [7.30769231 2.69230769],0
s8,1,0.010716,6.511791,[23 19] ; [1 9],[19.38461538 22.61538462] ; [4.61538462 5.38461538],0
r3,1,0.016369,5.762771,[38  4] ; [6 4],[35.53846154  6.46153846] ; [8.46153846 1.53846154],0
r4,1,0.024547,5.055556,[35  7] ; [5 5],[32.30769231  9.69230769] ; [7.69230769 2.30769231],0
p6,1,0.034816,4.454174,[19 22] ; [1 9],[16.07843137 24.92156863] ; [3.92156863 6.07843137],0
b4,1,0.048005,3.909813,[23 19] ; [2 8],[20.19230769 21.80769231] ; [4.80769231 5.19230769],0
n2,1,0.061587,3.494118,[14  3] ; [2 3],[12.36363636  4.63636364] ; [3.63636364 1.36363636],0
p9,1,0.067155,3.351235,[33  9] ; [5 5],[30.69230769 11.30769231] ; [7.30769231 2.69230769],0
s7,1,0.104883,2.629677,[29 11] ; [4 5],[26.93877551 13.06122449] ; [6.06122449 2.93877551],0
p8,1,0.105011,2.627744,[24 17] ; [3 7],[21.70588235 19.29411765] ; [5.29411765 4.70588235],0
r2,1,0.108681,2.573297,[37  5] ; [6 3],[35.41176471  6.58823529] ; [7.58823529 1.41176471],0
d1,1,0.122603,2.383746,[24 18] ; [3 7],[21.80769231 20.19230769] ; [5.19230769 4.80769231],0
s3,1,0.156814,2.004682,[30 11] ; [5 5],[28.1372549 12.8627451] ; [6.8627451 3.1372549],0
r1,1,0.194199,1.685474,[30 12] ; [5 5],[28.26923077 13.73076923] ; [6.73076923 3.26923077],0
v1,1,0.207646,1.587763,[16 26] ; [6 4],[17.76923077 24.23076923] ; [4.23076923 5.76923077],0
p10,1,0.222883,1.485714,[33  9] ; [6 4],[31.5 10.5] ; [7.5 2.5],0
p11,1,0.222883,1.485714,[33  9] ; [6 4],[31.5 10.5] ; [7.5 2.5],0
s1,1,0.367328,0.812683,[ 4 37] ; [2 8],[ 4.82352941 36.17647059] ; [1.17647059 8.82352941],0
p3,1,0.456454,0.554575,[24 18] ; [7 3],[25.03846154 16.96153846] ; [5.96153846 4.03846154],0
u2,1,0.481556,0.495338,[9 4] ; [2 2],[8.41176471 4.58823529] ; [2.58823529 1.41176471],0
p4,1,0.4816,0.495238,[22 20] ; [4 6],[21. 21.] ; [5. 5.],0
n5,1,0.4816,0.495238,[30 12] ; [6 4],[29.07692308 12.92307692] ; [6.92307692 3.07692308],0
p7,1,0.511972,0.430035,[29 12] ; [6 4],[28.1372549 12.8627451] ; [6.8627451 3.1372549],0
a1,1,0.523167,0.407645,[ 2 40] ; [1 9],[ 2.42307692 39.57692308] ; [0.57692308 9.42307692],0
v2,1,0.54429,0.367647,[12 28] ; [4 6],[12.8 27.2] ; [3.2 6.8],0
b1,1,0.569479,0.323556,[21 21] ; [6 4],[21.80769231 20.19230769] ; [5.19230769 4.80769231],0
a3,1,0.583587,0.300472,[29 13] ; [6 4],[28.26923077 13.73076923] ; [6.73076923 3.26923077],0
b2,1,0.591558,0.287918,[ 5 21] ; [2 5],[ 5.51515152 20.48484848] ; [1.48484848 5.51515152],0
b3,1,0.591558,0.287918,[ 5 21] ; [2 5],[ 5.51515152 20.48484848] ; [1.48484848 5.51515152],0
u3,1,0.622252,0.242716,[8 5] ; [3 1],[8.41176471 4.58823529] ; [2.58823529 1.41176471],0
a4,1,0.664032,0.188662,[20 22] ; [4 6],[19.38461538 22.61538462] ; [4.61538462 5.38461538],0
d3,1,0.682739,0.167059,[24 18] ; [5 5],[23.42307692 18.57692308] ; [5.57692308 4.42307692],0
d5,1,0.684522,0.165079,[32 10] ; [7 3],[31.5 10.5] ; [7.5 2.5],0
a5,1,0.690444,0.158606,[28 14] ; [6 4],[27.46153846 14.53846154] ; [6.53846154 3.46153846],0
u1,1,0.760576,0.092857,[ 3 39] ; [1 9],[ 3.23076923 38.76923077] ; [0.76923077 9.23076923],0
n1,1,0.780512,0.077647,[8 9] ; [2 3],[7.72727273 9.27272727] ; [2.27272727 2.72727273],0
d4,1,0.807165,0.059578,[31 11] ; [7 3],[30.69230769 11.30769231] ; [7.30769231 2.69230769],0
n3,1,0.847516,0.036975,[11  6] ; [3 2],[10.81818182  6.18181818] ; [3.18181818 1.81818182],0
d2,1,0.892269,0.018342,[22 20] ; [5 5],[21.80769231 20.19230769] ; [5.19230769 4.80769231],0
a6,1,0.911402,0.012381,[16 26] ; [4 6],[16.15384615 25.84615385] ; [3.84615385 6.15384615],0
p2,1,0.953235,0.003439,[29 13] ; [7 3],[29.07692308 12.92307692] ; [6.92307692 3.07692308],0
n4,1,0.953235,0.003439,[29 13] ; [7 3],[29.07692308 12.92307692] ; [6.92307692 3.07692308],0
b5,1,0.953235,0.003439,[13 29] ; [3 7],[12.92307692 29.07692308] ; [3.07692308 6.92307692],0
v3,1,1.0,0.0,[12 28] ; [3 7],[12. 28.] ; [3. 7.],0
