Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.001736,9.810013,[21 13] ; [89 14],[27.29927007  6.70072993] ; [82.70072993 20.29927007],0
d4,1,0.003285,8.641922,[22 12] ; [89 13],[27.75  6.25] ; [83.25 18.75],0
d1,1,0.006322,7.456186,[12 22] ; [64 39],[18.86131387 15.13868613] ; [57.13868613 45.86131387],0
s2,1,0.01765,5.630593,[26  8] ; [55 48],[20.10218978 13.89781022] ; [60.89781022 42.10218978],0
s5,1,0.017693,5.626291,[17 14] ; [32 70],[11.42105263 19.57894737] ; [37.57894737 64.42105263],0
a8,1,0.020234,5.391628,[ 1 31] ; [19 73],[ 5.16129032 26.83870968] ; [14.83870968 77.16129032],0
s3,1,0.021662,5.272765,[27  7] ; [58 43],[21.40740741 12.59259259] ; [63.59259259 37.40740741],0
d2,1,0.022634,5.196389,[12 22] ; [59 43],[17.75 16.25] ; [53.25 48.75],0
v4,1,0.030922,4.657298,[27  6] ; [96  6],[30.06666667  2.93333333] ; [92.93333333  9.06666667],0
r4,1,0.03754,4.325754,[25  9] ; [91 12],[28.78832117  5.21167883] ; [87.21167883 15.78832117],0
r1,1,0.04692,3.948261,[23 11] ; [86 17],[27.05109489  6.94890511] ; [81.94890511 21.05109489],0
r3,1,0.082902,3.007074,[29  4] ; [98  4],[31.04444444  1.95555556] ; [95.95555556  6.04444444],0
a7,1,0.089017,2.892052,[21 13] ; [79 24],[24.81751825  9.18248175] ; [75.18248175 27.81751825],0
r2,1,0.0955,2.779133,[30  4] ; [97  4],[31.98518519  2.01481481] ; [95.01481481  5.98518519],0
v2,1,0.123251,2.375515,[14 20] ; [57 44],[17.88148148 16.11851852] ; [53.11851852 47.88148148],0
v3,1,0.124098,2.364827,[ 8 25] ; [39 61],[11.66165414 21.33834586] ; [35.33834586 64.66165414],0
a2,1,0.129615,2.297108,[ 6 28] ; [32 71],[ 9.43065693 24.56934307] ; [28.56934307 74.43065693],0
n5,1,0.130518,2.286336,[21 13] ; [76 25],[24.42962963  9.57037037] ; [72.57037037 28.42962963],0
b2,1,0.160592,1.96864,[ 5 17] ; [27 42],[ 7.73626374 14.26373626] ; [24.26373626 44.73626374],0
b3,1,0.160592,1.96864,[ 5 17] ; [27 42],[ 7.73626374 14.26373626] ; [24.26373626 44.73626374],0
n6,1,0.167573,1.904524,[25  9] ; [85 16],[27.7037037  6.2962963] ; [82.2962963 18.7037037],0
u1,1,0.179322,1.803231,[ 4 30] ; [23 80],[ 6.70072993 27.29927007] ; [20.29927007 82.70072993],0
a4,1,0.180971,1.789634,[13 21] ; [53 50],[16.37956204 17.62043796] ; [49.62043796 53.37956204],0
n1,1,0.207196,1.590909,[3 8] ; [12 12],[4.71428571 6.28571429] ; [10.28571429 13.71428571],0
a5,1,0.209432,1.575351,[22 12] ; [78 25],[24.81751825  9.18248175] ; [75.18248175 27.81751825],0
s6,1,0.250288,1.321698,[26  7] ; [69 32],[23.39552239  9.60447761] ; [71.60447761 29.39552239],0
n2,1,0.274689,1.193182,[10  1] ; [18  6],[8.8 2.2] ; [19.2  4.8],0
p11,1,0.294009,1.101171,[23 11] ; [79 24],[25.31386861  8.68613139] ; [76.68613139 26.31386861],0
