Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,62.007326,[12 44] ; [88 16],[35. 21.] ; [65. 39.],1
p11,1,5.8e-05,16.153007,[23 33] ; [77 28],[34.7826087 21.2173913] ; [65.2173913 39.7826087],1
p2,1,0.000158,14.278282,[30 26] ; [85 19],[40.25 15.75] ; [74.75 29.25],1
d3,1,0.000306,13.033888,[28 28] ; [81 23],[38.15 17.85] ; [70.85 33.15],1
r4,1,0.001102,10.647854,[37 19] ; [92 13],[44.86956522 11.13043478] ; [84.13043478 20.86956522],0
b1,1,0.002738,8.97465,[30 26] ; [31 74],[21.2173913 34.7826087] ; [39.7826087 65.2173913],0
a5,1,0.00351,8.521224,[24 32] ; [70 35],[32.69565217 23.30434783] ; [61.30434783 43.69565217],0
s6,1,0.003622,8.464033,[18 38] ; [59 46],[26.7826087 29.2173913] ; [50.2173913 54.7826087],0
s2,1,0.009792,6.67244,[13 43] ; [46 59],[20.52173913 35.47826087] ; [38.47826087 66.52173913],0
n6,1,0.011466,6.391606,[27 29] ; [72 33],[34.43478261 21.56521739] ; [64.56521739 40.43478261],0
a7,1,0.011508,6.385194,[33 23] ; [81 23],[39.9 16.1] ; [74.1 29.9],0
s8,1,0.01276,6.202054,[ 8 48] ; [34 71],[14.60869565 41.39130435] ; [27.39130435 77.60869565],0
a3,1,0.016268,5.773687,[27 29] ; [71 34],[34.08695652 21.91304348] ; [63.91304348 41.08695652],0
p7,1,0.019506,5.455574,[24 32] ; [64 39],[30.99371069 25.00628931] ; [57.00628931 45.99371069],0
r2,1,0.022859,5.179225,[44 11] ; [96  8],[48.42767296  6.57232704] ; [91.57232704 12.42767296],0
v4,1,0.025827,4.967574,[45 11] ; [96  8],[49.35  6.65] ; [91.65 12.35],0
d1,1,0.030873,4.660003,[22 34] ; [60 45],[28.52173913 27.47826087] ; [53.47826087 51.52173913],0
s3,1,0.042693,4.107515,[18 37] ; [51 52],[24.01898734 30.98101266] ; [44.98101266 58.01898734],0
a6,1,0.064592,3.41537,[29 27] ; [70 35],[34.43478261 21.56521739] ; [64.56521739 40.43478261],0
s5,1,0.105403,2.621822,[ 9 47] ; [27 71],[13.09090909 42.90909091] ; [22.90909091 75.09090909],0
d4,1,0.108602,2.574453,[41 15] ; [88 17],[44.86956522 11.13043478] ; [84.13043478 20.86956522],0
r3,1,0.132272,2.265631,[49  7] ; [99  6],[51.47826087  4.52173913] ; [96.52173913  8.47826087],0
s7,1,0.164753,1.930046,[11 40] ; [33 69],[14.66666667 36.33333333] ; [29.33333333 72.66666667],0
p8,1,0.191562,1.705564,[18 38] ; [44 59],[21.83647799 34.16352201] ; [40.16352201 62.83647799],0
a2,1,0.257549,1.281885,[ 5 51] ; [16 89],[ 7.30434783 48.69565217] ; [13.69565217 91.30434783],0
b4,1,0.27244,1.204421,[38 18] ; [62 43],[34.7826087 21.2173913] ; [65.2173913 39.7826087],0
n1,1,0.285322,1.141564,[ 7 16] ; [ 6 27],[ 5.33928571 17.66071429] ; [ 7.66071429 25.33928571],0
n3,1,0.32175,0.981818,[14  7] ; [26  7],[15.55555556  5.44444444] ; [24.44444444  8.55555556],0
v2,1,0.35554,0.853584,[20 35] ; [44 56],[22.70967742 32.29032258] ; [41.29032258 58.70967742],0
r1,1,0.371332,0.799201,[36 20] ; [74 30],[38.5 17.5] ; [71.5 32.5],0
b5,1,0.376004,0.783727,[29 27] ; [62 43],[31.65217391 24.34782609] ; [59.34782609 45.65217391],0
s4,1,0.383146,0.760582,[10 46] ; [25 80],[12.17391304 43.82608696] ; [22.82608696 82.17391304],0
p3,1,0.389232,0.741339,[17 39] ; [39 66],[19.47826087 36.52173913] ; [36.52173913 68.47826087],0
p6,1,0.424759,0.637111,[11 45] ; [26 77],[13.03144654 42.96855346] ; [23.96855346 79.03144654],0
s1,1,0.425087,0.63621,[ 3 53] ; [  3 102],[ 2.08695652 53.91304348] ; [  3.91304348 101.08695652],0
a4,1,0.462416,0.54004,[15 41] ; [34 71],[17.04347826 38.95652174] ; [31.95652174 73.04347826],0
u1,1,0.488284,0.480304,[ 4 52] ; [11 94],[ 5.2173913 50.7826087] ; [ 9.7826087 95.2173913],0
a8,1,0.490206,0.476075,[ 2 53] ; [ 6 90],[ 2.91390728 52.08609272] ; [ 5.08609272 90.91390728],0
d5,1,0.55256,0.352751,[39 17] ; [77 27],[40.6 15.4] ; [75.4 28.6],0
n4,1,0.594557,0.283284,[20 36] ; [42 63],[21.56521739 34.43478261] ; [40.43478261 64.56521739],0
p4,1,0.626155,0.23731,[22 34] ; [45 59],[23.45 32.55] ; [43.55 60.45],0
b3,1,0.652858,0.202316,[ 7 28] ; [13 41],[ 7.86516854 27.13483146] ; [12.13483146 41.86516854],0
b2,1,0.652858,0.202316,[ 7 28] ; [13 41],[ 7.86516854 27.13483146] ; [12.13483146 41.86516854],0
u3,1,0.686229,0.163199,[16 13] ; [16 16],[15.21311475 13.78688525] ; [16.78688525 15.21311475],0
p1,1,0.732008,0.117276,[ 2 53] ; [ 5 99],[ 2.42138365 52.57861635] ; [ 4.57861635 99.42138365],0
v3,1,0.777237,0.080044,[10 43] ; [21 80],[10.66883117 42.33116883] ; [20.33116883 80.66883117],0
d2,1,0.895009,0.017416,[23 33] ; [42 63],[22.60869565 33.39130435] ; [42.39130435 62.60869565],0
n2,1,0.91114,0.012455,[13  9] ; [19 14],[12.8  9.2] ; [19.2 13.8],0
a1,1,0.939447,0.005771,[ 2 54] ; [  4 101],[ 2.08695652 53.91304348] ; [  3.91304348 101.08695652],0
u2,1,0.986891,0.00027,[15 14] ; [17 16],[14.96774194 14.03225806] ; [17.03225806 15.96774194],0
