Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-05,19.486355,[46 17] ; [ 9 25],[35.72164948 27.27835052] ; [19.27835052 14.72164948],1
s6,1,0.001518,10.056846,[33 28] ; [ 7 27],[25.68421053 35.31578947] ; [14.31578947 19.68421053],0
r3,1,0.00283,8.913689,[50 13] ; [17 17],[43.51546392 19.48453608] ; [23.48453608 10.51546392],0
s8,1,0.010348,6.574002,[14 47] ; [ 1 33],[ 9.63157895 51.36842105] ; [ 5.36842105 28.63157895],0
u3,1,0.01369,6.077734,[13  9] ; [ 4 15],[ 9.12195122 12.87804878] ; [ 7.87804878 11.12195122],0
s7,1,0.014718,5.94991,[16 40] ; [ 2 29],[11.5862069 44.4137931] ; [ 6.4137931 24.5862069],0
r2,1,0.017774,5.61828,[54  8] ; [22 11],[49.6 12.4] ; [26.4  6.6],0
b4,1,0.025723,4.974533,[39 24] ; [13 21],[33.77319588 29.22680412] ; [18.22680412 15.77319588],0
a7,1,0.031353,4.633527,[42 21] ; [15 19],[37.02061856 25.97938144] ; [19.97938144 14.02061856],0
v4,1,0.035185,4.436158,[49 13] ; [20 14],[44.5625 17.4375] ; [24.4375  9.5625],0
a3,1,0.036424,4.377121,[41 21] ; [15 19],[36.16666667 25.83333333] ; [19.83333333 14.16666667],0
v1,1,0.037618,4.322196,[24 39] ; [ 6 28],[19.48453608 43.51546392] ; [10.51546392 23.48453608],0
s5,1,0.048036,3.908711,[13 48] ; [ 2 32],[ 9.63157895 51.36842105] ; [ 5.36842105 28.63157895],0
d4,1,0.055221,3.67541,[48 14] ; [20 14],[43.91666667 18.08333333] ; [24.08333333  9.91666667],0
a2,1,0.070068,3.281427,[15 48] ; [ 3 31],[11.69072165 51.30927835] ; [ 6.30927835 27.69072165],0
d5,1,0.10864,2.573888,[47 16] ; [20 14],[43.51546392 19.48453608] ; [23.48453608 10.51546392],0
p2,1,0.109961,2.554787,[31 32] ; [11 23],[27.27835052 35.72164948] ; [14.72164948 19.27835052],0
a5,1,0.126235,2.338205,[38 25] ; [15 19],[34.42268041 28.57731959] ; [18.57731959 15.42268041],0
v3,1,0.128719,2.307882,[21 38] ; [ 7 27],[17.76344086 41.23655914] ; [10.23655914 23.76344086],0
b3,1,0.131957,2.26933,[10 29] ; [ 9 11],[12.55932203 26.44067797] ; [ 6.44067797 13.55932203],0
b2,1,0.131957,2.26933,[10 29] ; [ 9 11],[12.55932203 26.44067797] ; [ 6.44067797 13.55932203],0
s3,1,0.13412,2.244156,[27 36] ; [ 9 24],[23.625 39.375] ; [12.375 20.625],0
u2,1,0.153508,2.037037,[11 11] ; [ 5 13],[ 8.8 13.2] ; [ 7.2 10.8],0
s2,1,0.165174,1.926209,[19 43] ; [ 6 28],[16.14583333 45.85416667] ; [ 8.85416667 25.14583333],0
n3,1,0.167665,1.9037,[16 11] ; [ 6 10],[13.81395349 13.18604651] ; [8.18604651 7.81395349],0
b1,1,0.18423,1.763169,[42 21] ; [18 16],[38.96907216 24.03092784] ; [21.03092784 12.96907216],0
n2,1,0.20192,1.628429,[19 11] ; [7 9],[16.95652174 13.04347826] ; [9.04347826 6.95652174],0
p6,1,0.210575,1.567466,[12 50] ; [ 3 29],[ 9.89361702 52.10638298] ; [ 5.10638298 26.89361702],0
u1,1,0.212991,1.55098,[ 9 54] ; [ 2 32],[ 7.1443299 55.8556701] ; [ 3.8556701 30.1443299],0
p10,1,0.236375,1.402085,[11 51] ; [ 3 31],[ 9.04166667 52.95833333] ; [ 4.95833333 29.04166667],0
d1,1,0.242447,1.366307,[30 33] ; [12 22],[27.27835052 35.72164948] ; [14.72164948 19.27835052],0
v2,1,0.288119,1.128388,[25 37] ; [10 24],[22.60416667 39.39583333] ; [12.39583333 21.60416667],0
