Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.009411,6.743034,[15  9] ; [ 2 10],[11.33333333 12.66666667] ; [5.66666667 6.33333333],0
p2,1,0.014379,5.991063,[23  2] ; [7 5],[20.27027027  4.72972973] ; [9.72972973 2.27027027],0
d1,1,0.030043,4.706811,[11 14] ; [ 1 11],[ 8.10810811 16.89189189] ; [3.89189189 8.10810811],0
s2,1,0.031444,4.628571,[ 7 17] ; [8 4],[10. 14.] ; [5. 7.],0
a7,1,0.046156,3.975877,[15 10] ; [3 9],[12.16216216 12.83783784] ; [5.83783784 6.16216216],0
r1,1,0.065817,3.384389,[12 13] ; [ 2 10],[ 9.45945946 15.54054054] ; [4.54054054 7.45945946],0
n4,1,0.074919,3.171812,[18  7] ; [5 7],[15.54054054  9.45945946] ; [7.45945946 4.54054054],0
r3,1,0.088483,2.901759,[21  4] ; [7 5],[18.91891892  6.08108108] ; [9.08108108 2.91891892],0
v3,1,0.103031,2.657991,[11 14] ; [ 2 10],[ 8.78378378 16.21621622] ; [4.21621622 7.78378378],0
v4,1,0.11376,2.5012,[19  6] ; [6 6],[16.89189189  8.10810811] ; [8.10810811 3.89189189],0
s3,1,0.151494,2.057143,[ 8 16] ; [7 5],[10. 14.] ; [5. 7.],0
p7,1,0.155808,2.014444,[15 10] ; [10  2],[16.89189189  8.10810811] ; [8.10810811 3.89189189],0
p6,1,0.155808,2.014444,[10 15] ; [ 2 10],[ 8.10810811 16.89189189] ; [3.89189189 8.10810811],0
s7,1,0.162761,1.948389,[ 9 12] ; [2 9],[ 7.21875 13.78125] ; [3.78125 7.21875],0
p11,1,0.164765,1.929938,[20  5] ; [7 5],[18.24324324  6.75675676] ; [8.75675676 3.24324324],0
a1,1,0.186379,1.746013,[ 1 24] ; [ 2 10],[ 2.02702703 22.97297297] ; [ 0.97297297 11.02702703],0
n5,1,0.189446,1.721923,[18  7] ; [6 6],[16.21621622  8.78378378] ; [7.78378378 4.21621622],0
v1,1,0.286167,1.137569,[13 12] ; [4 8],[11.48648649 13.51351351] ; [5.51351351 6.48648649],0
b5,1,0.286167,1.137569,[12 13] ; [8 4],[13.51351351 11.48648649] ; [6.48648649 5.51351351],0
n2,1,0.316565,1.003086,[7 2] ; [2 2],[6.23076923 2.76923077] ; [2.76923077 1.23076923],0
s5,1,0.325538,0.966568,[ 8 17] ; [ 2 10],[ 6.75675676 18.24324324] ; [3.24324324 8.75675676],0
r4,1,0.37095,0.800481,[10 15] ; [3 9],[ 8.78378378 16.21621622] ; [4.21621622 7.78378378],0
d4,1,0.376204,0.783069,[20  5] ; [8 4],[18.91891892  6.08108108] ; [9.08108108 2.91891892],0
p3,1,0.416817,0.659273,[16  9] ; [6 6],[14.86486486 10.13513514] ; [7.13513514 4.86486486],0
d2,1,0.503429,0.4477,[ 9 16] ; [3 9],[ 8.10810811 16.89189189] ; [3.89189189 8.10810811],0
p12,1,0.523103,0.407771,[ 4 21] ; [ 1 11],[ 3.37837838 21.62162162] ; [ 1.62162162 10.37837838],0
n6,1,0.54955,0.358123,[19  6] ; [8 4],[18.24324324  6.75675676] ; [8.75675676 3.24324324],0
s8,1,0.564222,0.332447,[ 8 17] ; [5 7],[ 8.78378378 16.21621622] ; [4.21621622 7.78378378],0
s6,1,0.565449,0.330357,[15 10] ; [6 6],[14.18918919 10.81081081] ; [6.81081081 5.18918919],0
a6,1,0.565449,0.330357,[15 10] ; [6 6],[14.18918919 10.81081081] ; [6.81081081 5.18918919],0
a5,1,0.565449,0.330357,[15 10] ; [6 6],[14.18918919 10.81081081] ; [6.81081081 5.18918919],0
n1,1,0.568618,0.325,[3 6] ; [2 2],[3.46153846 5.53846154] ; [1.53846154 2.46153846],0
a4,1,0.695487,0.153209,[10 15] ; [4 8],[ 9.45945946 15.54054054] ; [4.54054054 7.45945946],0
p5,1,0.698908,0.14961,[ 6 19] ; [2 9],[ 5.55555556 19.44444444] ; [2.44444444 8.55555556],0
u3,1,0.70663,0.141667,[6 6] ; [2 3],[5.64705882 6.35294118] ; [2.35294118 2.64705882],0
a3,1,0.717448,0.130951,[13 12] ; [7 5],[13.51351351 11.48648649] ; [6.48648649 5.51351351],0
b4,1,0.739356,0.110694,[ 9 16] ; [5 7],[ 9.45945946 15.54054054] ; [4.54054054 7.45945946],0
p10,1,0.798074,0.065455,[17  7] ; [8 4],[16.66666667  7.33333333] ; [8.33333333 3.66666667],0
s4,1,0.808514,0.05873,[ 5 20] ; [ 2 10],[ 4.72972973 20.27027027] ; [2.27027027 9.72972973],0
a8,1,0.83667,0.0425,[ 3 21] ; [1 9],[ 2.82352941 21.17647059] ; [1.17647059 8.82352941],0
n3,1,0.852876,0.034392,[5 4] ; [2 2],[4.84615385 4.15384615] ; [2.15384615 1.84615385],0
p8,1,0.887931,0.019859,[13 12] ; [6 5],[13.19444444 11.80555556] ; [5.80555556 5.19444444],0
d3,1,0.922995,0.009343,[15 10] ; [7 5],[14.86486486 10.13513514] ; [7.13513514 4.86486486],0
b1,1,0.922995,0.009343,[15 10] ; [7 5],[14.86486486 10.13513514] ; [7.13513514 4.86486486],0
u2,1,0.949272,0.004048,[7 5] ; [3 2],[7.05882353 4.94117647] ; [2.94117647 2.05882353],0
p9,1,1.0,0.0,[18  6] ; [9 3],[18.  6.] ; [9. 3.],0
