Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.010094,6.61822,[25  2] ; [22 12],[20.80327869  6.19672131] ; [26.19672131  7.80327869],0
p2,1,0.01397,6.04188,[20  7] ; [15 20],[15.24193548 11.75806452] ; [19.75806452 15.24193548],0
s5,1,0.014274,6.003884,[ 6 20] ; [ 1 34],[ 2.98360656 23.01639344] ; [ 4.01639344 30.98360656],0
r4,1,0.019235,5.480033,[21  6] ; [17 18],[16.5483871 10.4516129] ; [21.4516129 13.5483871],0
r3,1,0.019792,5.430133,[22  5] ; [18 16],[17.70491803  9.29508197] ; [22.29508197 11.70491803],0
n2,1,0.024098,5.087534,[11  2] ; [7 9],[8.06896552 4.93103448] ; [9.93103448 6.06896552],0
r1,1,0.047693,3.920766,[18  9] ; [14 20],[14.16393443 12.83606557] ; [17.83606557 16.16393443],0
b4,1,0.062466,3.470667,[18  9] ; [15 20],[14.37096774 12.62903226] ; [18.62903226 16.37096774],0
n6,1,0.108097,2.581831,[19  8] ; [17 17],[15.93442623 11.06557377] ; [20.06557377 13.93442623],0
p9,1,0.111748,2.529329,[10 16] ; [ 7 28],[ 7.24590164 18.75409836] ; [ 9.75409836 25.24590164],0
v2,1,0.132545,2.262443,[ 9 17] ; [ 6 28],[ 6.5 19.5] ; [ 8.5 25.5],0
p6,1,0.157436,1.998682,[ 8 19] ; [ 5 29],[ 5.75409836 21.24590164] ; [ 7.24590164 26.75409836],0
a1,1,0.162303,1.952633,[ 1 26] ; [ 5 30],[ 2.61290323 24.38709677] ; [ 3.38709677 31.61290323],0
d2,1,0.222612,1.487457,[10 17] ; [ 8 27],[ 7.83870968 19.16129032] ; [10.16129032 24.83870968],0
n4,1,0.238296,1.390644,[16 11] ; [25  9],[18.14754098  8.85245902] ; [22.85245902 11.14754098],0
a6,1,0.258891,1.274679,[10 17] ; [18 17],[12.19354839 14.80645161] ; [15.80645161 19.19354839],0
s6,1,0.287707,1.13032,[10 16] ; [ 9 26],[ 8.09836066 17.90163934] ; [10.90163934 24.09836066],0
r2,1,0.326426,0.963026,[22  5] ; [24 10],[20.36065574  6.63934426] ; [25.63934426  8.36065574],0
p3,1,0.337632,0.919402,[10 17] ; [ 9 26],[ 8.27419355 18.72580645] ; [10.72580645 24.27419355],0
u2,1,0.367123,0.813378,[6 9] ; [ 6 17],[ 4.73684211 10.26315789] ; [ 7.26315789 15.73684211],0
a7,1,0.391781,0.733406,[ 9 18] ; [15 19],[10.62295082 16.37704918] ; [13.37704918 20.62295082],0
p7,1,0.405938,0.690665,[14 13] ; [14 20],[12.39344262 14.60655738] ; [15.60655738 18.39344262],0
a4,1,0.415352,0.663429,[ 8 19] ; [ 7 27],[ 6.63934426 20.36065574] ; [ 8.36065574 25.63934426],0
d3,1,0.420421,0.649138,[ 6 21] ; [11 24],[ 7.40322581 19.59677419] ; [ 9.59677419 25.40322581],0
b1,1,0.442235,0.590476,[12 15] ; [19 16],[13.5 13.5] ; [17.5 17.5],0
b5,1,0.445253,0.582707,[18  9] ; [20 15],[16.5483871 10.4516129] ; [21.4516129 13.5483871],0
n1,1,0.473701,0.51333,[4 9] ; [7 9],[4.93103448 8.06896552] ; [6.06896552 9.93103448],0
d5,1,0.479555,0.499874,[10 17] ; [10 25],[ 8.70967742 18.29032258] ; [11.29032258 23.70967742],0
n5,1,0.498008,0.459178,[16 11] ; [23 11],[17.26229508  9.73770492] ; [21.73770492 12.26229508],0
v1,1,0.512265,0.429437,[ 9 18] ; [ 9 26],[ 7.83870968 19.16129032] ; [10.16129032 24.83870968],0
a3,1,0.52501,0.40404,[12 15] ; [12 21],[10.8 16.2] ; [13.2 19.8],0
p4,1,0.535403,0.384126,[ 8 19] ; [13 22],[ 9.14516129 17.85483871] ; [11.85483871 23.14516129],0
s2,1,0.564232,0.332429,[ 6 20] ; [ 6 29],[ 5.1147541 20.8852459] ; [ 6.8852459 28.1147541],0
p1,1,0.595419,0.28196,[ 2 25] ; [ 4 31],[ 2.61290323 24.38709677] ; [ 3.38709677 31.61290323],0
b2,1,0.62873,0.233787,[ 4 13] ; [ 7 16],[ 4.675 12.325] ; [ 6.325 16.675],0
b3,1,0.62873,0.233787,[ 4 13] ; [ 7 16],[ 4.675 12.325] ; [ 6.325 16.675],0
s4,1,0.653214,0.201872,[ 5 22] ; [ 5 30],[ 4.35483871 22.64516129] ; [ 5.64516129 29.35483871],0
s7,1,0.687351,0.161968,[ 3 23] ; [ 5 28],[ 3.52542373 22.47457627] ; [ 4.47457627 28.52542373],0
s1,1,0.728316,0.120664,[ 3 23] ; [ 3 31],[ 2.6 23.4] ; [ 3.4 30.6],0
p8,1,0.763545,0.090498,[ 7 19] ; [ 8 26],[ 6.5 19.5] ; [ 8.5 25.5],0
s3,1,0.800815,0.063652,[10 16] ; [12 22],[ 9.53333333 16.46666667] ; [12.46666667 21.53333333],0
p5,1,0.811103,0.057123,[ 2 25] ; [ 2 32],[ 1.7704918 25.2295082] ; [ 2.2295082 31.7704918],0
a5,1,0.812279,0.0564,[10 17] ; [14 21],[10.4516129 16.5483871] ; [13.5483871 21.4516129],0
p12,1,0.851614,0.034991,[ 1 26] ; [ 1 34],[ 0.87096774 26.12903226] ; [ 1.12903226 33.87096774],0
d1,1,0.851614,0.034991,[ 1 26] ; [ 1 34],[ 0.87096774 26.12903226] ; [ 1.12903226 33.87096774],0
v3,1,0.853964,0.033879,[ 6 21] ; [ 8 25],[ 6.3 20.7] ; [ 7.7 25.3],0
a2,1,0.867451,0.027855,[ 2 25] ; [ 3 32],[ 2.17741935 24.82258065] ; [ 2.82258065 32.17741935],0
s8,1,0.904737,0.014323,[ 4 22] ; [ 5 30],[ 3.83606557 22.16393443] ; [ 5.16393443 29.83606557],0
u3,1,0.926661,0.008473,[ 5 10] ; [ 8 15],[5.13157895 9.86842105] ; [ 7.86842105 15.13157895],0
a8,1,0.969267,0.001484,[ 4 21] ; [ 5 27],[ 3.94736842 21.05263158] ; [ 5.05263158 26.94736842],0
